MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14S002_蛮族_お頭\x021\n\x0E\x03\x00"\x1CS002_蛮族_モンク_中央\x022\n\x0E\x03\x00*$S002_蛮族_アクスアーマー_中央\x023\n\x0E\x03\x02\x16\x14S002_蛮族_お頭\nGah. Non l'avete ancora trovata?!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nChiedo scusa, capo! Era troppo veloce, quella\nladruncola. L'abbiamo persa di vista!\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nDovremmo essere noi i ladri, razza di feccia!\nSiamo noi che rubiamo agli altri... non il\ncontrario!\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nBah, comunque dubito che abbia lasciato la\nfortezza. Trovatela e catturatela!\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nSì, capo!\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02&$S002_蛮族_アクスアーマー_中央\nBrutte notizie, capo!\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nStai forse per tirare fuori qualche stupida\nscusa?!\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02&$S002_蛮族_アクスアーマー_中央\nC'è un gruppetto di guerrieri diretto verso\ndi noi. E sono armati fino ai denti!\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nC'era da aspettarselo. Potrebbe andare peggio\ndi così?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nBeh, non avranno la meglio. Squadroni, in\nposizione! Pronti agli ordini!\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nVoglio tutti i nostri ladri alla camera del tesoro.\nPrendetelo e portatelo in un posto sicuro.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nAgli ordini, capo!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x14\x06アンナ\nSmile\n\x0E\x03\x02\x08\x06アンナ\nWow! Una stanza piena di tesori! Non vedo\nnessuno qua intorno. Non credo che ci sia\nnulla di male se prendo qualcosina.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x05\x01\x14\x06アンナ\nAngry\n\x0E\x03\x02\x08\x06アンナ\nEhi, c'è nessuno? Mi sembra di sentire qualcuno\nin difficoltà.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x00 \x1AS002_蛮族_アーチャー\x02b\n\x0E\x05\x01*\x1AS002_蛮族_アーチャー\x0CStrike\n\x0E\x03\x02\x1C\x1AS002_蛮族_アーチャー\nMuovetevi e mettetevi in posizione!\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06アンナ\nUn combattimento? Sarà meglio che mi\nnasconda da qualche parte!\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x12\x06アンナ\x08Pain\n\x0E\x03\x02\x08\x06アンナ\nNon è il massimo, ma meglio di niente...\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$S002_蛮族_アクスアーマー_中央\x02b\n\x0E\x03\x02&$S002_蛮族_アクスアーマー_中央\nUna sfortuna dietro l'altra!\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x00"\x1CS002_蛮族_モンク_中央\x02t\n\x0E\x05\x01*\x1CS002_蛮族_モンク_中央\nAngry\n\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nPoche chiacchiere. Tenetevi pronti e all'erta!\x0E\x04\x00\x00
MID_OP5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x12\x06アンナ\x08Pain\n\x0E\x03\x02\x08\x06アンナ\nOh-oh. Da questa parte ci sono troppi banditi.\nSono in trappola.\x0E\x04\x00\x00
MID_OP6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nUhm. Credo che abbiamo trovato il covo dei\nbanditi di cui ci hanno parlato giù in città.\x0E\x04\x00\x00
MID_OP6_#002	\x0E\x03\x02\x0A\x08リュール\nMi dispiace che quelle povere persone abbiano\nsubito tutti quei furti.\x0E\x04\x00\x00
MID_OP6_#003	\x0E\x03\x02\x0A\x08リュール\nRicordi di famiglia, oggetti di valore... Vediamo\nse possiamo restituirli ai legittimi proprietari.\x0E\x04\x00\x00
MID_OP6_#004	\x0E\x03\x02\x0A\x08リュール\nAnche se credo che prima ci toccherà\ncombattere.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16S002_蛮族_シーフ\x02b\n\x0E\x05\x01$\x16S002_蛮族_シーフ\nAngry\n\x0E\x03\x02\x18\x16S002_蛮族_シーフ\nMh? Sbaglio o quella cassa... sì è mossa?\nAllora è lì che si nasconde la ladruncola!\x0E\x04\x00\x00
