MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nGuarda dove siamo! Oh, non ci credo...\nNon è possibile!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nCosa succede, Erika?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0C\nエイリーク\nQuesto posto... giuro che è la copia esatta del\nluogo in cui tutto cambiò per sempre.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nIn che senso?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nエイリーク\nFacevo parte della famiglia reale di Renais.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0C\nエイリーク\nL'impero di Graze, confinante con il mio regno,\nera stato nostro alleato per secoli.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0C\nエイリーク\nMa poi, di punto in bianco, ci attaccò senza\npreavviso.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nDopo una lunga alleanza, non deve essere stato\nfacile.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0C\nエイリーク\nIn quanto figli del re, io e mio fratello\ncombattemmo a difesa del nostro popolo con\nl'aiuto dei nostri amici...\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0C\nエイリーク\nLa battaglia finale ebbe luogo proprio qui.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0C\nエイリーク\nSo che questo luogo non è reale... ma mi\nsembra proprio di essere lì.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nNon serve che continui. Capisco che sia un\nricordo doloroso.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0C\nエイリーク\nQuel giorno... persi un mio caro amico.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nMa non la speranza. Continuasti a combattere.\nSono sicur\x0E\x0A\x00\x08\x02o\x02a che la sua morte non fu vana.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0C\nエイリーク\nTi... andrebbe di combattere con me? Qui.\x0E\x04\x00\x00
