MID_WU_C_1_IN_#001	Ehiii, eccomi qua.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Siete già svegli\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Scommetto che avete percepito la mia presenza!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Dorme della grossa...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Sono abituata a vederl\x0E\x0A\x00\x08\x02o\x02a dormire.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Svegliatevi in fretta, però...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	o vi farò il solletico!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Siete svegli\x0E\x0A\x00\x08\x02o\x02a, Drago Divino!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Non vi sembra di avere già vissuto\nquesto momento?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Buongiorno!\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Drago Diviiinooo! Oh, state dormendo...\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Oh no, siete già svegli\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	È che sembrate così in pace mentre riposate!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Chissà come siete stanc\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Se potessi, vi lascerei dormire.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Ma non si può.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Drago Divino!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Sorgete, o divin\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Scherzavo! Non sono brava a parlare\nin modo solenne.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Wow! Il Drago Divino ha un aspetto così nobile!\nPiano con l'entusiasmo, Framme.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Perdonatemi! Ho cercato di fare piano piano.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Sul mio onore di fan numero uno, prometto\nche d'ora in poi farò meno rumore.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Scusate se ho fatto rumore mentre vi allenavate.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Non volevo distrarvi.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	È difficile trattenersi per una fan sfegatata\ncome me...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Come?! Siete svegli\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Ehm. Buongiorno. Non volerà una mosca, giuro.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Uff, stare in silenzio è dura!\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Drago Divino, indovinate chi ha fatto le pulizie!\nOoops, sta dormendo...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Ah! Vi ho svegliat\x0E\x0A\x00\x08\x02o\x02a! Chiedo scusa.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Volevo solo farvi sapere che il Somniel\nbrilla come non mai!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Dovrei aspettare che vi svegliate...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	O magari... potrei pulire un poco anche qui!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Svuotare il bidone, togliere la polvere...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	Oh no, il vaso!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Scusatemi!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Posso ripararlo. Davvero!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Beh, se non altro, il resto del Somniel\nè tutto in ordine!\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Non temete, la presidente onoraria\ndel vostro fan club è qui!\x0E\x04\x00\x00
