MID_WU_C_1_IN_#001	Sveglia, Drago Divino...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Hai fatto in fretta...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Che invidia...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Per me, sia addormentarmi...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	sia svegliarmi è faticoso.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Non sono la persona ideale a svegliare gli altri.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Diciamo che non sono solare.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Ma prima ti svegli...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	prima finiamo.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Buongiorno.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	È una bella giornata.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Prendi un po' di sole.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	Non vorrai essere cup\x0E\x0A\x00\x08\x02o\x02a come me...\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Vorrei venire a farti visita tutte le mattine.\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	Ma sarebbe sconveniente.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Sei svegli\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Allora tolgo il disturbo...\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Spero che domani venga qualcuno\npiù allegro a svegliarti...\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	Arrivederci.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Mai avrei pensato di trovarmi qui...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	a svegliare il Drago Divino...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Non ho esperienza con queste cose.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Sono terribilmente nervosa.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Buongiorno.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Non mi sento molto a mio agio...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Ma l'opportunità di salutarti appena svegli\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	non potevo farmela scappare.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	È sempre stato il mio sogno.\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	Essere nel Somniel...\x0E\x04\x00\x00
MID_WU_B_1_IN_#003	Pregare di fronte all'altare più sacro...\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	...\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Non volevo svegliarti.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	Ero venuta per pregare.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	Ora ho finito.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#005	Permettimi di dare il buongiorno \x0E\x0A\x00\x10\x04al\x08alla mi\x0E\x0A\x00\x08\x02o\x02a divin\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Mio padre mi ha parlato...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	della regina Lumera.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Ella ha invitato più volte\nla famiglia reale d'Elusia.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	Non abbiamo mai accettato.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	Finora, perlomeno...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Buongiorno.\x0E\x04\x00\x00
