MID_H_INFO_WLV_Bullet	砲弾
MID_MSG_LOST_ITEM	\x0E\x01\x00\x00\x0E\x01\x01\x00を失った
MID_DLC_News_Patch2_Title	Ver.1.3.0 更新内容
MID_DLC_News_Patch2	【エキスパンション・パス】\n\n・紋章士クロム/ルフレ、紋章士ヴェロニカが追加されました\n　それぞれ対応した追加マップをクリアすると仲間になります\n\n【無料アップデート】\n\n・拠点の「不思議な井戸」に機能が追加されました\n　不要なアイテムを別のアイテムに変換できます\n\n・「鍛錬の間」でも「スキル継承」が出来るようになりました
MCID_G003_PREFIX	神竜の章
MCID_G003	幼き皇女
MCID_G003_PLACE	英雄たちの聖域
MCID_G003_OUTLINE	不思議な石碑のある、天空に浮遊する島で、\n新たな腕輪が発見されたとの報せを受けた。
MCID_G006_PREFIX	神竜の章
MCID_G006	聖王
MCID_G006_PLACE	運命と絆の祭壇
MCID_G006_OUTLINE	荘厳な雰囲気を醸し出す、神殿内部にて、\n新たな腕輪が発見されたとの報せを受けた。
MID_RULE_G003_WIN	紋章士ヴェロニカに打ち勝つ
MID_RULE_G006_WIN	紋章士クロム、紋章士ルフレに打ち勝つ
MTID_StartupTile	起動盤
MTID_MagicWall	魔法障壁
MTID_Pond	池
MPID_PhantomWolf	造られしもの
MPID_H_PhantomWolf	秘術によって造り出された魂なき獣。\n己の意思はなく、主の命令に従い行動する。
MPID_Veronica	ヴェロニカ
MPID_H_Veronica	通称『英雄の紋章士』。\n異界の英雄たちを操る力を持つ皇女。
MPID_Chrom	クロム
MPID_H_Chrom	通称『絆の紋章士』。\n仲間を信じ、運命を変える、聖なる王子。
MPID_Reflet	ルフレ
MPID_H_Reflet	通称『絆の紋章士』。\nクロムを支える、記憶喪失の天才軍師。
MGID_Veronica	ヴェロニカ
MGID_H_Veronica	通称『英雄の紋章士』。\n異界の英雄たちを操る力を持つ皇女。\n魔道の力も高く、自らも魔法や杖で戦う。
MGID_H_EnemyVeronica	『幼き皇女の腕輪』から目覚めた紋章士。
MGID_Chrom	クロム
MGID_H_Chrom	通称『絆の紋章士』。\n仲間を信じ、運命を変える、聖なる王子。\n力強い剣技と、絆の力で敵を討つ。
MGID_H_EnemyChrom	『聖王の腕輪』から目覚めた紋章士。
MGID_Reflet	ルフレ
MGEID_Veronica	英雄の紋章
MGEID_Chrom	絆の紋章
MJID_MageCannon	マージカノン
MJID_H_MageCannon	砲弾を撃ち出す銃筒を携えた重装歩兵。\n移動砲台の如く、遠隔から多彩な攻撃を放つ。
MJID_PhantomWolf	幻影狼
MJID_H_PhantomWolf	地を這う狼の眷属。\n素早い動きで翻弄し、呪いの牙を突き立てる。
MIID_Trahison	トライゾン
MIID_H_Trahison	異なる世界の雰囲気を放つ戦槍
MIID_Levanche	ルバンシュ
MIID_H_Levanche	異なる世界の雰囲気を放つ戦斧
MIID_Chocolate	ビターブレード
MIID_H_Chocolate	甘い香りが漂う剣\nアイテムとして使うとなくなるが、\n自分のHPを回復する
MIID_SoftCream	ツイスター
MIID_H_SoftCream	甘い香りが漂う槍\nアイテムとして使うとなくなるが、\n自分のHPを回復する
MIID_Lollipop	ロリポックス
MIID_H_Lollipop	甘い香りが漂う斧\nアイテムとして使うとなくなるが、\n自分のHPを回復する
MIID_Croissant	アルクロワッサン
