MID_WU_C_1_IN_#001	ここで食事をすれば美味そうだな…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	おはようございます…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	朝食は下で召し上がられますか？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	それとも、お持ちいたしましょうか。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	まだ少し時間がある。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	育てたハーブの味見をして待とう…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	ふむ…こちらはスパイシーな香味、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	こちらは甘くむせ返る刺激的な香味だな…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	神竜様。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	よろしければご意見を伺いたい…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	どちらのハーブがよりお好みですか？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	味見はこちらを、少しお舐めください…\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	何か新しい味わいはないものか…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	神竜様、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	この部屋に味見をして良いものはありますか…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	私は常に、新しく斬新な味を求めておりまして…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	ここには食材は見当たらないな、残念。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	他は…ふむ、あの柱や寝台…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	食べられないが、舌触りが気になるな。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	真っ白で、旨そうだ…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	あの、畏れ入りますが寝台を少し味見してみても？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	いえ、私は至って正気ですが…\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神竜様は時折、なかなか起きられぬことがあると伺ったが…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	今日はその日ではなかったようだ…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	すぐに温かい朝食をお作りいたしましょう。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	ふむ、今日はその日らしいな。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	では…料理の匂いで起こすとしよう。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	食材を切り…火を通し、煮込み、味を整え…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	そろそろ完成だ…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	眠りながら感じる香り、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	そして調理の音は良いものでしょう。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	ですが、その、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	涎はお拭きになってください…\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	ふんふん…今日もまた知らない料理の香りがするな…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	この香りは、階下より立ち上ってくるものか…？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	すみません、私はこれで…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	厨房に行き料理を確かめてまいります…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	神竜様のお召し物から、ではないな。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	流石の神竜様でも、\x0E\x04\x00\x00
