MID_WU_C_1_IN_#001	ごめんくださいな、神竜様。入ってもよろしくて？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	まあ、すぐに起きてくださったの。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	おはよう。今日のシェフに、\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	朝食を急いでもらうよう伝えてこないといけないわね。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	わたし、人のお世話をするのが大好きなのだけれど、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	お屋敷では何もさせてもらえなかったから…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	今日は楽しみにしてきたのよ。うふふ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはよう、神竜様。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	朝の支度ならわたしがお手伝いします。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	メイドのお仕事、憧れていたの。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	さあ、何でも言ってくださいな。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	いけない、遅れてしまったわ…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	ごめんなさいね、神竜様。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	喜んでいただける朝食は何かと考えていたら、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	遅れてしまったの。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	好きなメニューは何でしょうか？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	神竜様の朝食のコースを考えていたら、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	すっかり時間を忘れていたわ。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	パンと野菜と、メインは無難にお肉のローストかしら、それとも…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おはよう。朝から悪いのですが、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	神竜様のお食事の好みを教えてくださいますか？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	次回からシェフにお願いする参考にさせていただくわ。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	うれしいわ、わたしがこんな大役を任されるだなんて。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	さすが、神竜様はお目覚めも優雅なのですね。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	わたしはいつもベッドからなかなか起きなくて、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	メイドたちを困らせてしまうんです。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	寝覚めが良くなるよう、今日は宝石を持参したわ。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	ダイヤに、トパーズに、エメラルド…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	これは神竜様の瞳のようなルビーと、サファイアね。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	おはよう。朝の宝石たちは綺麗でしょう？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	ブロディアで産出されて、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	職人が磨き上げたものなのです。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	すべて神竜様に差し上げます。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	ソラネルにはいろんなものが落ちているわね…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	おはよう、神竜様。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	今朝は大きな牛乳瓶が落ちていたんです。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	石ころを拾って以来、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	落ちているものが気になるのよね…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	今朝は牛乳瓶、昨日はお紅茶の葉、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	一昨日は重い金属…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	この前の石ころのように、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	神竜様にお持ちするわけにはいかないけれど…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	わたしにも、落とし主を探すことくらいできるわね。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	神竜様も、手伝ってくださらない？\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	あら、ドレスに埃が…\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	やはり一度戻って、\x0E\x04\x00\x00
MID_WU_A_1_IN_#003	着替えてくるべきだったかしら。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	おはよう。ここに来る前に鍛錬をしてきたの…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	今朝は身嗜みが完璧ではないのだけれど、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	どうか許してくださいね。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	でも、朝の鍛錬は休めないわ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	わたしは実力に乏しい分、頑張らなきゃ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	力は誰にも得られるけれど、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	その対価は努力以外にないもの…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	お目覚めになったのですね。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	朝はゆっくり過ごすのもいいし、\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	体を動かすのも素敵ね。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	神竜様は、どちらがお好きでしょうか？\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神竜様、今朝は朝摘みのハーブでブーケを作りました。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	いい香りでしょう？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	ふふ…このハーブは寝覚めをスッキリさせるそうだから、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	さっそく効果が出たのかしら？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	この前の花束をとても喜んでくださったから…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	今度は趣向を変えてみたわ。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	干しておけばずっと持つから、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	長く楽しめるわね。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	まあ…枕元に置いておこうと思ったのだけれど、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	起きてくださってうれしいです。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	やっぱりわたしは、あなたの喜ぶ顔を見るのが好きですから。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	起こしに来たわ、わたしの大切なパートナーさん。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	朝から宝石を見せてくれるだなんて\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	意趣返しかしら。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	あなたのその瞳のことよ…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	それはどんな宝物も敵わないほど、美しいわ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	今日は野花を摘んできたのよ、あなたにあげたくて。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	こんな気取らないプレゼントも、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	あなたなら喜んでくれるでしょう？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	わたしは大好きなみんなが喜ぶことを\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	何でもしたいと思ってきた。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	でも今は…あなたを誰より一番、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	幸せにしたいと思っているの。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはよう。うふふ…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	この朝の時間は、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	わたしには何よりの宝物だわ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	もし、あなたもそう思ってくれているなら、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	とってもうれしい。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	あの時の花束に、石ころ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	ふふ…このお部屋はわたしの気持ちでいっぱいね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	おはよう。これまでの贈り物、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	とっていてくれて嬉しい。わたしも…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	あなたからの指輪を大切にしているわ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	人生で一番の、宝物として。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	あら、疲れているようね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	ではどこかの浜辺でも買い上げて、休暇を…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	っと、駄目駄目。心のこもらない贈り物はいけないわ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	でも今日は何も持ってきていないし、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	あなたを癒せるようなものは…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	そうだわ。額にそっと、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	キスして差し上げるのはどうかしら…なんて。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	ああっ、お、起きてしまったのね。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	何でもないの。ただ…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	あなたに贈るもののことを考えていたのよ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	きっといつか、必ず…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	楽しみにしていて。\x0E\x04\x00\x00
