MID_WU_C_1_IN_#001	可愛いあたしが今日の起こし係よ！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	おはよう！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	もしかして、あたしに会いたくてすぐ起きてくれたの？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	神竜サマ、可愛いっ！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	あれ、起きないの？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	ははーん、さては寝起きの顔見られたくないのね？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	大丈夫、起き抜けはみんな残念だから、気にしないわよ！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	神竜サマ、おは…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	え、あれ？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	起きてすぐ、その美貌なの？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	なにもしてなくて？　ほんとに？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#005	な、なんか落ち込む…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#006	あたし、もう帰るね…\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	実はキンチョーするのよね、このお部屋…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	わ、すぐ起きたわね。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	もしかしてお部屋に入られたくなかった？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	そうだったら、ごめんね。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	いいのかな…あたし、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	邪竜信仰の国の王族なのに、ここに入って。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	お父様が今のあたしを、お姉様を見たら、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	なんて言うんだろう…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おはよ、神竜サマ。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	へ？顔が暗い？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	憂いがあるって言いなさいよ。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	…ねえ、いろいろあったけどあたし、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	神竜サマのためにもっと頑張るからね。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	イルシオン一可愛いあたしが起こしに来てあげたわよ！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	さあ気合い入れて起こさないと…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	って、もう起きたの？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	折角いろいろ考えてきたのにぃ…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	ま、いっか。おはよ！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	へえ、奇跡の寝相の良さね。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	いびきもかかず死んだように眠って…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	って、これ死んでないわよね。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	ねえ、生きてる？　ちょっと神竜サマ！？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	はぁあ～、起きた。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	良かったあ…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	もう、心配したじゃないの！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	次からはあたしのために、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	もっと寝汚くなりなさいっ！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	今日は特別に、思いやりを込めて起こしてあげようと思うわ。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	いつもは叩き起こしちゃうけど、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	今日はゆっくり優しく…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	って、もう起きてる！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	あたしの思いやりが不発になったじゃなーい！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	よーしよし、いつも頑張っててえらいわね。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	たくさん寝て、よーく体をいたわってね…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	って、これ、あたし逆に寝かしつけてない？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	あ。起きた。良かった…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	今日は見た目だけじゃなくて心も込めてみたわよ。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	この前は、話聞いてくれてありがとね、神竜サマ。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	世界一可愛いあたしが起こしに来たわよ！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	へえ！？　なんですぐ起きるの？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	今日は早く着いたからもっと寝ててよかったのに…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	起こしちゃってごめんね、神竜サマ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	今日は早く起きて身嗜みを整えてきたわ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	おかげで早く着いちゃったけれども、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	今朝のあたしは神竜サマも驚きの美しさなんだから！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはよう。相変わらず綺麗ね。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	でも今日のあたしも負けてな…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	え？今日なんか可愛いって？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	うれしー！神竜サマ、大好きーっ！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	失礼いたします、神竜サマ。うふふ…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	おはよう。あら、何その顔？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	ははーん、さてはあたしだと思わなかったでしょ！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	たまには王女らしく淑やかに、ってキブンだったの。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	勢いよく入室しちゃうのが駄目なのよね。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	もっと神竜サマのことを思って、優しく…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	うん。きっとあたしのお母様ならそうしたわ。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	え、今日はやけに優しいって…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	当然よ。言ったでしょ？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	いつか神竜サマをメロメロにしてみせる、って！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	この世でいっちばん可愛い、パートナーが起こしに来たわよ！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	なーんですぐ起きるの、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	これから優しく起こすつもりだったのに！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	…でも、二人っきりの時間が増えて嬉しい。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	…おはよ、あたしの神竜サマ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	さ、二人っきりの朝の時間よ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	うん、いい…しっくりくるわ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	綺麗なあなたと可愛いあたし。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	並べば、最強のパートナー同士よね。\x0E\x04\x00\x00
