MID_WU_C_1_IN_#001	僭越ながら、睡眠の邪魔をしに参りました。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	無理に起こすのは忍びなかったので、助かりましたよ。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	では、これで。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	しかし、本当に邪魔をするのは申し訳ないですね…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	外の景色でも見て待ちましょう。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	おや、あちらに良い花園が…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	ああ、お目覚めになりましたか。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	これにて僕はお役御免となりましたので、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	あちらの花園まで散歩に行ってまいります。失礼。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	朝ですよ、神竜様。\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	…と言ってすぐ起きるわけありませんよね。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	なんと…！　冷めてしまうと思って諦めたのですが、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	すぐ起きてくださるなら紅茶をお持ちすればよかったです。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	それにしても…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	起きてすぐ目にされるのは、僕のような冴えない者よりも、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	見目麗しい方の方が良いのではと思うのですが…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	そうですね、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	例えば深層の令嬢や、眉目秀麗な青年騎士なんて…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	って、神竜様。いつから目覚めておられたのですか。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	今日は神竜様と僕の組み合わせに向き合いましょう。\x0E\x04\x00\x00
