MID_WU_C_1_IN_#001	わぁぁ…ここが神竜様の御寝所かぁ…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	フフ、おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	寝起きのお姿も素敵ですね。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	神竜様の眠るお姿を拝見できるだなんて、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	こんな貴重な機会に恵まれるとは。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	…竜形での寝姿もいつか見たいものだね。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	眠るお姿もお美しくて、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	起こすのが躊躇われましたよ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	さあ、お手をどうぞ。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	はあ、はあ…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	ここに逃げ込んだな、珍獣リトスハムスター！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	ああっ、起こしてしまいましたか、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	すみません！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	珍獣を追っていたら、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	ついここに…！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	どこだ…どこにいるんだ…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	はうっ、いた…！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	ああ、毛づくろいしてるぅ、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	神竜様の枕元で、ふわふわの毛並みを繕ってる…！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	すみません、睡眠の邪魔を。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	ここに、とってもかわいい子が逃げ込んだんです。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	ああ、もちろん\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	神竜様の次に、ですがね。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神竜様、爽やかな朝ですよ。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	今朝は気持ちよく晴れていて、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	お散歩にぴったりだと思います。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	さ、お手を。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	ん？　何かパサパサと音が…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	はうあっ！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	アレは聖地にしか生息しないというリトスブルーインコ！？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	はうう、かわいい…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	神竜様見てください、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	あそこに珍しいリトスブルーインコが…あっ、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	もういなくなってる…\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	失礼します、神竜様…お目覚めの時間ですよ。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	良かった。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	スマートに起こすことができたようですね。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	さ、皆のもとに参りましょう。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	今日は必要以上の観察は自重しよう。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	以前のようにご不快な思いをさせてはいけないからね。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	かっこよく起こしてみせるさ。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	お目覚めですか。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	朝は甘いものがおすすめですよ、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	僕はよくお菓子をお弁当にして\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	朝の散歩に持っていくんです。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	待てーっ！\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	今日こそはよく姿を見させてもらうよ、新しい珍獣！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	神竜様！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	ここにウサギっぽい耳を持った小さい毛玉が飛び込んだんです、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	一緒に探してください！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	い、いた！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	ああ…やはり新種だ！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	神竜様の耳元でピョンピョンしてる…！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	この子はソラネルピョンネズミと名付けよう…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	起こしてすみません…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	僕は感動しているんです。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	この目で新種の珍獣を…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	ううっ！今日は眠れそうにないっ！！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	そーっと、そーっと…フフ、愛らしい寝姿です。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	ああ、やっぱり…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	寝姿も良いですが、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	やはり神竜様は、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	起きていらっしゃる時が一番お綺麗ですね。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	ふむふむ、神竜様の寝相はすこぶるよく、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	その寝息はまるで夜の草原を撫でる風のように、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	静かで深く美しく…っと。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	はは、すみません。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	図鑑に載せる文章を考えていたんです。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	でも、あなたの美しさは…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	言葉ではうまく言い表せませんね。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	お迎えに参りましたよ、我がパートナー。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはよう。その目覚める姿…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	何度見ても美しいです。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	…これからは僕に、一番たくさん、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	その姿を見せてくださいね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	よく眠っているね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	…ううっ！　やっぱり愛らしい！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	これは君が神竜であるからというわけではなくて、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	僕があなたを特別に思うからこそ\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	湧き上がる感情なのかもしれない。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	そう…ただ一人の人に向ける、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	愛おしいという気持ちなんだね。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	今のを聞いていたのかい？　全く…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	僕は、君の前ではかっこよくいようと思っているのに…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	罪な人ですね。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	待て待て、ソラネルピョンネズミ！\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	そっちはダメだって！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	ごめんよ、起こしてしまって。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	…フフ。頭の上、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	ふわふわした子が乗ってますよ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	動物に懐かれる君も、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	すごくかわいい。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	全くもう…すっかり神竜様の傍がお気に入りなんだね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	耳元でピョンピョンしちゃって。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	まさか、僕がいないときも\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	こっそりそうやって楽しんでるのかい？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	でも、ダメだよ…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	この方は僕のパートナーなんだ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	他の誰にも、渡すつもりはないよ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	さっきそこに、かわいい子が…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	え？　メリンの方がかわいいって！？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	そんなのずるいです。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	柄にもなく、照れるじゃないですか…\x0E\x04\x00\x00
