MID_WU_C_1_IN_#001	僕なんかが起こしに来てごめんなさい…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	ああっ、うるさかったですか？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	それとも存在が嫌でしたか？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	どちらにせよすみませんでした、帰りますね！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	こんな神聖な場所に立ち入っていいのでしょうか…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	でも、僕なんかに与えて貰ったお仕事を放りだすわけには…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	あの、神竜様…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	お、おはようございます！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	眠りを邪魔されてご不快でしたよね、すみません、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	すぐに可及的速やかに、大至急立ち去りますので…！\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	失礼します…ブロディア王子の、ディアマンドじゃない方です。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	ああ、良かった。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	お仕事の一つもこなせないと、いよいよダメ王子ですから。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	起きてくださってありがとうございます。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	わあ…綺麗です。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	神竜様の寝相も、寝顔も完璧。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	うう、それに比べて僕は…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	寝相は悪いし寝言は言うし、なんか落ち込んできた…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	あの、神竜様の寝姿、すごくお綺麗なんですね。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	…あっ、お気に障ったら、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	たいへん申し訳ありませんでした！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	し、失礼します…\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	朝起こしに来てほしくない王子第一位の、僕です…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	あ…僕なんかの声で起きてくださって\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	ありがとうございます。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	明日の起こし係は、絶対に僕より素敵な方ですので…！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	こんなに気持ちよさそうだと、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	起こすのが躊躇われますね…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	この寝顔をお守りしたいのに、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	壊すのが僕の役目だなんて…！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	ああ…起きてしまわれた。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	さぞかし美しい夢をご覧になっていたのに、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	起き抜け一番に見るのが僕の顔で、ほんとすみません…\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	わあ、寝姿も神々しい…眩しくて直視できません…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	あ、ご自分で起きられるなら、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	僕要りませんでしたよね…！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	のこのこ現れてすみません、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	呼んでないのに来てすみませんん！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	神竜様と僕の命の価値は同じだと言ってくださいましたけど…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	もし天秤に載せたら神竜様の命の方に、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	勢い良く傾くに違いないです…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	おはようございます…起こし係、僕なんかですみませ…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	え？　嬉しいって、本当ですか…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	えへへ、お世辞でも、光栄です…\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	どうも…起こし係になると緊張で前の日眠れない、僕です…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	僕なんかの呼びかけですぐ起きてくださるなんて、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	神竜様すごくいい方ですよね…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	柄にもなく、嬉しくなってしまいます…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	はあ…寝ていないせいか不覚にも今、眠気が…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	いや、ここで寝るわけには…でも…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	ぐー、ぐー、ううん、それ、僕じゃなくてゴミです…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	…はっ！　僕寝てました！？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	なんてことだ…神聖な祭壇で立ったまま寝るなんて！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	神竜様、すみませんでしたーっ！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	はあぁ…神竜様をお誘いするなんて、\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	緊張しすぎて死にそうです…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	ああー！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	まだ心の準備ができていないのに起きてしまわれた…！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	神竜様、この前のオオカミと、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	あそ、遊びに行きません…？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	よく考えたら干し肉をもってここに来るのも不審者すぎる…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	いや、ダメだ。僕らしく、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	自然にお誘いするんだ頑張れスタルーク…！\x0E\x04\x00\x00
