MID_WU_C_1_IN_#001	ここがソラネルの…神竜の祭壇…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	おはよう。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	ねえ、はじめて目覚めた日も、\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	そんな風だったの？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	きっと、すごく綺麗だったんだろうね。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	ここでずっと眠ってたんだね。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	もし、もっと早く見つけてたら…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	ううん。見つけても、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	前のわたしじゃここには来られなかった。だから…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	わたし、今の自分を誇らしく思うよ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	戦わなければ、夢を持たなければ…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	今はなかった。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#005	この瞬間は、奇跡みたいなんだね。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	実は一人でも起きられるけど、\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	みんなと交流したくて寝たふりしてるってこと、ない…？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	えへへ、当たり？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	わたしも昔、神殿の人たちとお話ししたくて、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	起きないふりしたことあるんだ。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	今日はわたしとお話ししよっか。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	…と思ったけど、これは…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	完全に寝てるね。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	起きられないほど深く眠っちゃうの、わかるよ、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	わたしも竜だから。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	…よし、起きてーっ！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おはよう！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	体調はどう？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	そっか…なら良かった。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	これからは妹のわたしがいるんだから、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	不安なこと…何でも相談してよね。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神竜の祭壇と邪竜の祭壇…やっぱり全然違うんだね。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	あ、目が覚めた！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	ねえねえ、その祭壇の寝心地はどう？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	え、寝てみるかって…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	それはちょっと、どうなんだろう…？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	わたしの眠ってた祭壇はもっと暗くて、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	お日様の光もほとんど入らなくて…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	でも、消えそうに揺らめく燭台の灯りが、\x0E\x04\x00\x00
