MID_FRIENDLIST_Vandre_TextD	[초기 병과]팔라딘\n[생일]11월 26일\n[비고]제32대 용의 수호자.\n부유섬에 있는 별궁 솔라넬에\n잠든 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02을\x02를\n보살피고 있었다.
MID_FRIENDLIST_Vandre_TextC	[좋아하는 것]\n바느질, 청소, 글쓰기,\n과일, 조용한 장소, 털실\n[싫어하는 것]\n별미, 연회, 향이 강한 것,\n집중을 방해하는 것, 늦잠
MID_FRIENDLIST_Vandre_TextB	[취미]조용한 장소에서 시간 보내기\n[특기]레이스 짜기, 잼 만들기\n[내력]성지 리토스 출신.\n대대로 신룡을 섬기던 집안 출신이다.\n리토스에서는 왕성 소속 성직자가\n마을마다 파견되어 함께 어울려 산다.\n전임자는 반드레의 능력을\n높이 평가해 수호자로 지명했다.
MID_FRIENDLIST_Vandre_TextA	[키]190cm\n[약지 반지 사이즈]22호\n[성격]성실하고 엄격하며 노련하다.\n맡은 일을 묵묵히 처리하지만 가끔은\n소탈한 면모도 보인다. 수호자로서의\n사명이 우선이며 삶을 신룡을 위해\n바치겠다고 결심했다. 동료들 중\n가장 편지 밀봉이 깔끔하다.
MID_FRIENDLIST_Vandre_TextS	[파트너로서의 일상]\n공사를 혼동하지 않기 위해\n다른 사람들 앞에서는 평소처럼\n행동하지만 파트너를 보는 시선이\n조금 부드러워진 것 같다고 한다.\n약속의 반지에 흠집이 날까 봐\n자주 착용하고 다니지는 않지만\n매일 깨끗하게 손질하고 있다.
MID_FRIENDLIST_Clan_TextD	[초기 병과]메이지\n[생일]3월 10일\n[비고]프랑의 쌍둥이 오빠.\n반드레의 뒤를 잇는\n제33대 용의 수호자.\n신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02이\x02가\n깨어난 순간 옆에 있었다.
MID_FRIENDLIST_Clan_TextC	[좋아하는 것]\n신룡, 청소, 공부, 요리, 독서,\n피클, 철학서\n[싫어하는 것]\n벌레, 운동, 괴담,\n동물이 아닌 탈것,\n컨디션이 나쁜 날의 자신
MID_FRIENDLIST_Clan_TextB	[취미]신룡 님 시중들기\n[특기]피클 만들기, 시 외우기\n[내력]성지 리토스 출신.\n성직자 집안에서 태어나\n어렸을 때부터 솔라넬을 드나들었다.\n반드레의 먼 친척이며, 신룡\n\x0E\x06\x03\x00\x0E\x0A\x04\x08\x02을\x02를 향한 마음을\n인정받아 차기 수호자로 지명됐다.
MID_FRIENDLIST_Clan_TextA	[키]160cm\n[약지 반지 사이즈]9호\n[성격]소극적이고 생각이 깊지만\n흥미 있는 일에 관해서는 열정적이다.\n주어진 일은 요령껏 잘 해치운다.\n프랑과 함께 신룡 팬클럽을 결성해\n회장을 맡고 있다.\n동료들 중 가장 보드게임을 잘한다.
MID_FRIENDLIST_Clan_TextS	[파트너로서의 일상]\n처신을 잘해야 한다며 다른 사람들\n앞에서는 여전히 조심스럽지만 둘만\n있을 때는 약간 적극적으로 변한다.\n혼자 있을 때 약속의 반지를 끼고\n그걸 바라보며 행복을 만끽하고 있다.\n언젠가 파트너보다 키가 커져서\n곁에서 지키는 날이 오기를 꿈꾼다.
MID_FRIENDLIST_Fram_TextD	[초기 병과]몽크\n[생일]3월 10일\n[비고]클랜의 쌍둥이 여동생.\n반드레의 뒤를 잇는\n제33대 용의 수호자.\n신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02이\x02가\n깨어난 순간 옆에 있었다.
