MID_MAP_HIS_PhaseBegin_Player	PLAYER PHASE 개시
MID_MAP_HIS_PhaseBegin_Enemy	ENEMY PHASE 개시
MID_MAP_HIS_PhaseBegin_Ally	ALLY PHASE 개시
MID_MAP_HIS_Fixed	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 대기했다
MID_MAP_HIS_Talk	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 대화했다
MID_MAP_HIS_Attack	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 공격했다
MID_MAP_HIS_Rod	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 지팡이를 사용했다
MID_MAP_HIS_EngageCharge	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 패극·에테르를 사용했다
MID_MAP_HIS_Destroy	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 파괴했다
MID_MAP_HIS_ItemUse	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 소지품을 사용했다
MID_MAP_HIS_Trade	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 소지품을 교환했다
MID_MAP_HIS_PutOff	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 소지품을 버렸다
MID_MAP_HIS_Visit	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 방문했다
MID_MAP_HIS_Breakdown	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 제압했다
MID_MAP_HIS_Escape	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 이탈했다
MID_MAP_HIS_Door	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 문을 열었다
MID_MAP_HIS_Torch_Off	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 불을 껐다
MID_MAP_HIS_Torch_On	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 불을 붙였다
MID_MAP_HIS_TreasureBox	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 보물 상자를 열었다
MID_MAP_HIS_Transporter	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 수송대를 사용했다
MID_MAP_HIS_Dance	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 춤췄다
MID_MAP_HIS_Guard	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 체인 가드를 사용했다
MID_MAP_HIS_LucinaEngage	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 인연 방패를 사용했다
MID_MAP_HIS_OverlapSkill	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 용맥을 사용했다
MID_MAP_HIS_CommandSkill	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 \x0E\x01\x01\x00\x0E\x0A\x04\x08\x02을\x02를 사용했다
MID_MAP_HIS_VisionCreate	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 잔상을 생성했다
MID_MAP_HIS_VisionDelete	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 잔상을 제거했다
MID_MAP_HIS_DestroyVillage	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 민가를 파괴했다
MID_MAP_HIS_EngageBreak	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 인게이지 브레이크를 사용했다
MID_MAP_HIS_EngageAttack	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 \x0E\x01\x01\x00\x0E\x0A\x04\x08\x02을\x02를 사용했다
MID_MAP_HIS_PickUp	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 행동했다
