MID_NET_SettingOn	통신 기능을 사용하겠습니까?\n(네트워크에 접속합니다)
MID_NET_TowerNetwork_On	다른 플레이어와 함께 게임을 플레이할 수 있습니다\n통신 기능을 사용하겠습니까?\n(네트워크에 접속합니다)
MID_NET_RANKING_On	이 맵에서 다른 플레이어가 사용한\n유닛의 랭킹을 확인할 수 있습니다\n통신 기능을 사용하겠습니까?\n(네트워크에 접속합니다)
MID_NET_SettingOn_Yes	사용하기
MID_NET_Setting	환경 설정의 통신이 유효한 상태가 아닙니다
MID_NET_Connecting	통신 중
MID_NET_Error_TROPE	통신에 실패했습니다
MID_NET_Connecting_Error	에러가 발생했습니다\n잠시 후에 다시 시도해 주십시오
MID_NET_Title_Help	도전할 시련을 선택해 주십시오
MID_NET_Notes_Terms	｢계전의 시련｣, ｢이계의 시련｣에서는\n다른 플레이어에게 유저의 닉네임이 공개됩니다\n또한, 신룡 전적 카드의 공개 설정을 ｢공개｣로\n설정하면 마이 카드가 상대에게 전송됩니다\n다른 플레이어에게 불쾌감을 주는 행위 및\n부정행위는 하지 말아 주십시오\n공유된 콘텐츠 및 게임 중의 행위에는\n｢닌텐도 어카운트 이용 약관｣이 적용됩니다\n약관에 따라, 다른 플레이어를 배려하는\n플레이를 해 주시기를 부탁드립니다
MID_NET_Notes_Report	｢닌텐도 어카운트 이용 약관｣에 위반되는\n콘텐츠 및 행위가 발견되었을 경우에는\n서버의 데이터를 삭제하거나\n온라인 플레이의 접속을 제한할 수 있습니다\n부적절한 콘텐츠 및 행위에 대해서는\n출격 전에 한하여 ｢시스템｣에서 ｢신고｣할 수 있습니다
MID_MATCH_Title	이계의 시련
MID_MATCH_Help	선택한 맵이나 편집한 맵으로 다른\n플레이어의 부대와 대전하는 시련입니다\n(네트워크를 이용합니다)
MID_MATCH_Title_Help	모드를 선택해 주십시오
MID_RELAY_Title	계전의 시련
MID_RELAY_Help	다른 플레이어와 협력해 하나의 맵을\n릴레이로 플레이하는 시련입니다\n플레이하려면 티켓이 필요합니다\n(네트워크를 이용합니다)
MID_RELAY_Title_Help	시련의 시작 방법을 선택해 주십시오
MID_CHALLENGE_Title	연전의 시련
MID_CHALLENGE_Help	연속으로 맵을 클리어하는 시련입니다\n전투 난이도를 선택할 수 있으며 난이도가\n높을수록 더 좋은 보상을 받을 수 있습니다
MID_CHALLENGE_Closed_Dialog	｢연전의 시련｣은 제11장을 클리어하면\n플레이할 수 있습니다
MID_NETWORK_Map_Outline	맵 정보
MID_NETWORK_Map_Name	지명
MID_NETWORK_Map_Name_Content	\x0E\x01\x00\x00(\x0E\x01\x01\x00)
MID_NETWORK_LimitTurn_Content	\x0E\x01\x00\x00턴×\x0E\x01\x01\x00명
MID_NETWORK_Reward	보상
MID_NETWORK_Degree	칭호
MID_NETWORK_Clear_Reward	클리어 보상
MID_NETWORK_Map_Select	맵 선택
MID_NETWORK_BACK_CONFIRM	메뉴로 돌아가겠습니까?
MID_NETWORK_BACK_CONFIRM_YES	메뉴로 돌아가기
MID_NETWORK_H_BACK_CONFIRM	메뉴로 돌아간다
MID_NET_Error	에러가 발생했습니다
MID_NET_NFC_Error	amiibo를 읽어 들일 수 있는 컨트롤러와의\n통신이 끊어졌습니다
MID_MATCH_Easy	간편 대전
MID_MATCH_H_Easy	원하는 맵을 선택해\n다른 플레이어의 부대와 대전을 치릅니다
MID_MATCH_Easy_TitleHelp	사용할 맵을 선택해 주십시오
MID_V001	심록과 물의 공간
MID_V002	수정과 화염의 공간
MID_V003	포대와 요새의 공간
MID_V004	장벽과 금의 공간
MID_V005	수호신과 기둥의 공간
MID_V006	눈덩이와 얼음의 공간
MID_MATCH_Search	상대 검색
MID_MATCH_Search_Help	대전 상대 선정법을 선택해 주십시오
MID_MATCH_Random	랜덤
MID_MATCH_H_Random	다른 플레이어의 부대가 자동으로\n선택되어 대전을 치릅니다
MID_MATCH_Serious_H_Random	다른 플레이어의 맵이 자동으로\n선택되어 대전을 치릅니다\n(승패에 따라 등급이 변동됩니다)
MID_MATCH_Matching	대전 상대(\x0E\x01\x00\x00)를 찾았습니다
MID_MATCH_Matching_Empty	대전 상대를 찾지 못했습니다
MID_MATCH_Matching_Verification	대전 상대(\x0E\x01\x00\x00)와 대전하겠습니까?
MID_MATCH_NoData	데이터를 찾지 못했습니다
MID_MATCH_Friend	친구
MID_MATCH_H_Friend	친구 등록한 플레이어의 부대가 표시되며\n그중, 대전할 부대를 선택할 수 있습니다
MID_MATCH_Serious_H_Friend	친구 등록한 플레이어의 맵이 표시되며\n그중, 대전할 맵을 선택할 수 있습니다\n(승패와 관계없이 등급이 유지됩니다)
MID_MATCH_Friend_Select_Prompt	친구를 선택해 주십시오
MID_MATCH_Friend_Select	친구 선택
MID_MATCH_Friend_Corps	\x0E\x01\x00\x00
MID_MATCH_Friend_Code	ID 입력
MID_MATCH_H_Friend_Code	ID를 입력해 특정 플레이어의 부대와\n대전할 수 있습니다
MID_MATCH_Serious_H_Friend_Code	ID를 입력해 특정 플레이어의 맵에서\n대전할 수 있습니다\n(승패와 관계없이 등급이 유지됩니다)
MID_MATCH_Friend_Code_Input_Easy	간편 대전 상대의 ID를 입력해 주십시오
MID_MATCH_Friend_ID	이 ID로 검색하겠습니까?
MID_MATCH_Friend_ID_Search	이 ID로 검색하기
MID_MATCH_My_ID_Attention	자신의 대전 ID는 입력할 수 없습니다
MID_MATCH_Profile	전적 카드
MID_MATCH_H_Profile	현재 소지하고 있는 이계의 전적 카드 목록에서\n선택할 수 있습니다
MID_MATCH_Serious_H_Profile	현재 소지하고 있는 이계의 전적 카드 목록에서\n선택할 수 있습니다\n(승패와 관계없이 등급이 유지됩니다)
MID_MATCH_Profile_Select_Prompt	플레이어를 선택해 주십시오
MID_MATCH_Profile_Select	플레이어 선택
MID_ProfileCard_Match_NoProfile	대전 가능한 전적 카드가 없습니다
MID_MATCH_MAP_Error	다운로드한 데이터에서 에러가 검출되어\n대전을 중단했습니다
MID_MATCH_Serious	본격 대전
MID_MATCH_H_Serious	맵을 편집해 공개하거나\n자신의 맵을 다른 플레이어가 공개한\n맵과 연결해서 대전을 치릅니다
MID_MATCH_H_Serious_Attention	본격 대전을 플레이하기 위해서는\n아군 유닛이 2명 이상 필요합니다
MID_MATCH_H_Serious_OldMap	현재 서버에 업로드되어 있는 맵 데이터는\n최신 데이터가 아니므로 대전을 시작할 수 없습니다\n｢맵 편집｣에서 본체의 최신 맵 데이터를 업로드해 주십시오
MID_MATCH_Serious_Help	행동을 선택해 주십시오
MID_MATCH_Friend_Code_Input_Serious	본격 대전 상대의 ID를 입력해 주십시오
MID_MATCH_Battle_Start	대전 개시
MID_MATCH_H_Battle_Start	편집한 맵을 사용해\n다른 플레이어와 대전을 치릅니다
MID_MATCH_Battle_Win	당신의 승리입니다!
MID_MATCH_H_Battle_Lose	당신의 패배입니다…
