MID_MENU_YES	예
MID_MENU_START	시작
MID_MENU_NO	아니요
MID_MENU_CANCEL	돌아가기
MID_MENU_CANCEL_NO	취소
MID_MONETARY_UNIT	G
MID_MENU_UNIT_LIST	부대표
MID_MENU_UNIT_LIST_HELP	아군의 상세 정보를 한 번에 확인한다
MID_MENU_UNIT_LIST_TITLEHELP	아군의 상세 정보를 한 번에 확인한다
MID_MENU_ORDER	위임
MID_MENU_ORDER_HELP	전투 방침을 정해 아군에게 행동을 위임한다
MID_MENU_REWIND	용의 시간석
MID_MENU_REWIND_HELP	시간을 되돌려 다시 행동한다
MID_MENU_SYSTEM	시스템
MID_MENU_H_SYSTEM	튜토리얼 확인 및 환경 설정을 한다
MID_MENU_TUTORIAL	튜토리얼
MID_MENU_TUTORIAL_HELP	튜토리얼 카테고리를 선택해 주십시오
MID_MENU_H_TUTORIAL	튜토리얼을 확인한다
MID_MENU_CONFIG	환경 설정
MID_MENU_CONFIG_HELP	설정을 원하는 대로 조정해 주십시오
MID_MENU_H_CONFIG	환경 설정을 조정한다
MID_MENU_RESTART	다시 하기
MID_MENU_RESTART_HELP	출격 전 상태부터 다시 시작한다
MID_MENU_RESTART_CONFIRM	출격 전 상태부터 다시 시작하겠습니까?\n(획득한 경험치를 포함하여 모두 되돌아갑니다)
MID_MENU_RESTART_CONFIRM_YES	다시 하기
MID_MENU_CONTINUEBATTLE_RESTART	연전 다시 하기
MID_MENU_CONTINUEBATTLE_RESTART_HELP	연전을 최초의 맵부터 다시 시작한다
MID_MENU_CONTINUEBATTLE_CONFIRM	연전을 출격 전 상태부터 다시 시작하겠습니까?\n(획득한 경험치를 포함하여 모두 되돌아갑니다)
MID_MENU_RESET	리셋
MID_MENU_RESET_HELP	타이틀로 돌아간다
MID_MENU_RESET_CONFIRM	현재 상태를 저장하지 않고 타이틀로 돌아가겠습니까?
MID_MENU_RESET_CONFIRM_YES	타이틀로 돌아가기
MID_MENU_TEMPORARY_SAVE	중단
MID_MENU_TEMPORARY_SAVE_HELP	전투 상황을 저장하고 일시적으로 중단한다
MID_MENU_END_TURN	종료
MID_MENU_END_TURN_HELP	아군의 행동을 종료한다
MID_MENU_MVP	MVP
MID_MENU_TURN_COUNT	턴 수
MID_MENU_TURNS_COUNT	턴 수
MID_MENU_WAIT_UNIT_COUNT	미행동
MID_STATUS_STYLE	스타일
MID_STATUS_ATTACK_DEFENSE	물공/수비
MID_STATUS_MAGIC_ATTACK_DEFENSE	마공/마방
MID_STATUS_HIT_AVOIDANCE	명중/회피
MID_STATUS_CRITICAL_SECURE	필살/필살 회피
MID_STATUS_TECHNIQUE_SPEED	기술/속도
MID_STATUS_MOVE_PHYSIQUE	이동/체격
MID_STATUS_NONE	비표시
MID_STATUS_MINIMAP	미니맵
MID_STATUS_MINIMAP_SMALL	표시 사이즈(소)
MID_STATUS_MINIMAP_BIG	표시 사이즈(대)
MID_CONFIG_INITIALIZE	환경 설정을 초기화하겠습니까?
MID_CONFIG_GRID	그리드 투명도
MID_CONFIG_H_GRID	그리드 투명도를 조절합니다
MID_CONFIG_OVERALLINFORMATION	전체 위험 범위 표시
