MID_TUT_CATEGORY_TITLE_Battle	전투
MID_TUT_CATEGORY_TITLE_God	문장사
MID_TUT_CATEGORY_TITLE_Hub	거점
MID_TUT_CATEGORY_TITLE_Kizuna	산책·월드 맵
MID_TUT_CATEGORY_TITLE_Challenge	시련
MID_TUT_CATEGORY_TITLE_Local	픽업
MID_TUT_BMAP_MOVE_TITLE	이동
MID_TUT_BMAP_MOVE_0	아군 유닛에 커서를 올리고 \x0E\x08\x02\x04\x02A를 누르면\n\x0E\x08\x02\x0E\x0CStickL으로 그 유닛을 이동시킬 수 있습니다
MID_TUT_BMAP_MOVE_1	표시되는 ｢파란 범위｣만큼 이동할 수 있습니다
MID_TUT_BMAP_MOVE_2	다시 \x0E\x08\x02\x04\x02A를 누르면 이동이 완료됩니다
MID_TUT_BMAP_COMMAND_TITLE	유닛 커맨드
MID_TUT_BMAP_COMMAND_0	이동을 완료하면 ｢유닛 커맨드｣가 표시되어\n그곳에서 할 수 있는 행동을 선택할 수 있습니다
MID_TUT_BMAP_COMMAND_1	아무것도 하지 않으려면 ｢대기｣를 선택합시다
MID_TUT_BMAP_CHANGE_TITLE	페이즈 체인지
MID_TUT_BMAP_CHANGE_0	모든 아군이 행동을 마치면\n적군 페이즈로 변경되어\n적 유닛이 행동을 시작합니다
MID_TUT_BMAP_CHANGE_1	모든 군의 페이즈가 종료될 때까지를\n｢턴｣이라고 부르며 ｢턴｣이 종료되고 다음 ｢턴｣이 시작되면\n다시 아군 페이즈가 됩니다
MID_TUT_BMAP_ATTACK_TITLE	공격
MID_TUT_BMAP_ATTACK_0	아군을 적 근처로 이동시킨 뒤, \x0E\x08\x02\x04\x02A를 눌러\n유닛 커맨드에서 ｢공격｣을 선택합시다
MID_TUT_BMAP_ATTACK_1	적에게 커서를 올리고 ｢\x0E\x08\x02\x04\x02A 공격｣이 표시되면\n\x0E\x08\x02\x04\x02A를 눌러 공격을 시작할 수 있습니다
MID_TUT_BMAP_ENGAGE_TITLE	인게이지
MID_TUT_BMAP_ENGAGE_0	인게이지 카운트가 최대까지 차면 ｢유닛 커맨드｣에서\n｢인게이지｣를 선택할 수 있습니다
MID_TUT_BMAP_ENGAGE_1	｢인게이지｣를 선택하면 문장사와 일심동체 상태가 되어\n｢인게이지 무기｣라는 특별한 무기를 사용할 수 있습니다
MID_TUT_BMAP_ENGAGE_2	추가로 ｢인게이지 스킬｣이 개방되어\n아군의 능력이 강화됩니다
MID_TUT_BMAP_ENGAGE_3	｢인게이지｣ 상태는 3턴 동안 지속됩니다
MID_TUT_BMAP_ENGAGE_ATTACK_TITLE	인게이지 기술
MID_TUT_BMAP_ENGAGE_ATTACK_0	인게이지 상태가 되면 ｢인게이지 기술｣이라는\n특별한 기술을 사용할 수 있습니다
MID_TUT_BMAP_ENGAGE_ATTACK_1	인게이지 중에 1번만 사용할 수 있지만,\n매우 강력한 위력을 가지고 있습니다
MID_TUT_BMAP_ENGAGE_ATTACK_2	예를 들어 인게이지 기술 ｢스타 러시｣는\n적에게 큰 대미지를 입힙니다\n｢스타 러시｣와 ｢무기｣를 선택하면 사용할 수 있습니다
MID_TUT_BMAP_TERRAIN_TITLE	지형 효과
MID_TUT_BMAP_TERRAIN_0	지형은 다양한 ｢지형 효과｣를 가지고 있습니다\n예를 들어 ｢수풀｣은 적의 공격을 피할 확률이 상승합니다
MID_TUT_BMAP_TERRAIN_1	하지만 ｢수풀｣에 진입하려면 평소보다\n많은 이동력이 필요하므로 주의합시다
MID_TUT_BMAP_TERRAIN_2	｢지형 효과｣는 화면 왼쪽 위의\n｢지형 정보｣에서 확인할 수 있습니다\n적절히 활용해서 유리하게 전투를 펼칩시다
MID_TUT_BMAP_RECOVERY_TITLE	회복
MID_TUT_BMAP_RECOVERY_0	HP가 0이 되면 전투 불능 상태가 됩니다\n그렇게 되기 전에 상처약 등을 이용해 ｢회복｣해 둡시다
MID_TUT_BMAP_RECOVERY_1	유닛 커맨드 ｢소지품｣에서 ｢상처약｣, ｢사용｣을 선택하면\n사용할 수 있습니다
MID_TUT_BMAP_SYNCHRO_TITLE	싱크로
MID_TUT_BMAP_SYNCHRO_0	유닛이 문장사와 전장에 나서\n함께 싸우는 상태를 ｢싱크로｣라고 합니다
MID_TUT_BMAP_SYNCHRO_1	｢싱크로｣ 중에는 능력이 상승하며\n특수한 스킬이 개방됩니다
MID_TUT_BMAP_KIZUNA_LV_TITLE	인연 레벨
MID_TUT_BMAP_KIZUNA_LV_0	아군이 문장사와 함께 싸우면\n둘 사이의 ｢인연 경험치｣가 쌓여\n｢인연 레벨｣이 상승합니다
MID_TUT_BMAP_KIZUNA_LV_1	｢인연 레벨｣이 상승하면\n새로운 스킬을 습득하거나\n각 능력이 상승하기도 합니다
MID_TUT_BMAP_RANGE_TITLE	사정
MID_TUT_BMAP_RANGE_0	무기에는 각각 사정거리가 있습니다\n예를 들어 활은 ｢사정｣이 2이므로\n2칸 떨어진 적을 공격할 수 있습니다
MID_TUT_BMAP_RANGE_1	사정거리가 1인 무기를 지닌 적의 반격을 받지 않지만\n인접한 적을 공격하거나 반격할 수 없습니다
MID_TUT_BMAP_BREAK_TITLE	브레이크
