MID_WU_C_1_IN_#001	부온조르노! 신룡 님, 아침이야!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	일어났어?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	아침 식사는 트로피컬 프루트를 추천할게.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	나는 파인애플이랑 바나나를 좋아해!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	꽤 큰 목소리로 불렀는데 신룡 님, 안 일어나네.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	재밌는걸, 솔룸 왕가는 다들 금방 일어나는 편이라 신선해!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	좋은 아침, 신룡 님!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	모처럼 내가 깨우러 왔으니까\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	이대로 같이 아침 먹으러 갈래?\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	신룡 님, 신룡 님~! …어라, 자고 있네.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	혹시 일어나려던 참이었어?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	신룡 님의 졸린 얼굴을 보다니\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	운이 좋네~\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	자경단에 서한을 보내고 싶은데\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	솔라넬에서 보내려면 어떡해야 하지…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	솔룸에서는 플라밍고로 보내는데~\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	일어났다!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	저기, 신룡 님,\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	솔라넬에서 서한을 어떻게 보내는지 알려 줘.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	물론 단둘이서 있을 때 말이야~\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	드디어 내 차례가 돌아왔네… 힘내서 깨워야지!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	벌써 일어났잖아?!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	아아~ 모처럼 힘차게 왔는데 재미없어!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	다시 자 봐,\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	좀만 눈 감고 있어 줘, 부탁할게!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	우선 맛있는 음식의 냄새로… 안 일어나네.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	다음은 귓가에 대고 악기 연주하기… 이것도 실패.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	그럼 이거다. 귀에 바람 불어넣기!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	후…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	좋은 아침~!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	내가 깨우는 거 어땠어?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	다음은 또 다른 방법을 시도할 테니까\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	가장 마음에 든 걸 알려 줘.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	알았지? 신룡 님.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	차오, 신룡 님… 자는데 미안.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	아, 일어나 있었어?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	아니, 조금 이야기하고 싶었을 뿐이야!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	바로 일어나 주다니\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	역시 착해~!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	자고 있는 거면 마침 잘됐다.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	저번에 내가 노력하는 걸 남들에게 들키기 싫다는 이야기…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	들어 줘서 고마워.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	덕분에 나는…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	아니, 아무것도 아니야.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	내가 정말 좋아하는 신룡 님을 위해서\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	좀 더 노력해야겠다고 생각했어.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#005	이 말을 전하고 싶었을 뿐이야.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	이곳에 오는 게 점점 좋아지는걸.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	좋은 아침~ 신룡 님!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	바로 일어나다니,\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	역시 신룡 님도\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	내가 깨워 주는 게 좋아진 거지?\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	후후후…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	큰 소리로 깨웠는데도 일어나지 않다니 만만치 않네.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	그럼, 이 향이 사라지기 전에 일어나면 내가 이기는 거야…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	그럼 시작!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	어라, 생각보다 빨리 일어났잖아.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	그럼 내가 이겼네.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	보상에 대해서는 언제 한번 둘이서 이야기하자.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	솔룸 왕국 제1왕자 포가토,\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	지금부터 신룡 님을 깨우겠습니다!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	오, 바로 일어났다.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	아직 시간 있으니까\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	신룡 님이 좋아하는 음식 이야기라도 들어 볼까?\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	저기 말이야, 신룡 님.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	내가 대활약하면 같이 식사하겠다는 이야기\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	기억하고 있어?\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	나, 정말 계속 기대하고 있거든.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	일어났다, 일어났다.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	그럼, 나는 이만.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	잔뜩 단련해서\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	빨리 전장에서 대활약할 수 있어야 해…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#005	그렇지? 신룡 님!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	신룡 님~! 이렇게 깨우러 올 수 있어서 기뻐~!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	아, 미안.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	목소리가 컸지?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	놀라게 하려던 건 아니었어.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	…지금부터 조용히 할 테니까 용서해 줘.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	저기, 좋은 아침이야.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	나, 파트너가 된 후로는 계속 행복해.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	고마워. 아, 하지만…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	좀처럼 둘만의 시간을 가질 수 없는 건 불만이야.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	뭐, 신룡 님은 장군이니까 어쩔 수 없지만…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	가끔은 이렇게 둘이서만 천천히 보내고 싶어.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	아아, 난 욕심쟁이야.\x0E\x04\x00\x00
