MID_WU_C_1_IN_#001	아, 아아아… 엄청 긴장돼…!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	앗! 일어나 주셨어요?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	이런 고귀한 방에 발을 들여놓아서 죄송합니다.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	여기가 성지의 제단이겠지?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	가구들도 전부 비싸 보이고 마루도 질 좋은 돌…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	아아, 고급스러움에 짓눌리겠어…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	좋은 아침이에요! 살았다…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	이걸로 임무가 끝났으니까 실례할게요.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	자는 건 좋아… 그때는 배가 고프지 않으니까.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	좋은 아침이에요, 신룡 님.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	오늘 깨우기 당번은 라피스예요.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	그럼 이만…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	신룡 님, 베개도 없는데 아프지 않으시려나?\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	난 없어도 전혀 상관없지만…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	이참에 만들어 드릴까?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	앗, 죄송해요.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	저도 참, 깨워 드리러 왔는데 베개 생각만 했네요…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	조, 좋은 아침입니다앗.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	나도 모르게 일찍 도착해 버렸어.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	죄, 죄송해요. 아직 좀 이르니까\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	다시 주무셔도 괜찮아요…!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	일어나실 때까지 공작이라도 하자.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	오늘은 이 나무와 이 나무를 이렇게\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	돌을 맞물리게 해서 고정하고 색을 바르면…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	신룡 님 전용 알람 시계를 만들고 있었어요.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	정해진 시간이 되면 폭발하는 뛰어난 물건인데요…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	네? 필요 없으세요…?\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	영차… 우유랑 물을 운반하면서 오니까 힘들다.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	아침엔 물로 연하게 만든 우유가 제일이죠.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	후후. 저번에 단련을 같이 해 주셔서 기뻤지.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	지게도 마음에 들어 하셨고…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	다음은 뭘 만들어 볼까?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	신룡 님, 일어나서 물로 연하게 만든 우유 한잔 어떠세요?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	연한 정도도 2배에서 10배까지 조절 가능해요.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	일어나실 시간이에요, 신룡 님.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	깨어나시는 모습도 멋져요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	덕분에 이 비싸 보이는 방에서의 시간도 금방 끝났네요.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	실눈 뜨고 들어가야지…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	비싸 보이는 가구만 안 보이면 긴장 같은 건…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	…반대로 위험하겠다. 보이지 않으니 부술까 걱정되네.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	신룡 님, 저 어떻게 하면\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	이 방에 들어오더라도 긴장하지 않을까요…?\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	하아, 하아, 브로디아 감자를 캐다 보니 늦어 버렸어…!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	다행이에요, 바로 일어나셔서!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	늦었으니 사과의 의미로 다음에 감자 요리를 해 드릴게요!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	아아… 감자 말고\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	먹을 수 있는 잡초까지 찾아 버린 게 실수였어.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	찾으면 나도 모르게 계속 채취하고 싶어진단 말이야…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	신룡 님, 죄송해요. 오늘은 제가 좀 늦었어요…!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	네에?! 이 풀이요?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	과, 관상용이에요. 관상용…!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	저, 저예요… 신룡 님.\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	드디어 긴장하지 않게 됐어요.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	좋은 아침이에요. 바로 일어나셔서 다행이지만\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	열심히 깨우는 것도 좋아요.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	당신과 함께라면 어떤 고생을 하더라도 기쁘거든요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	오늘은 『약속의 반지』를 끼고 왔어요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	감자를 캘 때는 더러워지고\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	싸울 때는 잃어버릴까 무섭고\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	너무 소중하다 보니 좀체 끼지 못하지만…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	지금이라면, 둘만 있는 지금이라면…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	보물을 끼고 있어도 괜찮겠죠?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	좋은 아침이에요. 조금만 더\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	이 시간을 제게 나눠 주시면 안 되나요?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	당신과 함께하는 이 시간이 무엇보다 사치스러워서…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	저, 정말 좋아하거든요.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	당신의 파트너, 라피스예요. …나도 참.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	혹시 듣고 계셨어요?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	그, 그저 행복해서 다시 확인해 본 것뿐이에요!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	다시 입 밖에 내려니 조금 부끄럽지만요…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	오늘은 감자가 아니라 광석을 채취해서 가져왔는데…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	어느 색을 좋아하실까?\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	나는 분홍색이 좋을 거 같은데…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	골라 준 돌을 박아서\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	나도 신룡 님께 드릴 반지를 만들어야겠어.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	그 어느 때보다도 더 확실한 형태로 마음을 전하고 싶으니까.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	일어나셨어요?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	이거 엄청 예쁘지 않나요?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	하나로는 부족할 정도로, 전부…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	제가 당신을 생각하는 마음이에요.\x0E\x04\x00\x00
