MID_OP1_#001	Field_Outdoor
MID_OP1_#002	
MID_OP1_#003	
MID_OP1_#004	
MID_OP1_#005	
MID_OP1_#006	
MID_OP1_#007	
MID_OP1_#008	
MID_OP1_#009	
MID_OP1_#010	
MID_OP1_#011	
MID_OP1_#012	
MID_OP1_#013	
MID_OP1_#014	
MID_OP1_#015	
MID_OP1_#016	
MID_OP1_#017	
MID_OP1_#018	
MID_OP1_#019	
MID_OP1_#020	
MID_OP1_#021	*\nENV_Evt_VolumeDown\nBGM_Evt_Consultation_Stop_Normal
MID_OP2_#001	ENV_Evt_VolumeReset\nField_Outdoor
MID_OP2_#002	BGM_Evt_Daily3
MID_OP2_#003	
MID_OP2_#004	
MID_OP2_#005	
MID_OP2_#006	
MID_OP2_#007	
MID_OP2_#008	
MID_OP2_#009	
MID_OP2_#010	
MID_OP2_#011	
MID_OP2_#012	
MID_OP2_#013	
MID_OP2_#014	
MID_OP2_#015	
MID_OP2_#016	
MID_OP2_#017	
MID_OP2_#018	
MID_OP2_#019	
MID_OP2_#020	
MID_OP2_#021	
MID_OP2_#022	
MID_OP2_#023	
MID_OP2_#024	BGM_Evt_Daily3_Stop_Normal
MID_OP2_#025	
MID_OP2_#026	A_BGM_Evt_Veyre_Sad_1\nBGM_Evt_Veyre_Sad\n
MID_OP2_#027	
MID_OP2_#028	
MID_OP2_#029	
MID_OP2_#030	
MID_OP2_#031	
MID_OP2_#032	
MID_OP2_#033	
MID_OP2_#034	
MID_OP2_#035	
MID_OP2_#036	
MID_OP2_#037	
MID_OP2_#038	
MID_OP2_#039	
MID_OP2_#040	
MID_OP2_#041	
MID_OP2_#042	
MID_OP2_#043	
MID_OP2_#044	
MID_OP2_#045	
MID_OP2_#046	
MID_OP2_#047	
MID_OP2_#048	
MID_OP2_#049	
MID_OP2_#050	*\nB_BGM_Evt_Veyre_Sad_2\n
MID_OP2_#051	
MID_OP2_#052	
MID_OP2_#053	
MID_OP2_#054	
MID_OP2_#055	
MID_OP2_#056	
MID_OP2_#057	
MID_OP2_#058	
MID_OP2_#059	
MID_OP2_#060	
MID_OP2_#061	
MID_OP2_#062	
MID_OP2_#063	
MID_OP2_#064	
MID_OP2_#065	
MID_OP2_#066	
MID_OP2_#067	
MID_OP2_#068	
MID_OP2_#069	
MID_OP2_#070	
MID_OP2_#071	
MID_OP2_#072	
MID_OP2_#073	
MID_OP2_#074	
MID_OP2_#075	
MID_OP2_#076	*\nC_BGM_Evt_Veyre_Sad_3
MID_OP2_#077	
MID_OP2_#078	
MID_OP2_#079	
MID_OP2_#080	*\nD_BGM_Evt_Veyre_Sad_3_End
MID_OP2_#081	*\nEnv_Evt_Ircion_Harbor_End
MID_OP3_#001	BGM_Evt_Veyre_Sad_Stop\nField_Outdoor
MID_OP3_#002	
MID_OP3_#003	
MID_OP3_#004	
MID_OP3_#005	
MID_OP4_#001	Field_Castle\n*\nBGM_Evt_Veyre_Sad_Stop_Fast
MID_OP4_#002	BGM_Evt_Disturb2
MID_OP4_#003	
MID_OP4_#004	
MID_OP4_#005	
MID_OP4_#006	
MID_OP4_#007	
MID_OP4_#008	
MID_OP4_#009	
MID_OP4_#010	
MID_OP4_#011	
MID_OP4_#012	
MID_OP4_#013	
