MID_RELIANCE_C_#001	BGM_Evt_Daily1_Short
MID_RELIANCE_C_#002	
MID_RELIANCE_C_#003	
MID_RELIANCE_C_#004	
MID_RELIANCE_C_#005	
MID_RELIANCE_C_#006	
MID_RELIANCE_C_#007	
MID_RELIANCE_C_#008	
MID_RELIANCE_C_#009	
MID_RELIANCE_C_#010	
MID_RELIANCE_C_#011	
MID_RELIANCE_C_#012	
MID_RELIANCE_C_#013	
MID_RELIANCE_C_#014	
MID_RELIANCE_C_#015	
MID_RELIANCE_C_#016	
MID_RELIANCE_C_#017	
MID_RELIANCE_C_#018	
MID_RELIANCE_C_#019	*\nBGM_Evt_Daily1_Short_Stop_Normal
MID_RELIANCE_B_#001	Env_Evt_Solum_Desert_Night_Start
MID_RELIANCE_B_#002	
MID_RELIANCE_B_#003	
MID_RELIANCE_B_#004	
MID_RELIANCE_B_#005	
MID_RELIANCE_B_#006	
MID_RELIANCE_B_#007	
MID_RELIANCE_B_#008	
MID_RELIANCE_B_#009	
MID_RELIANCE_B_#010	
MID_RELIANCE_B_#011	
MID_RELIANCE_B_#012	
MID_RELIANCE_B_#013	
MID_RELIANCE_B_#014	
MID_RELIANCE_B_#015	
MID_RELIANCE_B_#016	
MID_RELIANCE_B_#017	
MID_RELIANCE_B_#018	
MID_RELIANCE_B_#019	
MID_RELIANCE_B_#020	
MID_RELIANCE_B_#021	
MID_RELIANCE_B_#022	*\nEnv_Evt_Solum_Desert_Night_End
MID_RELIANCE_A_#001	BGM_Evt_Daily2_Short
MID_RELIANCE_A_#002	
MID_RELIANCE_A_#003	
MID_RELIANCE_A_#004	
MID_RELIANCE_A_#005	
MID_RELIANCE_A_#006	
MID_RELIANCE_A_#007	
MID_RELIANCE_A_#008	
MID_RELIANCE_A_#009	
MID_RELIANCE_A_#010	
MID_RELIANCE_A_#011	
MID_RELIANCE_A_#012	
MID_RELIANCE_A_#013	
MID_RELIANCE_A_#014	
MID_RELIANCE_A_#015	
MID_RELIANCE_A_#016	
MID_RELIANCE_A_#017	
MID_RELIANCE_A_#018	
MID_RELIANCE_A_#019	
MID_RELIANCE_A_#020	
MID_RELIANCE_A_#021	
MID_RELIANCE_A_#022	
MID_RELIANCE_A_#023	
MID_RELIANCE_A_#024	
MID_RELIANCE_A_#025	
MID_RELIANCE_A_#026	*\nBGM_Evt_Daily2_Short_Stop_Normal
