MID_WU_C_1_IN_#001	神龍大人……我真的能進來嗎？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	沒想到您會馬上起床呢。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	那麼，我先告辭了……！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	嗯……該怎麼叫醒他才好呢？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	對方可是神龍大人，千萬不能做出失禮的行為……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	神龍大人、神龍大人……！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	是凡德雷先生請我來……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	叫神龍大人起床的。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	呼、呼……\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	終於到了……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	早安！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	我找不到您的寢室在哪裡，迷路了好一陣子……！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	我原本打算去神龍大人的寢室……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	卻不小心走到索拉涅爾的邊界去了。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	不好意思……神龍大人，該起床囉！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	都怪我迷路才害您睡過頭……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	我們跑去跟大家會合吧！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神龍大人，我是布修隆……恕我打擾了。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	咦？您已經醒來了啊。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	是我的腳步聲太吵了嗎……？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	我剛才跑去散步了一下。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	索拉涅爾裡處處綠意盎然，我很享受漫步其中的感覺呢。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	神龍大人，您要不要跟我一起在早上散散步呢？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	啊，我不是想讓您帶路喔……！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	這次沒有迷路了……很好！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	今天我總算是準時叫醒您了呢。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	對此我感到十分自豪……！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	神龍大人。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	老是在山上迷路的我……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	今天總算沒有迷路了。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	請看看我的這副英姿吧……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	我們去跟大家會合吧。來，這邊請……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	咦？那邊不是出口嗎？唔……！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	為了讓神龍大人放鬆一下，今天我可是有備而來喔。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	……哎呀！神龍大人，您怎麼這麼快就醒了。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	看來只能改天再試試那個方法了。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	我聽說水聲能治癒人心……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	所以就帶了一杯水來。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	您聽聽，清澈的水連聲音都不一樣呢……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	咦？您說這聲音太悅耳所以還很睏？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	等等……您可不能睡回籠覺啊！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	今天來得有點早……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	啊，神龍大人。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	我怕迷路所以就早點出門了。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	偶爾早起一下也不錯呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	我實在不忍心這麼早就叫醒神龍大人……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	來讀讀「費列聶之愛・外傳」打發時間吧……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	嗚！才一開始就這麼感人……！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	嗚嗚……嗚……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	神龍大人，早安……！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	不好意思，我又被書中的故事感動到哭了……！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我最近都沒有迷路呢……真是太好了。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	呵呵，您是怕跟著我會迷路，所以不滿是我來叫醒您嗎？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	放心，我一定會護送您到目的地。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	話說回來，還真是不可思議呢……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	不久前，我只是個普通的士兵。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	如今卻成為了神龍大人的搭檔……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	嗚……一看到「約定戒指」，我心中就波動不已。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	神龍大人選擇了我……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	這是我一生中最大的幸福……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	對不起，又讓您看到了我的醜態。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	像這樣跟神龍大人在一起，實在太幸福了……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	幸福到讓我喜極而泣呢。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	神龍大人，我們一起去森林散步吧……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	哎呀，還在睡呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	哈哈，您今天起得很早呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	這麼說或許有點不要臉，不過……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	您是看到我才這麼快起來的嗎？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	總覺得有點不忍心叫醒神龍大人呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	畢竟……只有在夢中，他才能忘掉戰爭的痛苦吧。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	神龍大人，我會代替強忍淚水的您……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	流乾所有傷心的淚水。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	您的笑容……就由我來守護吧。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	好了，我們今天也出去散散心吧。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	我會追隨您到天涯海角，永遠陪伴在您的身邊喔。\x0E\x04\x00\x00
