MID_WU_C_1_IN_#001	早上囉，神龍大人！！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	爾醒了嗎！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	好啦，咱們去吃早飯吧，吃早飯！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	余先過去囉！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	唔，余進房喊的第一聲竟沒能叫醒爾嗎……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	這可真……頑強啊！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	但也就到此為止了。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	……神～龍～大～人～～！！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	噢，起床啦！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	醒了咱們就快去吃早飯吧。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	希望今天的早飯是白飯配味噌湯吶。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	神龍大人，爾說是不是？\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	今日負責叫神龍大人起床的就是……\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	余！眉清目秀，華麗絢爛的花月！！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	早安，雖然已經是晚上了……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	哈哈哈，看來余也……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	需要一個人來叫余起床呢！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	知道為什麼余早上沒來叫爾起床嗎？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	因為余也睡著了吶！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	余睡醒時已是晚上了！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	請、請原諒余吧！神龍大人！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	唔……余能看見自己……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	被凡德雷罵的未來。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	余要趁現在趕快逃跑了！再見！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神龍大人，快起床啦！太陽曬屁股啦！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	……余只是覺得這麼說爾就會醒了，現在還是早上。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	怎麼樣，是不是奇思妙想啊！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	神龍大人，再不起來可就大事不妙啦。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	早飯會被吃光，午飯也會被搶光……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	那樣爾可就得意志消沉地度過一天囉……！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	余開玩笑的，現在還是早上喔。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	……爾別一臉嫌棄啊！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	爾那眼神簡直……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	和艾比殿下看余的眼神一樣啊～！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	余來叫摯友起床了～！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	爾可真是余的好摯友。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	一叫就醒了，余真是開心。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	要不咱們就這樣去約會吧？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	今天似乎是個睡覺的好日子吶。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	余想更了解神龍大人的事。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	雖然可以問神龍大人……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	但靠自己觀察也是種樂趣呢。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	如果爾還很睏，不如再瞇一會吧。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	余會去跟大家說的。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	咱倆是摯友嘛，這只是小事一樁！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	早睡早起有益身心健康！\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	伊爾席翁的王城士兵花月，來也！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	嗯！看來大嗓門作戰成功了呢。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	余想早點和神龍大人聊天吶！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	哦，余發出這麼大的聲音神龍大人居然還不起床……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	看來是習慣了呢。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	還是說，他這是在睡夢中走了？！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	噢，太好了，爾沒事！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	一想到余最喜歡的神龍大人再也醒不過來……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	余就不知該如何是好啊！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	余來叫神隊友起床了～！\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	……神龍是余的神隊友。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	早睡早起，非常好！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	只要爾有精神……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	余也會很開心喔！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	神龍大人聽說了余家裡的情況後，說會幫助余。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	余很想回報那份心意……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	這話若要跟本人說，那還真難為情吶。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	爾、爾該不會聽到余剛剛說的話了吧？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	雖然很害羞，但畢竟是事實……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	總之，余會為了神龍大人努力的！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	搭檔花月來叫爾起床啦～！\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	……搭檔，真好聽的稱呼。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	噢，余太大聲了嗎？抱歉。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	余太忘情了。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	……那今天早上余就換個方式吧。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	換成悄悄地打招呼……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	早安。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	看來爾已經完全習慣余的大嗓門，叫不醒了呢！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	連這種事都讓余感到很開心吶。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	畢竟余是神龍大人最重要的人嘛。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	神龍大人也是余最重要的人喔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	兩情相悅竟是如此愉悅的事。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	是啊……余只要看著「約定戒指」，就覺得很幸福。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	余最喜歡神龍大人了……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	哦，余的搭檔醒了吶。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	把握晨起時的好氣氛！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	……早安，余發誓今天一天……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	都會想著爾，為爾奉獻一己之力的。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	余想見爾，所以提早來了……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	余可以進去嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	噢！爾這麼快就醒了啊。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	余的搭檔就是棒！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	雖然余很想就這麼抱著不放……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	但現在還是忍耐忍耐吧。\x0E\x04\x00\x00
