MID_WU_C_1_IN_#001	四翼的瑪德琳，前來叫神龍大人起床了。
MID_WU_C_1_SOON_#001	居然能察覺到我的氣息，
MID_WU_C_1_SOON_#002	然後馬上清醒過來。
MID_WU_C_1_SOON_#003	真不愧是我軍的最高領袖。
MID_WU_C_1_SOON_#004	我深感佩服啊，神龍大人。
MID_WU_C_1_WAKEUP_#001	看來神龍大人睡得很沉呢。
MID_WU_C_1_WAKEUP_#002	要是此時出現刺客，他的性命就危險了。
MID_WU_C_1_WAKEUP_#003	我得好好守護他才行……
MID_WU_C_1_HELLO_#001	您醒來了啊。
MID_WU_C_1_HELLO_#002	不，這點小事不值得您的稱讚。
MID_WU_C_1_HELLO_#003	要是有人想趁您睡覺時偷襲，
MID_WU_C_1_HELLO_#004	我一定會讓他吃不完兜著走！
MID_WU_C_2_IN_#001	神龍大人，快起床！
MID_WU_C_2_IN_#002	現在起來的話，還不算睡過頭喔！
MID_WU_C_2_SOON_#001	呼，還好趕上了。
MID_WU_C_2_SOON_#002	在避免睡過頭的同時獲得充足的睡眠……
MID_WU_C_2_SOON_#003	您的手法真是高明啊。
MID_WU_C_2_SOON_#004	不過，還是請您快去梳洗吧。
MID_WU_C_2_WAKEUP_#001	糟糕，他完全沒有要醒來的跡象。
MID_WU_C_2_WAKEUP_#002	但就這樣放棄的話，可有損我的騎士之名。
MID_WU_C_2_WAKEUP_#003	看來只能用粗暴一點的方法了……
MID_WU_C_2_WAKEUP_#004	吃我這招～！！
MID_WU_C_2_HELLO_#001	呼……
MID_WU_C_2_HELLO_#002	我聽說比起聲音，震動更容易讓人醒來，
MID_WU_C_2_HELLO_#003	所以就用盡全力地搖您的床了。
MID_WU_C_2_HELLO_#004	好了，請趕緊去梳洗吧。
MID_WU_B_1_IN_#001	神龍大人，差不多是起床的時候了……
MID_WU_B_1_IN_#002	哇，您的床上有蟲……！
MID_WU_B_1_SOON_#001	哦哦，神龍大人一起床，
MID_WU_B_1_SOON_#002	那隻蟲就飛出房間了。
MID_WU_B_1_SOON_#003	太好了……
