MID_WU_C_1_IN_#001	哇……這裡就是神龍大人的寢室嗎……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	呵呵，早安。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	您睡醒的樣子也非常優雅呢。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	沒想到能親眼目睹神龍大人就寢的樣子……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	這可是十分難得的經驗啊。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	……希望有天也能看到龍型態的睡姿呢。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	您的睡臉實在太美了……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	讓我都不忍心叫醒您呢。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	來，請把手交給我吧。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	呼、呼……\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	你已經無路可逃了，珍禽異獸里特司倉鼠！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	啊，我吵醒您了嗎？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	真是抱歉！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	我正在追一隻珍禽異獸……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	一不留神就追到這裡了……！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	到底……跑到哪去了……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	呼，找到了……！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	啊，就在神龍大人的枕邊……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	理一下那軟綿綿的毛……！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	抱歉打擾到您休息了……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	有一隻可愛的小傢伙跑了進來。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	啊，不過……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	最可愛的還是神龍大人喔。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	真是個清爽的早晨呢，神龍大人。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	今天的天氣非常舒適……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	很適合出去散散步喔。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	來，請把手交給我吧。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	嗯？好像有什麼聲音……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	哇啊！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	那不是聖地特有的里特司藍鸚鵡嗎！？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	哇……真可愛……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	神龍大人，您快看……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	那裡有一隻稀有的里特司藍鸚鵡……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	啊……飛走了……\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	打擾了，神龍大人……該是起床的時間囉。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	太好了。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	看來我順利叫醒您了呢。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	來，我們快去跟大家會合吧。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	我今天得注意一點，不能一直盯著神龍大人看。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	要是像之前那樣惹神龍大人不高興可就不好了。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	我一定會帥氣地叫您起床。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	您醒了嗎？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	早上吃點甜食對身體不錯喔。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	我也常帶著裝滿點心的便當……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	在晨間散步呢。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	站住──！\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	我今天一定要看清楚你的樣子……新品種的珍禽異獸！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	神龍大人！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	剛才有一隻長著兔耳的小毛球跑進來了吧？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	可以跟我一起找嗎！？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	找、找到了！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	喔喔……果然是新品種！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	牠正在神龍大人的耳邊跳來跳去呢……！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	就把這個小傢伙命名為索拉涅爾跳跳鼠吧……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	抱歉吵醒您了……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	我現在非常感動。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	沒想到能發現新品種的珍禽異獸……\x0E\x04\x00\x00
