MID_WU_C_1_IN_#001	四翼首領──賽勒斯提雅，
MID_WU_C_1_IN_#002	今天受命負責叫醒神龍大人……！
MID_WU_C_1_SOON_#001	真不愧是神龍大人，
MID_WU_C_1_SOON_#002	連我這魔龍的氣息也能察覺到呢。
MID_WU_C_1_SOON_#003	咦？您說我沒有隱藏氣息？
MID_WU_C_1_SOON_#004	怎麼會……
MID_WU_C_1_WAKEUP_#001	呵呵呵，沒想到會輪到我……
MID_WU_C_1_WAKEUP_#002	這種成為軍隊一員的感覺，真是開心。
MID_WU_C_1_WAKEUP_#003	那麼，我可要好好努力……
MID_WU_C_1_WAKEUP_#004	神龍大人──！
MID_WU_C_1_HELLO_#001	很好，看來我完美地達成使命了呢。
MID_WU_C_1_HELLO_#002	真是令人愉快的工作。
MID_WU_C_1_HELLO_#003	咦？那下次要輪到誰來負責……？
MID_WU_C_2_IN_#001	神龍大人，我來迎接您了！
MID_WU_C_2_IN_#002	啊……他還在休息呢。
MID_WU_C_2_SOON_#001	對不起，
MID_WU_C_2_SOON_#002	都怪我叫得太大聲嚇醒您了。
MID_WU_C_2_SOON_#003	下次我會用淑女一點的方式叫您。
MID_WU_C_2_WAKEUP_#001	真是傷腦筋，我還以為神龍大人已經起床了。
MID_WU_C_2_WAKEUP_#002	為了讓他醒來時可以馬上出門，
MID_WU_C_2_WAKEUP_#003	我得準備好替換的衣服才行……
MID_WU_C_2_WAKEUP_#004	啊……！？
MID_WU_C_2_HELLO_#001	對、對不起。
MID_WU_C_2_HELLO_#002	我踩到床周圍的布，腳滑摔倒了。
MID_WU_C_2_HELLO_#003	神龍大人出門時也請務必小心。
MID_WU_C_2_HELLO_#004	啊哈哈……
MID_WU_B_1_IN_#001	剛才的餐點非常美味呢。
MID_WU_B_1_IN_#002	我想分享給神龍大人……
MID_WU_B_1_IN_#003	哎呀，他還在睡覺呢。
MID_WU_B_1_SOON_#001	其實我是想來餵神龍大人喝蒜頭湯。
MID_WU_B_1_SOON_#002	不過，這道料理好像不太適合起床時喝呢。
MID_WU_B_1_SOON_#003	我待會再來，神龍大人。
MID_WU_B_1_WAKEUP_#001	前陣子我們一起喝了湯，真的很開心呢。
MID_WU_B_1_WAKEUP_#002	我原本想重溫那段時光，不過……
MID_WU_B_1_WAKEUP_#003	呵呵……今天就先作罷吧。
MID_WU_B_1_HELLO_#001	嚼嚼……
MID_WU_B_1_HELLO_#002	啊，神龍大人？
MID_WU_B_1_HELLO_#003	不好意思，我剛好吃完了……
MID_WU_B_1_HELLO_#004	我原本打算今天……
MID_WU_B_1_HELLO_#005	也要餵神龍大人吃飯的。
MID_WU_B_2_IN_#001	叫神龍大人起床也是四翼的使命之一。
MID_WU_B_2_IN_#002	我可不會有所怠慢。
MID_WU_B_2_SOON_#001	哎呀，看來今天不需要我呢。
MID_WU_B_2_SOON_#002	我本來還想在這裡多待一會兒的，
MID_WU_B_2_SOON_#003	下次請您裝睡一下吧。
MID_WU_B_2_WAKEUP_#001	好了，只要我賽勒斯提雅出馬，
MID_WU_B_2_WAKEUP_#002	就一定會提供最棒的起床體驗。
MID_WU_B_2_WAKEUP_#003	神龍大人、神龍大人，起床的時間到囉……
MID_WU_B_2_HELLO_#001	早安。
MID_WU_B_2_HELLO_#002	要是您再不起床，我就要在您的耳邊吹氣了呢。
MID_WU_B_2_HELLO_#003	咦？您說那樣比較好……？
MID_WU_A_1_IN_#001	神龍大人，對不起……
MID_WU_A_1_IN_#002	我又忘記吃飯了。
MID_WU_A_1_SOON_#001	我想找神龍大人一起吃飯，就跑過來了……
MID_WU_A_1_SOON_#002	打擾到您休息，真是抱歉。
MID_WU_A_1_SOON_#003	我這就去吃點東西！
