MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nThe fighting won't let up anytime soon. If it gets\ntoo much for you, you can lean on me.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nThank you. I should count myself lucky to have\nso many friends looking out for me.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, Professor! Sorry, I know I'm not one of\nyour students. I just wanted to see how it felt.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ベレト\nI don't mind. It's what most everyone called\nme, after all.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\nBefore you were a professor, you were a...\nmercenary? What do mercenaries do?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06ベレト\nThey're fighting forces for hire. We went to war\nfor nations without belonging to them.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ベレト\nSo our allies in one battle might be our enemies\nin the next.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nThough with enough motive, that could happen\nanyway... Thanks for the lesson, Professor.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nYou always seem so busy, Vander.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nThere is much to do. And I find it easiest on the\nmind to dispense with all my tasks at once.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nVander, can I help you with anything?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNay, leave the random chores to this old man.\nYou have young soldiers to teach, Professor.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nYou work too hard, Vander. Can't you delegate\nsome of your duties?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nI've performed my day's work since I was a lad.\nIt's not at all a burden worth delegating.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nStill, I do appreciate your concern, nevertheless.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06ベレト\nI see. Well, please don't overextend yourself. We\nneed you on the battlefield, not in the infirmary.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nClanne, do you need anything? I've felt you\nstaring at me for some time...\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nNope. I'm just admiring you, Professor.\nWait! Professor?! You noticed me?!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nClanne, would you mind telling me about\nyourself? I know next to nothing.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nI know more about the Divine Dragon, but OK.\nWhat do you want to hear?\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06クラン\nYou never smile or...anything, so it's hard to tell\nhow you feel. But it turns out you're really nice!\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06ベレト\nWhat did I do that gave you that impression?\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nYou always look out for me, say hello, and treat\nme like we're equals. It makes me happy.\x0E\x04\x00\x00
