MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06セピア\nI have returned.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06マロン\nHeya, Zephia! How'd the report to Lord\nSombron go?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04グリ\nBet he was mad we lost the rings, huh?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06セピア\nVery.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x06\x04グリ\nAhaha, knew it! So, he's gonna punish us,\nright? Finally, yes!\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06セピア\nIn fact, no. It was a scolding, nothing more.\nHe impressed upon me the gravity of our role.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06マロン\nThat's all? Hah! He must really love us.\x0E\x04\x02\x00
MID_OP1_#008	Feels good to be appreciated!\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セピア\nHas Lady Veyle woken up yet?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06モーヴ\nNo. That spell you keep casting on her...\nThis is getting reckless.\x0E\x04\x02\x00
MID_OP1_#011	We should dispense with the magic for now.\nAllow her to return to normal.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06セピア\nThe spell will soon have a more stable effect.\nLord Sombron gave me an enchanted helmet.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06モーヴ\nWhat?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06セピア\nFor her to wear. A helmet imbued with his\npower that will amplify the spell I cast on her.\x0E\x04\x02\x00
MID_OP1_#015	Finally, I can erase the defect from existence.\nI intend to use it shortly.\x0E\x04\x02\x00
MID_OP1_#016	I would like to have some good news for my\nnext meeting with Lord Sombron.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x06\x04グリ\nSpeaking of news, our warships ran into the\nDivine Dragon's forces.\x0E\x04\x02\x00
MID_OP1_#018	No luck stopping 'em. Sounds like they're\nsailing to Elusia as we speak.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06セピア\nHuh... Moving faster than I expected.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x06\x04グリ\nYeah. Only a matter of time before they're\nknocking at our door.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x08\x06マロン\nOoo! Want me to buy us some time? I can do it!\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x08\x06セピア\nOf course, dear. So good of you to volunteer.\nBut I can't have you going all alone.\x0E\x04\x02\x00
MID_OP1_#023	Mauvier. You'll accompany her, won't you?\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nVery well.\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x08\x06マロン\nWhat? Why? I'd be fine on my own!\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x08\x06セピア\nYou are good, of course. But you'd achieve\neven greater success with Mauvier at your side.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x08\x06マロン\nWell, OK! All the more praise for me then, right?\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x08\x06モーヴ\nZephia, I ask one thing. Wait to cast your spell\non Veyle again until we return.\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x08\x06セピア\nAll right, Mauvier.\x0E\x04\x00\x00
MID_OP1_#030	\x0E\x03\x02\x08\x06モーヴ\nThen we depart.\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x08\x06マロン\nWe'll be back before you know it!\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x02\x08\x06セピア\nHmm...\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x06\x04グリ\nUgh, Mauvier. He's way too attached to that\nother Veyle.\x0E\x04\x00\x00
MID_OP1_#034	\x0E\x03\x02\x08\x06セピア\nTruly. But it doesn't matter at the moment.\nAnd won't, as long as he stays in his place.\x0E\x04\x02\x00
MID_OP1_#035	The Four Hounds are my family. I will always\nlove Mauvier. Always. As long as he obeys.\x0E\x04\x02\x00
MID_OP1_#036	Now, we have a serious matter to discuss─what\nLady Veyle said about having a sibling...\x0E\x04\x00\x00
MID_OP1_#037	\x0E\x03\x02\x06\x04グリ\nRight, right... That dragonstone of hers─\nsomething about it being whole, not broken.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x08\x06セピア\nYes, exactly. We need to look into that.\nThe situation bears...examination.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nHere we are, Givre Port. I expected it to be\nbetter defended. We just sailed right in.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08アイビー\nHmm...\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nWhat's wrong?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0A\x08アイビー\nThis is a port town. It's typically bustling with\npeople. Why is it so quiet?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nI see someone over there. Maybe they can\ntell us.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08アイビー\nDivine One, wait, that's...\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00& M019_異形兵_グレートナイト\x022\n\x0E\x03\x02" M019_異形兵_グレートナイト\nRaaargh...\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x01" M019_異形兵_グレートナイト\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nOne of the Corrupted!\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08アイビー\nYes, and surely not the only one here.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nYou're right. They must have spread through\nthe whole town, which means...\x0E\x04\x02\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08アイビー\nI'm afraid so.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nDoes the Fell Dragon mean to destroy Elusia\ntoo? But that makes no sense.\x0E\x04\x02\x00
MID_OP2_#013	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAll I know is we can't turn a blind eye. We've\ngot to get rid of them.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nNo, we move on.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x10\nミスティラ\x023\n\x0E\x03\x02\x0C\nミスティラ\nWhat? And abandon the people here? Princess\nIvy, tell us what you want to do.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x0A\x08アイビー\nWe leave this place.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nBut there are people in danger. We have a\nresponsibility to help them.\x0E\x04\x02\x00
MID_OP2_#018	That's what we did at Florra, isn't it?\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\nWe got there right after the attack. There were\npeople to save.\x0E\x04\x02\x00
MID_OP2_#020	Look around. We're too late... Far too late.\x0E\x04\x02\x00
MID_OP2_#021	There aren't any survivors.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\n...\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0A\x08アイビー\nI would have wished nothing more than to help\nthe people here.\x0E\x04\x02\x00
MID_OP2_#024	But with every passing moment, more lives may\nbe lost elsewhere.\x0E\x04\x02\x00
MID_OP2_#025	We cannot waste our time on the dead.\nWe must protect the living.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0C\nミスティラ\nThis is terrible...\x0E\x04\x02\x00
MID_OP2_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nI don't think I could abandon a town like this,\nbut...it's not my decision.\x0E\x04\x02\x00
MID_OP2_#028	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nYou'd already recognized the choice Princess\nIvy would make, Divine One? Impressive.\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x02\x0A\x08リュール\nHm? No, that was...\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x0A\x08アイビー\nThank you for your support, Divine One.\nNow, to the castle.\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nAww! You're gonna cut and run, just like that?\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nWho's there?!\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x08\x06マロン\nHello! It's me, your old pal Marni! Oh, and\nMauvier's here too.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x00\x0C\x06モーヴ\x023\n\x0E\x03\x02\x08\x06モーヴ\nWe meet again.\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x02\x08\x06マロン\nI really wish you'd decided to stay and fight\nthe Corrupted. Woulda been so much easier!\x0E\x04\x02\x00
MID_OP2_#036	But the Divine Chicken's afraid of them. Bawk,\nbawk, bawk! Isn't that right?\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nThe Divine Dragon was thinking only of what's\nbest for everyone.\x0E\x04\x00\x00
MID_OP2_#038	\x0E\x03\x02\x08\x06マロン\nYeah, yeah, whatever. Just shut up, will ya?\nYou're annoying me.\x0E\x04\x02\x00
MID_OP2_#039	You guessed right─the port fell a long time ago.\nBut I won't let you just walk away.\x0E\x04\x02\x00
MID_OP2_#040	Wait, how's this for a deal? Drop your Emblem\nRings and you can go.\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x0A\x08リュール\nI don't think so.\x0E\x04\x00\x00
MID_OP2_#042	\x0E\x03\x02\x08\x06マロン\nI figured. Worth a shot though, right? Well, time\nto fight, then!\x0E\x04\x02\x00
MID_OP2_#043	And don't worry. We brought lots and lots of\nthe Corrupted, just for you!\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x0A\x08リュール\nTell me one thing first. Please, I need to know.\x0E\x04\x00\x00
MID_OP2_#045	\x0E\x03\x02\x08\x06マロン\nWhat?\x0E\x04\x00\x00
MID_OP2_#046	\x0E\x03\x02\x0A\x08リュール\nVeyle... Is she all right?\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x08\x06モーヴ\nLady Veyle... She─\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x08\x06マロン\nShush, Mauvier. We didn't come here to\nblab secrets.\x0E\x04\x02\x00
MID_OP2_#049	'Fraid we can't answer that, Divine One.\nOur lips are sealed.\x0E\x04\x02\x00
