MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAmazing. What a remarkable novel.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nHello, little prince. All finished reading?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nLady Nel. This is unexpected.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nIs it? I have been eager for an opportunity to\nspeak with you.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nWhat about?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nYou are no doubt aware that I am a child of the\nFell Dragon Sombron.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Despite our differences in heritage, you are also\na child of royalty. We have this in common.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	I never understood my father. I thought perhaps\nyou could share some experiences with yours.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nI've always wanted to be like my father, though\nthere were times I failed to understand him too.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	He's always been considered a great king for\nhis military might. That isn't how I'd like to rule.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nDifferent ideologies, then.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nYou could say that. We occasionally butted\nheads over the future of Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nYet you were not sentenced to death for the\ndefiance of your lord father. Why?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nWhat do you mean why?! We don't execute\npeople over simple disagreements in Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nI see. Unlike your father, Lord Sombron\npreferred to silence all dissent with execution.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	To object to his decree was out of the question.\nTo survive, there was no choice but to obey.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nI can't even imagine living under such a vile\ndictatorship. I'm so sorry.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04エル\nThere is no need to apologize. That is all in the\npast for me now.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Hearing of your experiences has taught me a\ngreat deal. I hope we will speak again soon.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nOf course.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nWe meet again, little prince. Perhaps you will\nindulge me in conversation once more.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nIt would be my pleasure.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nYour talk of Brodia piqued my interest. I wished\nto know more about your kingdom.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	So I took it upon myself to travel to the castle\ntown and gather information.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nYou went all the way to Brodia Castle?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04エル\nFor a dragon, it is not far. Discretion was the\ngreater challenge, but I did go unnoticed.\x0E\x04\x00\x00
