MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08リュール\nLouis? What are you doing there?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nOh, hello, Divine One. I wasn't doing anything\nof note, really.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nMerely observing those two over there chatting\nwith one another.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nUm, OK. And you're doing that...why?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nThat is the question, is it not?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nThere are all sorts of philosophical implications\nto the simple act of asking, "Why?"\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nTo which I suppose I would respond...\nfor edification.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nSo you watch people chat in order to\nlearn things?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nPrecisely. There is deep meaning in these\nseemingly simple encounters.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nThrough observation, many delightful and\nsubtle details reveal themselves.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nWhen one treats them as one would treat a\ngallery piece, can there possibly be any harm?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nThere, uh... I think maybe there can.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nWhat's right or wrong goes beyond rules and\nlaws. There's courtesy and decency.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nIf you knew they didn't like being watched,\nyou'd stop, right?\x0E\x04\x00\x00
