MID_WU_C_1_IN_#001	Softly now...\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	But how soft must I be, exactly?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Ah!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	You noticed my quietest footsteps!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Your hearing is excellent, Divine One.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	Might I have a look at your ears?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Will running water do it? No, it would seem not.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Knocking on wood? How about burning wood?\nStill nothing?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	The flames appear to be spreading.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	Oh my!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Good morning, Divine One...\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	No, we are not under attack.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Begging your pardon...I will sort this out\nwith wind magic right away.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Too early to experiment, they say? Ridiculous!\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	Oh, look at this place!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Divine One!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	I was merely passing by.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Surely not intending any experiments.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	I'll be on my way.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	A place to resume. Now then...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Vinegar, candlewax, a bit of Fire...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Ah! Too much fire!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Abort the experiment! Put it out! Put it out!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Terribly sorry...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Is this your bedchamber?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	I'm afraid I didn't realize.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	Please forgive me.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Look, Divine One!\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	I've managed to create my own Emblem Ring!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	That got your attention!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Alas, in my excitement, I seem to have\ncrushed it.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	At least it'll taste good.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	It was made of candy, you see.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	It seems I've failed to capture your interest.\nI was sure this would work.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Well, if this ring doesn't interest you, I'll have\nto eat it.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Down the hatch, as I believe they say...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Mmm...mmm...mmm...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Hahaha! Surprised, are you?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	It was only a bit of candy.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	But when they're shaped like rings, you can\nwear your sweets until you're hungry!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	Want to try one?\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Divine One...I came to say thank you.\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	For indulging me.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Did I wake you prematurely? Apologies.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Oh? So you woke quickly in order to spend\nyour time more efficiently?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Haha! That's the Divine Dragon I've come\nto know!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	I enjoyed our conversation.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Your intelligence and spirit of curiosity are\ngreatly appreciated.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Oh, I almost forgot! I wanted to show you this\nbottle of─ Oh no.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Now I've done it!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	This stuff is quite volatile!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Were you singed at all?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	Vander would be most upset with me if you\nhad been.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	I have devised yet another ingenious innovation.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Good morning.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Care for some unique fruit to start your day?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Notice the crackling texture...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	which I created with thunder magic.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	I've used Thunder to add pep...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	to this drink.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	The bubbles have since died down...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	but refreshing them is simple enough. Thunder!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#005	Oh no! Too much!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Are you awake, Divine One?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	I was going to offer you a drink...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	but that last burst of Thunder zapped it all\nto foam.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	Would you like some foam?\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	I can't help but feel a twinge of guilt for coming\nin to wake you, Divine One.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Aha. You're already awake.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Good morning, then.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Such a tranquil sleeper you are.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	This feels like a crime.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Even if it's dereliction of duty, I cannot bring\nmyself to disturb such peaceful slumber!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	It seems I've woken you by mistake.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	I'm terribly sorry. I know that young ones need\ntheir rest.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Oh, that's right...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	I forgot you're over a thousand years old!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	It's morning! Time for you to start getting ready.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Look at you. Clothes wrinkled, hair a mess...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Hehe, sorry. Got carried away.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	It is all too easy for me to fuss over you...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	as if you were my child.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Waking up remains a struggle for you, I see.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Coming in to wake you like this reminds me...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	of how I once did the same for my family many\nyears ago.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	But my children no longer need me.\x0E\x04\x00\x00
