MAID_LueurWearM	Hábito divino
MAID_H_LueurWearM	Ropa de diario reservada para el hijo del Dragón Divino.\nEstá hecho a medida.
MAID_LueurWearF	Hábito divino
MAID_H_LueurWearF	Ropa de diario reservada para la hija del Dragón Divino.\nEstá hecho a medida.
MAID_VandrWear	Ropa formal
MAID_H_VandrWear	Uniforme de Vander, trigésimo segundo siervo del Dragón Divino.\nSe rumora que posee varios idénticos.
MAID_FramWear	Abrigo rosa
MAID_H_FramWear	Ropa de diario de Framme, trigésima tercera sierva del Dragón Divino.\nTiene un bolsillo oculto donde guardar aperitivos en caso de emergencia.
MAID_ClanWear	Abrigo verde
MAID_H_ClanWear	Ropa de diario de Clanne, trigésimo tercer siervo del Dragón Divino.\nTiene un bolsillo oculto donde guardar aperitivos en caso de emergencia.
MAID_AlfredWear	Camisa cenefa
MAID_H_AlfredWear	Ropa de diario de Alfred, príncipe heredero de Firene. Permite libertad\nde movimientos y lleva prendida una flor de Firene en el pecho.
MAID_BoucheronWear	Camisa recia
MAID_H_BoucheronWear	Ropa de diario de Boucheron, vasallo del príncipe Alfred.\nLos botones están a punto de soltarse, pero parece que aún aguantan.
MAID_EtieWear	Blusa adorable
MAID_H_EtieWear	Ropa de diario de Etie, vasalla del príncipe Alfred. Decorada con volantes\nen las mangas y la falda. El dobladillo hace juego con su ropa de batalla.
MAID_CelineWear	Traje para el té
MAID_H_CelineWear	Ropa de diario de Céline, princesa de Firene. Los lazos aportan\nla elegancia perfecta para la hora del té y las joyas son de color miel.
MAID_LouisWear	Jubón épico
MAID_H_LouisWear	Ropa de diario de Louis, vasallo de la princesa Céline.\nLas mangas se pueden remangar para servir mejor a la princesa.
MAID_ChloeWear	Traje pegaso
MAID_H_ChloeWear	Ropa de diario de Chloé, vasalla de la princesa Céline. Aunque lo lleva\ncuando visita puestos de comida, tiene mucho cuidado para no mancharlo.
MAID_DiamandWear	Traje fulgente
MAID_H_DiamandWear	Ropa de diario de Diamant, príncipe heredero de Brodia.\nEstá hecho de un material muy resistente por si hubiera una emergencia.
MAID_UmberWear	Abrigo alpaca
MAID_H_UmberWear	Ropa de diario de Amber, vasallo del príncipe Diamant. Los bordados\ndel pecho y la espalda se inspiran en las alpacas de su pueblo.
MAID_JadeWear	Traje de escritora
MAID_H_JadeWear	Ropa de diario de Jade, vasalla del príncipe Diamant. Es muy cómodo\ny lleva un cinto de cuero rígido para corregir la postura.
MAID_StalukeWear	Traje cenizo
MAID_H_StalukeWear	Ropa de diario de Alcryst, príncipe de Brodia. Aunque él solo ve las\ndiferencias con el traje de Diamant, lo cierto es que son casi iguales.
MAID_LapisWear	Delantal rural
MAID_H_LapisWear	Ropa de diario de Lapis, vasalla del príncipe Alcryst. Lleva esta pieza\ndecorada con motivos florales desde hace mucho tiempo.
MAID_CitrinicaWear	Bolero noble
MAID_H_CitrinicaWear	Ropa de diario de Citrinne, vasalla del príncipe Alcryst.\nEl cinturón está adornado con amuletos de una casa noble.
MAID_IvyWear	Traje místico
MAID_H_IvyWear	Ropa de diario de Ivy, princesa heredera de Elusia. Tras mucho esfuerzo,\nha logrado que resulte adecuado incluso cuando hace frío.
MAID_ZelkovaWear	Chaleco correas
MAID_H_ZelkovaWear	Ropa de diario de Zelkov, vasallo de la princesa Ivy. Se desconoce\nel propósito de las numerosas correas, pero la llave es solo decorativa.
MAID_KagetsuWear	Prenda onigiri
MAID_H_KagetsuWear	Ropa de diario de Kagetsu, vasallo de la princesa Ivy. El pantalón\nincluye diseños de salmón, ciruela encurtida y virutas de bonito.
MAID_HortensiaWear	Traje vistoso
MAID_H_HortensiaWear	Ropa de diario de Hortensia, princesa de Elusia. Cada detalle\ndel traje está pensado para que sea absolutamente adorable.
MAID_RosadoWear	Traje desigual
MAID_H_RosadoWear	Ropa de diario de Rosado, vasallo de la princesa Hortensia. Él mismo\nmodificó esta pieza heredada de su padre para hacerla más adorable.
MAID_GoldmaryWear	Traje bordado
MAID_H_GoldmaryWear	Ropa de diario de Goldmary, vasalla de la princesa Hortensia.\nSe disculpa constantemente por lo impecable que está.
MAID_MisutiraWear	Traje jovial
MAID_H_MisutiraWear	Ropa de diario de Timerra, princesa heredera de Solm. La tela,\ntranspirable e ignífuga, es perfecta para sentarse junto a una hoguera.
MAID_MerinWear	Traje lobuno
MAID_H_MerinWear	Ropa de diario de Merrin, vasalla de la princesa Timerra.\nAunque la cola de lobo no es real, se menea cuando está feliz.
MAID_PanetoneWear	Traje gótico
MAID_H_PanetoneWear	Ropa de diario de Panette, vasalla de la princesa Timerra.\nSe desgarró en uno de sus arrebatos y lo remendó con hilos de colores.
MAID_FogatoWear	Ropaje fresco
MAID_H_FogatoWear	Ropa de diario de Fogado, príncipe de Solm.\nSuele usar el chal para ocultar su rostro y evitar que lo reconozcan.
MAID_PandoroWear	Traje de fiesta
MAID_H_PandoroWear	Ropa de diario de Pandreo, vasallo del príncipe Fogado.\nLo suele llevar a las fiestas junto a una estola para los oficios religiosos.
MAID_BonetWear	Delantal de chef
MAID_H_BonetWear	Ropa de diario de Bunet, vasallo del príncipe Fogado. Lo lleva todos\nlos días desde que trabajaba en la cafetería y debe lavarlo a menudo.
MAID_AnnaWear	Abrigo de lana
MAID_H_AnnaWear	Ropa de diario de Anna, mercadera extraordinaria. La gruesa lana\ny la pieza del cuello la protege del frío incluso cuando nieva.
MAID_JeanWear	Abrigo de pupilo
MAID_H_JeanWear	Ropa de diario de Jean, médico en ciernes. En el bolsillo izquierdo\nlleva hierbas medicinales, y en el derecho, un cuaderno con apuntes.
MAID_YunakaWear	Cárdigan chic
MAID_H_YunakaWear	Ropa de diario de Yunaka, ladrona excéntrica. Ha logrado redondear\nel conjunto usando prendas ordinarias que ha comprado en la ciudad.
MAID_SeadasWear	Traje de baile
MAID_H_SeadasWear	Ropa de diario de Seadall, bailarín y vidente. El conjunto pretende\nresaltar sus dotes de adivinación, pero suele darle frío.
MAID_LindenWear	Toga de sabio
MAID_H_LindenWear	Ropa de diario de Lindon, sabio de Elusia. Nunca se quita\nel colgante de plata y se asegura de tenerlo siempre a mano.
MAID_SaphirWear	Ropa pesquera
MAID_H_SaphirWear	Ropa de diario de Saphir, guardia real de Brodia. La falda es impermeable,\ny siempre se quita los guantes al limpiar pescado para que no huelan mal.
MAID_VeyreWear	Vestido blanco
MAID_H_VeyreWear	Ropa de diario de Veyle, hija del Dragón Caído. Como ella no se preocupa\npor la ropa, sus amigos la han ayudado a elegir este conjunto.
MAID_MauveWear	Ropaje devoto
MAID_H_MauveWear	Ropa de diario de Mauvier, antiguo miembro de los Cuatro Mastines.\nFue elaborada en Firene. La cuida con tanto esmero que está como nueva.
MAID_FileneFormal1	Set cerúleo
MAID_H_FileneFormal1	Ropa de la nobleza firenesa. Su color azul intenso representa\nlas cosechas abundantes. (Incluye dos modelos.)
MAID_FileneFormal1M	Jubón cerúleo
MAID_H_FileneFormal1M	Ropa de la nobleza firenesa. El color azul representa\nel cielo despejado sobre las cosechas.
MAID_FileneFormal1F	Vestido cerúleo
MAID_H_FileneFormal1F	Ropa de la nobleza firenesa. El vestido es de material recio\nazul que representa el cielo despejado sobre las cosechas.
MAID_FileneFormal2	Set rocío
MAID_H_FileneFormal2	Ropa de la nobleza firenesa con un degradado que se logra mediante\nuna tradicional técnica de teñido a mano. (Incluye dos modelos.)
MAID_FileneFormal2M	Jubón rocío
MAID_H_FileneFormal2M	Ropa de la nobleza firenesa con un degradado que se logra mediante\nuna tradicional técnica de teñido a mano acentuado con una flor.
MAID_FileneFormal2F	Vestido rocío
MAID_H_FileneFormal2F	Ropa de la nobleza firenesa con un degradado que se logra mediante\nuna tradicional técnica de teñido a mano. Se suele usar en los festejos.
MAID_FileneFormal3	Set oceánico
MAID_FileneFormal3M	Chaleco oceánico
MAID_H_FileneFormal3M	Atuendo tradicional de Firene enviado como símbolo de amistad.\nSu diseño es una oda a la paz. Se suele usar al agasajar a los huéspedes.
MAID_FileneFormal3F	Vestido oceánico
MAID_H_FileneFormal3F	Atuendo tradicional de Firene enviado como símbolo de amistad.\nSu diseño es una oda a la paz y el cinto representa los lazos irrompibles.
MAID_FileneCasual1	Set soleado
MAID_H_FileneCasual1	Ropa de la plebe firenesa. Suele ser lo primero que elaboran\nquienes aprenden a coser. (Incluye dos modelos.)
MAID_FileneCasual1M	Chaleco soleado
MAID_H_FileneCasual1M	Ropa de la plebe firenesa. Suele ser la primera prenda que confeccionan\nlos aprendices de sastre. Se dice que el chaleco es la parte más difícil.
MAID_FileneCasual1F	Delantal soleado
MAID_H_FileneCasual1F	Ropa de la plebe firenesa. Suele ser la primera prenda que confeccionan\nlos aprendices de sastre. Los niños disfrutan elaborando la flor de adorno.
MAID_FileneCasual2	Set tartán
MAID_H_FileneCasual2	Ropa de la plebe firenesa. El patrón es muy popular y se dice\nque resalta la personalidad de quien lo lleva. (Incluye dos modelos.)
MAID_FileneCasual2M	Chaleco tartán
MAID_H_FileneCasual2M	Ropa de la plebe firenesa. El chaleco tiene un patrón muy popular\ny se dice que resalta la personalidad de quien lo lleva.
MAID_FileneCasual2F	Delantal tartán
MAID_H_FileneCasual2F	Ropa de la plebe firenesa. Tiene un patrón muy popular en Firene\ny también hace función de pañuelo.
MAID_FileneCasual3	Set floral
MAID_FileneCasual3M	Chaleco floral
MAID_H_FileneCasual3M	Ropa de Firene enviada como símbolo de amistad.\nSu diseño floral representa el afecto hacia los seres queridos.
MAID_FileneCasual3F	Delantal floral
MAID_H_FileneCasual3F	Ropa de Firene enviada como símbolo de amistad.\nSu diseño floral representa el afecto hacia los seres queridos.
MAID_BrodiaFormal1	Set carmesí
MAID_H_BrodiaFormal1	Ropa de la nobleza brodiana. Incluye bordados con hilo de oro\nprocedente de las ricas minas de Brodia. (Incluye dos modelos.)
MAID_BrodiaFormal1M	Gabán carmesí
MAID_H_BrodiaFormal1M	Ropa de la nobleza brodiana. Incluye bordados con hilo de oro.\nSu escasa longitud facilita el movimiento.
MAID_BrodiaFormal1F	Abrigo carmesí
MAID_H_BrodiaFormal1F	Ropa de la nobleza brodiana. Incluye bordados con hilo de oro.\nEl dobladillo está confeccionado con un tejido resistente a las manchas.
MAID_BrodiaFormal2	Set ébano
MAID_H_BrodiaFormal2	Ropa de la nobleza brodiana para las festividades.\nLa flor que lo adorna simboliza la fuerza del reino. (Incluye dos modelos.)
MAID_BrodiaFormal2M	Gabán ébano
MAID_H_BrodiaFormal2M	Ropa de la nobleza brodiana elaborada con un tejido cálido y recio.\nLa flor que lo adorna simboliza la fuerza del reino.
MAID_BrodiaFormal2F	Abrigo ébano
MAID_H_BrodiaFormal2F	Ropa de la nobleza brodiana para las festividades.\nLa flor que lo adorna simboliza la fuerza del reino. La falda pesa bastante.
MAID_BrodiaFormal3	Set níveo
MAID_BrodiaFormal3M	Gabán níveo
MAID_H_BrodiaFormal3M	Ropa de Brodia enviada como símbolo de amistad. El blanco representa\nla esperanza. El motivo decorativo se basa en la marca del creador.
MAID_BrodiaFormal3F	Abrigo níveo
MAID_H_BrodiaFormal3F	Ropa de Brodia enviada como símbolo de amistad. El blanco representa\nla esperanza. En ocasiones se usa en los atuendos nupciales.
MAID_BrodiaCasual1	Set cavernario
MAID_H_BrodiaCasual1	Ropa de la plebe brodiana. De vocación práctica, el tejido es fácil de lavar\ny sus colores sobrios disimulan las manchas. (Incluye dos modelos.)
MAID_BrodiaCasual1M	Estola cavernaria
