MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nEs un honor conocerte, Emblema Dimitri.\nGracias por prestarnos tu ayuda.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nディミトリ\nEl honor es mío. Será un placer apoyarlos\nen todo lo que esté en mis manos.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nNo pretendo inmiscuirme, pero, incluso rodeado\nde amigos, siempre pareces muy solitario.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0C\nディミトリ\nTe aseguro que no es el caso. Lamento\nhaberte causado preocupaciones innecesarias.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nSegún el Emblema Claude, eres autosuficiente\nhasta límites casi enfermizos.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nAfirma que te convendría confiar más en\ntus aliados, y he de decir que estoy de acuerdo.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nディミトリ\nSí, quizá tenga razón. Es algo que me han\nrepetido numerosas veces durante mi vida.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0C\nディミトリ\nPero detesto causar molestias a los demás.\nEn cualquier caso, consideraré tus palabras.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nラファール\nImagino que me odiarás por haber mantenido\ntu brazalete escondido tantos años...\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nAl contrario, dado que ahora te esfuerzas por\nexpiar tus culpas. No hay nada que reprocharte.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nDebo señalar que hay una manía tuya que\nme irrita... Le echas demasiado azúcar al té.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nCuanto más dulce, más rico. Y no admito\ndiscusión a ese respecto, Edelgard.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nArremetes en solitario contra el enemigo en las\nbatallas. Deberías apoyarte más en tus aliados.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nSi tanto te disgusto, déjame.\nNadie te obliga a tratar conmigo.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nTergiversas mis palabras. Tan solo te ruego\nque combatas con alguna estrategia en mente.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\n¿No deseas que luche solo? Pues la solución\nes sencilla: acompáñame y vigila mis espaldas.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nQué extraño... Llevo un rato sintiéndome\ndébil y un tanto mareada...\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0C\nディミトリ\nPor el ruido que acabo de escuchar, diría\nque simplemente tienes hambre, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nSe te ve muy unida a los otros miembros\nde los Cuatro Vientos, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nSí, les agradezco que me acepten como soy.\nUstedes tres también parecen muy apegados.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVivías con otros alumnos en la Academia de\nOficiales, ¿verdad? Sería parecido a una familia.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0C\nディミトリ\nNo demasiado: todos pertenecíamos a distintas\ncasas y procedíamos de lugares diversos.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nLos orígenes son irrelevantes. Aquí tampoco\nnos une eso y somos un grupo muy sólido.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0C\nディミトリ\nMmm... Es un punto de vista interesante. Sería\nfantástico que todo el mundo lo compartiera.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLa información y la planificación son vitales\npara combatir al enemigo, ¿no crees, Claude?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0A\x08クロード\nDesde luego. Sin ellas, resultaría imposible\ntenderle una buena emboscada, por ejemplo.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nSiempre intento abatir al mayor número\nde rivales. Pero, a falta de opciones, huyo.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nEs obvio que te gusta luchar... Veo que tenemos\nmenos cosas en común de lo que pensaba.\x0E\x04\x00\x00
