MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nHas progresado mucho en el campo de batalla.\nNoto una mejora ostensible de tus habilidades.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nSolo trato de seguir tu ejemplo.\n¡Aún me queda mucho que aprender!\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08リュール\nMe he enterado de que tenías\nun hermano mayor. ¿Cómo era?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nBueno, a veces no lo soportaba, pero jamás\nha existido nadie mejor. Yo no lo soy, seguro.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08リュール\nMe asombra tu destreza, Héctor,\ny quería preguntarte si entrenarías conmigo.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSería un honor, pero ¿qué te empuja\na pedirme tal favor?\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nSiempre estás listo para defendernos,\ny me gustaría corresponderte.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nBuen plan. Ahora bien, si el objetivo es fomentar\nla defensa mutua, ¡entrenemos sin miramientos!\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nJamás pensé que algún día llegaríamos a luchar\njuntos. La vida no deja de sorprendernos.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\n¡Así son los caprichos del destino!\nAnsío descubrir qué nos depara el futuro.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nTus estrategias de combate distan de ser\nconvencionales. ¿Me las enseñarías?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nLas aprendí luchando en el coliseo.\nSi estás dispuesto a ensuciarte, adelante.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\n¿Qué te traes entre manos?\n¿Estás... tejiendo?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEn efecto. Suelo tejer en mis ratos de asueto.\nAsí despejo la mente y me concentro mejor.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nMi hermano siempre afirmaba que yo carecía\nde paciencia. ¿Te importaría enseñarme?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nEn absoluto. Si consideras que tejer\nte traerá algún beneficio, será un placer.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nOye, Clanne, ¿qué haces allí, tan lejos?\nAcércate si quieres charlar.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nN-no hace falta. Si me aproximo, ¡soy capaz\nde desmayarme con el fulgor que irradias!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クラン\nSi tienes hermanos, imagino que\nimponen tanto como tú.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nMi hermano consagró su vida a ayudar\nal prójimo. Es un ejemplo para mí.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クラン\nEs un alivio saber que puedo contar contigo,\nHéctor. Tu presencia me reconforta.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nMi armadura y mi hacha están al servicio\nde mis amigos, Clanne. Y eso te incluye.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\n¡Caramba! Te lo agradezco. Prometo hacer\ntodo lo posible para protegerte.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nMe tranquiliza que lo digas.\n¡Confío en tu apoyo!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nHéctor, si te hace falta cualquier cosa, pídemela\ny acudiré rauda a tu llamada. ¡Antes que nadie!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nTe agradezco el detalle,\naunque tampoco hay necesidad de correr.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nConque tú también tenías un hermano mayor...\nEntre nosotros: a veces son unos preocupones.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEl mío sí que me daba lata, pero porque me\nquería. No le llego ni a la suela de los zapatos.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nCuando lucho a tu lado, me siento segura.\nTienes un no sé qué...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\n¿La armadura y el hacha, quizá? Pero oye,\nsi te transmiten confianza en combate, perfecto.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nAsí es. Cuando contamos con tu presencia,\nparece como si fuéramos invulnerables.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nBueno, no solo empleo la fuerza para derrotar\na los enemigos; también protejo a mis amigos.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nExiste un vínculo entre nosotros. En su día,\nmi brazalete perteneció al Firene de otro Elyos.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿En serio? ¡Parece que nos unen\nmás cosas de las que pensaba!\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nPor mucho que lo disimules con la armadura, se\nnota que eres musculoso. A mí no me engañas.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNo trataba de disimularlo, precisamente, pero\nno se te escapa una, príncipe Alfred. Bien visto.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nPor mucho que combatimos juntos,\nno me pongo tan fornido como tú.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nQuizá nuestros metabolismos no funcionan\nigual. Aun así, tienes un físico envidiable.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nGracias por el cumplido, pero quiero ganar masa\nmuscular para estar a tu nivel. ¡Entrenemos!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nSi insistes... Sé de unos cuantos ejercicios\nque te pueden servir.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\n¿Qué ocurre, Boucheron? ¿Por qué lloras?\n¿Ha ocurrido alguna desgracia?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nNo, no. Lamento haberte preocupado.\nEs que estoy leyendo un libro muy triste y...\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nDicen que eres un gran pescador. Apuesto a que\nesos brazos te dan para sacar peces enormes.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nCreo que andamos igualados en ese aspecto.\nSeguro que tú también pescas buenas piezas.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nブシュロン\nConozco al príncipe Alfred desde la niñez.\n¿Tú has tenido alguna amistad tan duradera?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nAsí es. Mi mejor amigo de la infancia\nse llamaba Eliwood.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nApenas hablábamos sobre musculatura, pero\nsí nos batíamos en duelo. Ojalá lo repitiéramos.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nQuizá aún sea pronto, aunque espero que llegue\nel día en que me consideres un buen amigo.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nエーティエ\nComo amante del ejercicio, tengo un interés\nparticular en tu musculatura. ¿Y si charlamos?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nDe acuerdo, pero no sé qué contarte\nsobre mis músculos...\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nMe recuerdas a una sacerdotisa amiga mía.\nNo te imaginas la energía que derrochaba.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\n¿Y te recuerdo a ella porque... también\nentrenaba el físico? ¿Qué ejercicios hacía?\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nエーティエ\n¿Te importa si entreno hoy contigo, Héctor?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nPara nada. Este... ¿Ocurre algo?\nTe noto más apagada que de costumbre.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nMe he ofuscado pensando en soluciones para\nalcanzar la paz. A ver si moverme me despeja.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nEntiendo. Yo también trato de activarme\ncuando me frustro. ¡Algo se nos ocurrirá!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nTu fuerza ha sido una bendición, Héctor.\n¿Te importa que conversemos brevemente?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nCon gusto. Quiero conocerte más a fondo.\nEres más afable que la Céline del otro mundo.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nDeseo la paz, pero me veo forzada a matar.\nPor más que intento asumirlo, me atormenta.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nA veces, la única vía hacia la salvación\npasa por la violencia. Cuesta asimilarlo.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nHe oído que tú también tenías un hermano\nmayor. ¿Se parecía al príncipe Alfred?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nBueno, no le obsesionaba tanto la musculatura,\npero se desvivía igualmente por su pueblo.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nSeguro que no es lo único que podrías contarme\nde él. Debía de tenerte un profundo aprecio.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nQuizá, aunque le encantaba causarme dolores\nde cabeza. Agradezco asimismo tus palabras.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04ルイ\nUna pregunta, Héctor: ¿qué te viene a la mente\ncuando ves a dos personas compartiendo risas?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\n¿Qué me viene a la mente? Pues que la estarán\npasando bien. ¿Por qué lo dices?\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nNo me quitas el ojo de encima.\n¿Querías comentarme alguna cosa?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nDisculpa. Solo trataba de dilucidar quién sería\nla persona más adecuada para luchar a tu lado.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04ルイ\nTe he oído hablar sobre un amigo de la infancia.\n¿Podrías contarme contar algo sobre él?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nImagino que te refieres a Eliwood. Viajábamos\nsin parar y nos gustaba batirnos en duelo.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nUn lance emocionante y sin reservas\nentre dos amigos... ¡Sublime!\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nNo sé si "sublime" es la palabra,\npero reconozco que nos divertíamos mucho.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\nConque tu brazalete estaba en el Firene de tu\nmundo... Qué curioso. ¿Me llegaste a conocer?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nPues sí, y eras muy diferente.\nPara empezar, comías alimentos normales.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\n¡Hoy es mi día de suerte! Mira qué albóndigas\nhe comprado. ¡Llevan hígado de pescado!\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nPuaj... ¿Y la gente se come eso, en serio?\nQué extraños son los fireneses de este mundo...\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\n¿Crees que, a fuerza de luchar, traeremos la paz\nal mundo, como pasa en los cuentos?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nCon los tiempos tan turbulentos que corren,\nsolo cabe esperar que las cosas mejoren.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nEn la adversidad, debemos tener fe en nuestros\ncamaradas. Juntos restableceremos la paz.\x0E\x04\x00\x00
