MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Tienes un momento, Amber?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nPor supuesto, príncipe Alfred.\n¿Qué pasa?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nMe han dicho que sabes muchas cosas.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nSobre todo de mitos y leyendas.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\n¡Así es! Todas las leyendas son ciertas\nsi decides creer en ellas. ¡Y yo creo en muchas!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nHay algo que desde siempre me ha intrigado.\nQuizá tú puedas ayudarme.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Conoces la leyenda de un medicamento\nque te hace muy musculado?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\n¿Musculado?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo: muy musculado.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nMmm, lo siento, me temo\nque no conozco esa leyenda.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nVaya, pues si no la conoces ni tú...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nBueno, ahora que la ha mencionado,\nno podré dejar de pensar en ella...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\n¡Desvelaré el secreto de ese medicamento\nmilagroso cueste lo que cueste!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Lo harías? ¡Eres una maravilla, Amber!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nNo tema, las leyendas son mi pasión.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nEmpezaré a investigar ahora mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\n¡Eh, fortachón! Sí, tú, el de los brazotes.\n¿Cómo te has hecho tan fuerte?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0A\x08アンバー\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEsto va bien. Si alguien puede desvelar\nel misterio, es Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nNi una lanza afilada ni mil flechas\nlograrían perforarlos...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nCon una pastilla, los músculos se convierten\nen acero y el cuerpo en una fortaleza.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nEse es el poder del legendario medicamento\nllamado... ¡Muscudina!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Muscudina?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nSí.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo es que dude de ti, pero...\ncon ese nombre parece una patraña.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nAsí es como funcionan las leyendas.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nNombres raros, pistas poco claras...\nHay que dejarse llevar por el instinto...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\n¡Desvelar leyendas es una aventura épica!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\n¿Qué decide, príncipe Alfred?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\n¿Se atreve a seguir sus sueños\ny vivir una aventura inolvidable?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nLas leyendas son ciertas si se cree en ellas.\n¿Usted cree, príncipe Alfred?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Pues claro que creo! Te has esforzado\nmucho como para dudar de ti ahora.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nBien, ¿dónde está la muscudina esa?\x0E\x04\x00\x00
