MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nDisculpa, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nHola, Jean. ¿Necesitas ayuda con algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ジャン\nNo exactamente. De hecho, quizá pueda\nayudarte yo a ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\n¿Con qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nQuería regalarte este remedio para el estómago.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\n¡Vaya! Gracias.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nPero no padezco del estómago.\n¿Qué te hace pensar que necesito un remedio?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nBueno, como comes tantas cosas raras... solo es\ncuestión de tiempo que alguna te indigeste.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\n¿Te preocupa que me siente mal\nla comida callejera?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nPuedes estar tranquilo.\nTengo un estómago de hierro.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nAun así, más vale prevenir.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nEl otro día, sin ir más lejos, te vi atiborrándote\nde lo que parecían... ojos.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nFuera lo que fuera, dudo mucho\nque aquello fuese bueno para la salud.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nQuizá, ¡pero están tan ricos! La próxima vez\nte guardo alguno para agradecerte el detalle.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ジャン\n¡¿Cómo?! No hace falta.\nMe conformo con tus palabras.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ジャン\nEn fin, cuídate. Me da pavor de imaginar\nlos alimentos que consumes.\x0E\x04\x00\x00
