MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¡Merrin! Quería que supieras lo mucho que\nme entusiasma luchar a tu lado. ¡Eres fabulosa!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\n¿Yo, fabulosa? Qué amable eres.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nAunque, ya que lo mencionas, ¿en qué sentido\nme consideras fabulosa? Por curiosidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nA ver, ¿por dónde empiezo?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\n¡Parece que no le temes a nada! Es como\nver a una valiente caballera en acción.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nConque una valiente caballera, ¿eh?\nMe gusta cómo suena. ¿Algo más?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nAh, ¿quieres que siga?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nYo siempre intento ser fabulosa, como tú dices,\npero a veces no sé si doy la talla.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nVaya, eso no me lo esperaba.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nNo imaginaba que a una mujer como tú\nle preocupara la opinión de los demás.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nPues sí. En una batalla hay que parecer segura\ny serena. Mostrar debilidad puede ser fatal.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nSi dejas de parecer fuerte en la batalla o fuera\nde ella, solo conseguirás que te hieran.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nDigan lo que digan, las apariencias importan.\n¿Me entiendes?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nSí. Aunque, debe de ser muy cansado\nmantener las apariencias en todo momento.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nLo siento, tengo que irme ya.\nDebo volver a mi entrenamiento.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nGracias por la charla, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nLo mismo digo.\nSuerte con el entrenamiento.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n¡Oh, mira! Una golondrina roja de Brodia.\nEstán en peligro de extinción.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\n¡Eh! ¿Adónde vas, pequeñina?\nQué ave tan hermosa...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\n¿Eso es un albatros de Elusia?\n¡No sabía que migraban por aquí!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\n¿Y adónde vas tú, amiguito?\n¡Llévame contigo!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x0C\nシトリニカ\nMmm... ¿Merrin? ¿Qué estás haciendo?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x08\x06メリン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nPues... nada...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\n¿Y tú qué haces aquí?\n¿Me estabas observando?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nSí, no he podido evitarlo.\nNo quería interrumpirte.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nMe recordabas a un payaso que vi actuar\nuna vez.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nQué curioso, porque... ¡voy a salir\nen una obra! Sí, como lo oyes.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\n¿En una obra? ¡Qué maravilla!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nSe trata de una pequeña producción.\nVoy a hacer de payasa, además.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\n¡Ah, he acertado!\nSerá un papel interesante para ti.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nSí, como soy una persona calmada y seria,\ntendré que esforzarme para interpretarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nSerá todo un desafío. No se puede pasar de\nser fabulosa a una payasa de la noche al día.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\n¿Cuándo es la obra? Quiero dejarme\nesa noche libre para poder asistir.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nDigo... Buena pregunta. Me lo apunté no sé\ndónde. Tendré que mirar en... los bolsillos.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nAunque hay rumores de que se va a cancelar.\nAún no es seguro, pero es muy probable.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nシトリニカ\n¡No! Si lo que falta es dinero,\nyo puedo ayudarlos.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06メリン\n¡No! No es nada de eso. Es que ha habido...\ndiferencias creativas. Los actores, ya sabes...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nシトリニカ\nVaya, esas cosas pasan. Avísame cuando\ntengan otra fecha y allí estaré.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06メリン\nSerás la primera en saberlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nCitrinne, tengo que hablar contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\n¡Hola, Merrin! ¿Ya han decidido\ncuándo estrenan la obra?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nDe eso se trata, precisamente.\nTengo que pedirte perdón. Te mentí.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh, ¿a qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nComo me gustan tanto los animales raros y vi\ndos aquel día, me emocioné... e hice el ridículo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nCuando supe que me viste, te mentí.\nSe me escapó... como un albatros de Elusia.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\n¿Un albatros de...? Creo que no te entiendo.\n¿Por qué ibas a mentirme por algo así?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nDijiste que te parecía fabulosa, ¿recuerdas?\nY me sorprendiste... haciendo el payaso.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nNo quería que me vieras así\ny que te llevaras una decepción.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nAh, creo que ya lo entiendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nLo siento, no te volveré a mentir ni dejaré que\nme veas comportarme de esa forma tan penosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nMerrin, no tienes que preocuparte por eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nNi estoy decepcionada\nni creo que seas penosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nAl contrario, me alegra haber atisbado\nuna parte de quién eres en realidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\n¿Qué quieres decir?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\n¡He descubierto un lado de ti\ntotalmente nuevo y encantador!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\n¿Cómo que un lado encantador?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nEn la batalla eres fabulosa, y ahora sé que,\nademás, eres encantadora con los animales.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nNo sé yo...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nDime, Merrin... ¿has oído hablar de un bosque\nde Brodia donde viven animales muy raros?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nYa lo creo. Es propiedad privada\nde la familia real.\x0E\x04\x00\x00
