MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nDiamant, ¿tienes algún problema?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Lady Veyle? ¿A qué se debe\neste interés tan repentino?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nTe hice algo... terrible.\nQuiero compensarte por ello, si puedo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Te refieres a mi padre? No te sientas\nculpable, te habían lavado el cerebro.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nAun así, quiero enmendar mis errores.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nBueno, si estuviera en tu lugar,\nyo también diría lo mismo. Mmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nPara ser honesto, no tengo ningún\nproblema ahora mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nAunque... ¿Te interesaría ayudarme\na ayudar a otra gente?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\n¿A otra gente?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nComo príncipe heredero de Brodia,\nes mi deber auxiliar a mi pueblo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nSi me ayudas a aliviar su carga,\nme harás un gran favor.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Qué me dices, lady Veyle?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nQue sí, ¡me parece una gran idea!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x04\x03\x04
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nVaya, qué raro.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nLlevamos un buen rato dando vueltas\npor la ciudad y nadie necesita ayuda.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nA mí también me sorprende\nque no haya nadie en apuros...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nAunque eso no debería molestarnos,\nsino más bien lo contrario.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nMe alegra que hoy haya sido un buen día\npara mi pueblo.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ヴェイル\nSí, pero así no podré compensarte\nlo que te hice.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nBueno, hoy parece que no...\npero ¿qué te parecería lo siguiente?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nAlgún día, cuando tenga problemas,\nprométeme que vendrás a ayudarme.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Eso sería suficiente, lady Veyle?\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ヴェイル\nCreo que sí. Gracias, Diamant.\x0E\x04\x00\x00
