MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nHola, Lapis. ¿Tienes un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nClaro, Etie. ¿De qué se trata?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nMe han contado que puedes fabricar\ncualquier cosa. ¿Es cierto?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\n¿Qué? ¿Quién le ha dicho eso?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\nBueno, con los materiales adecuados,\npuedo fabricar muebles o juguetes...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nUna vez fabriqué instrumentos\npara un concierto. Fue muy divertido.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nエーティエ\nFascinante. Verás, necesito un favor.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\n¿Podrías construirme una máquina\npara entrenar los músculos?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\n¿Para entrenar? Pues, nunca he fabricado\nnada parecido, la verdad.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nEntrenar es mi vida.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nHe probado de todo, pero cada vez me resulta\nmás difícil lograr mis objetivos.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nAh, sí. No soporto llegar a ese punto\nen el que ya no se nota ningún progreso.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\n¡Exactamente! Sabía que tú me entenderías.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\n¿Qué músculos quiere trabajar?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nLos brazos, el pecho, el abdomen y la espalda.\nCon eso sería suficiente.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nTe pagaré lo que me pidas.\n¿Lo ves posible?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\n¡Sí! Será todo un desafío, pero me divertiré\nhaciéndolo. A ver qué se me ocurre.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nエーティエ\nEstupendo. ¡Esto va a ser increíble!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\n¡Lapis! ¿Cómo progresa esa máquina\npara entrenar los músculos?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\n¡Hola, Etie! Llega justo a tiempo.\nEstaba haciendo los últimos retoques.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nLe presento... a la Muscumax III.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\n¿Por qué III?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nEs que necesité un par de intentos\nhasta lograr que funcionara.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nEsta es más robusta. Le ayudará a trabajar\nlos brazos, el pecho, el abdomen y la espalda.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nエーティエ\nOooh, es tan buena como imaginaba.\nY, ¿cuánto va a costarme?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nLa he construido con palos y piezas sobrantes.\nNo me debe nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\n¿Con palos y piezas sobrantes?\nEs increíble...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nAl menos deja que te pague el trabajo.\nTe tengo que compensar de algún modo.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nPero, primero... ¿Te importa que la pruebe?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\n¡Adelante!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nエーティエ\n¡Síii!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nLa resistencia es perfecta.\nSe nota que te has esmerado.\x0E\x04\x00\x00
