MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nGoldmary, me han dicho\nque eres una gran cocinera.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLo soy.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLo lamento por todos esos chefs de segunda,\npero mi talento para la cocina es inigualable.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSoportar el peso de la envidia que sienten\npor mí es el precio que debo pagar.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\n¡Magnífico! Ya que eres una gran experta,\n¿estarías dispuesta a instruirme?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPuede. ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パネトネ\nMe avergüenza reconocer que mi conocimiento\nculinario es prácticamente nulo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nComo vasalla de la familia real, debo saber\ndesenvolverme en la cocina, ¿no crees?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPor supuesto...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSin embargo, compartir contigo mis secretos\nculinarios significaría tener más competencia.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nTe aseguro que no deseo robarte tus secretos,\nmi única intención es contentar a la patrona.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi es por la princesa...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEstá bien. Lo haré por respeto\na la devoción que sientes por tu soberana.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIré a buscar los ingredientes.\nPrepárate la próxima vez que nos veamos.\x0E\x04\x00\x00
