MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEn este ejército hay demasiada\ngente bonita. Qué mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Cómo voy a ser la más hermosa\ncon tanta competencia?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡No digas más!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Eh? Tú eres...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nLa mejor amiga de una dama en apuros:\nla única e inimitable lady Anna, ¡tarán!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nSi quieres ser más hermosa, princesa Hortensia,\nquizá te interese mi línea de belleza.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Tienes mi atención! Aunque, debo decirte\nque soy bastante exigente.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nGarantizo a mis clientes satisfacción absoluta.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nAdemás, lo que hoy tengo a la venta\nes perfecto para ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nCuánta confianza... Me gusta.\nBien, enséñame la mercancía.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\n¡Será un placer!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nPara empezar, este rubor rosa.\nTe lo pones por la mañana y puedes olvidarte.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nTambién tengo pintalabios, jabones, limpiadores\nfaciales y un cristal mágico que da brillo al pelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nY, además, un neceser con los colores del\narcoíris en el que cabe todo. ¡Es adorable!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nTodo esto es... ¡increíble!\nLo necesito... ¡Me lo llevo todo!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\n¡Muchas gracias! Oooh, ¡cuánto dinero!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nTe lo mereces, tus productos son geniales.\n¡Voy a ser la más bonita del lugar!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nPermíteme la pregunta para un estudio\nde mercado: ¿por qué quieres ser tan bonita?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nPorque, cuánto más hermosa eres,\nmás gustas a la gente, obviamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06アンナ\nAsí que se trata de un tema de popularidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nClaro. Bueno, me marcho.\n¡Tengo que probar todos estos productos!\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Gracias, lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n(...)\x0E\x04\x00\x00
