MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Ah, Lindon! Mi hermana pregunta por ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nGracias, princesa Hortensia, por tomarse\nla molestia de buscarme.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nTenía algo que hacer y te he visto de camino.\n¡Oh, qué cuadro tan bonito!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nLa mujer es muy hermosa...\n¿Es tu hija?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nEste encantador cuadro es\nde mi aún más encantadora esposa.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nPues es una belleza.\n¡Eres un tipo con suerte!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nSi estuviera aquí, se sentiría honrada\npor sus cumplidos.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nPodrías presentarnos la próxima vez\nque venga. Me encantaría conocerla.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nEso sería imposible, me temo.\nFalleció hace mucho tiempo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nAy, vaya. No tenía ni idea, lo siento mucho.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nNo se preocupe, alteza.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nCriamos a tres hijos que ya son mayores\ny viven sus vidas.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nLos magos a los que he entrenado me han dado\ncompañía, y sé que ella está bien en el más allá.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nHas logrado tanto... Seguro que si estuviera\naquí, se sentiría muy orgullosa de ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nOye, Lindon... ¿Podrías darme clases?\nSeguro que aprendo un montón contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nMe halaga, mi señora... Sin embargo,\nlo mejor para todos será negarme.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nSimplemente, ya no tengo tanta energía\ncomo antes para enseñar.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nEntiendo. Aún tienes batallas que luchar,\nasí que no te molestaré más.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リンデン\nSeguro que encontrará a un tutor más joven\nque será más apropiado para usted.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon, ¿podemos hablar?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nEsperaba que cambiaras de opinión\nsobre lo de darme clases.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nComo le dije, princesa Hortensia,\nya no tengo energía para enseñar.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nAdemás, he oído que es la alumna\nmás aventajada de la Academia de Elusia.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nNo es necesario que apresure su educación.\nTómese tiempo para crecer.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nMi padre no vivió lo suficiente\npara verme crecer.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nPor eso tengo prisa.\nNo quiero arrepentirme de nada más.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nPor supuesto.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuiero que mi padre descanse en paz sabiendo\nque puedo valerme sola, como tus hijos.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nTú puedes ayudarme a conseguirlo, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nLa comprendo, de verdad...\nPero tengo mis razones para negarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nTras la repentina muerte del rey Hyacinth,\nElusia se enfrenta a una crisis.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nEn momentos así, incluso un pequeño\naccidente podría desestabilizar el reino.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nDebo dedicar todos mis esfuerzos\na reconstruir mi querida Elusia.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nPor esa razón, no tengo tiempo\npara usted, princesa Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nPor eso Ivy te había mandado buscar...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nSiento haber sido tan egoísta, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nSolo pienso en mi educación cuando Ivy\ny tú se esfuerzan al máximo por Elusia.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nNo, no... No hay nada de lo que disculparse.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リンデン\nNo tiene nada malo mirar por uno mismo,\nprincesa Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuizá tengas razón. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nAun así, sigo siendo una princesa de Elusia.\nHazme saber si puedo ayudar en algo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Qué podría hacer por Elusia?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Qué podría hacer, padre? Ayúdame...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nSi estuviera aquí, el rey Hyacinth le diría\nque sirve fielmente a nuestro reino.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Cómo lo sabes? Padre ya no está...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy siempre fue la hija ejemplar.\nEn cambio, yo... no era más que un estorbo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nCuando me lo imagino observándome\ndesde el cielo, veo decepción en su rostro.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nHace tiempo fui el vasallo del hermano mayor\ndel rey, su tío. Supongo que lo sabía...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nPor aquel entonces, no tenía al rey Hyacinth\nen gran estima.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿En serio? No lo sabía...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nSu tío y su padre se disputaban\nel derecho al trono.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nAl final, el hermano mayor perdió\ny no tardó en abandonar el reino.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nLuché con fervor por su tío, por lo que sentía\nrencor hacia su padre.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リンデン\nSin embargo, un día se acercó a mí y me dijo:\n"Lindon, has servido fielmente a nuestro reino".\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nNo supe cómo tomármelo.\n¡Se suponía que éramos enemigos!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nEntonces lo entendí. En tiempos difíciles,\na ambos nos preocupaba la seguridad del reino.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nEstoy seguro de que, de estar aquí, también\nle diría que sirve fielmente a nuestro reino.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nEso significa mucho para mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nAdemás, un padre siempre\nama a sus hijos por encima de todo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\nEl rey Hyacinth jamás se sentiría decepcionado\nde usted, princesa Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リンデン\nSé lo que digo, he criado a tres hijos.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nEstá bien, me has convencido.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nYa me siento mucho mejor, gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nSeguiré creciendo y esforzándome\npara que mi padre esté orgulloso.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リンデン\nExacto, así me gusta.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08リンデン\nSiempre tengo tiempo para dar consejos.\nSi necesita hablar, la escucharé.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08リンデン\nEs una jovencita brillante.\nEstoy ansioso por ver qué será de usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cオルテンシア\nHaré que tú también te sientas\norgulloso, Lindon.\x0E\x04\x00\x00
