MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x06\x04ルイ\nAh, Yunaka. Qué oportuna.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\n¿Ah, sí? Pues eso nunca me pasa.\nUn momento, ¿oportuna para qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\n¿Me harías el favor de tomar té conmigo?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nPrefiero degustarlo acompañado\nque en soledad.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nOooh, suena bien. Será un placer.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nEspléndido. Aquí tienes, está recién hecho.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nVoy a probarlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\n¡Delicioso! Es el mejor té que jamás he tomado.\nEres todo un experto.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nEres muy amable.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nCerca de mi hogar se cultivan\nunas hojas de té de excelente calidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nAprendí a preparar té a muy temprana edad.\nHe tenido tiempo para perfeccionar mi técnica.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\n¡Qué interesante!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nTu familia tiene mucha suerte de poder beber\neste té tan delicioso siempre que quiera.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nSí, supongo. ¿Qué me dices de tu familia?\n¿Gozan todos de buena salud?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\nAh... ¿mi familia?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nPues... Bueno... es que mi familia...\nCómo puedo explicarlo...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nRetiro la pregunta.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ルイ\nPor cierto, Yunaka. ¿Alguna vez has degustado\nel té con uvas azucaradas?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\n¿Uvas? ¿En el té?\nSuena un poco raro. ¿Está bueno?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x06\x04ルイ\nTe prepararé una taza. Espero que te guste;\nes la especialidad de mi pueblo.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ユナカ\n¡Qué emocionante! Gracias, Louis.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ルイ\nNo hay de qué.\nEl té se disfruta más con una sonrisa.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\n¡Louis! Hola.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nHola, Yunaka. ¿Te ha sonreído la fortuna?\nHoy estás más radiante que de costumbre.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nPor favor, basta de halagos...\nQué empalagoso...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nTe he traído algo para agradecerte\nlo del otro día. ¡Mira, mira, mira!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nVaya, un solo vistazo me basta\npara saber que este té es de gran calidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nNo esperaba menos de un maestro.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nMe has preparado tanto té, que me preocupa\nque se te haya acabado.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nNo es gran cosa, pero espero que aceptes\nel regalo. Es por una buena causa.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nAcepto este espléndido obsequio\ncon alegría.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nDe hecho, voy a prepararlo ahora mismo.\nY estás invitada a unirte a mí, por supuesto.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\n¿Seguro? No quiero que pienses\nque te lo he regalado para que me lo prepares.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ルイ\nEl té se bebe en compañía, ya que se disfruta\naún más con una agradable conversación.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nSí, sí, conversación...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nMe gusta hablar contigo, aunque me preocupa...\nhablar demasiado.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nAh, mmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nAcabo de recordar que tengo que hacer...\nuna cosa... En otro momento será.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nVaya, qué mala pata...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nConfieso que esperaba poder contarte\ncosas sobre mí en esta conversación.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\n¿Tenías pensado pasar el rato\ncontándome tu vida?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nAsí es. Hoy tengo ganas de sacar a relucir\nmi faceta narcisista.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ユナカ\nBueno, en ese caso, podría quedarme\nun rato. Para hacerte el favor y eso.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\nSe me da bien escuchar, así que no te reprimas\ny cuéntamelo absolutamente todo de ti.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ルイ\nEstupendo. Voy a preparar ese té.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\n¡No! Me estás tomando el pelo.\n¡Esa historia no puede ser verdad!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nTe aseguro que lo es.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nEn el examen para entrar al servicio de la corte\nde Firene, le serví té a todo el mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ルイ\nMe gané el puesto gracias a mis magnos\nconocimientos sobre las infusiones.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nSé que eres un experto en preparar el té,\npero ¿eso era relevante para el examen?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ルイ\nBuscaban a un vasallo que dominara\ntanto las artes domésticas como las marciales.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nPor suerte para ti, eres el mejor en eso.\n¡Tus rivales debieron quedarse boquiabiertos!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nTus palabras me halagan.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nLa verdad, Louis, podría quedarme a escuchar\ntus historias todo el día, son geniales.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nAunque, me hace sentir un poco mal que tengas\nque hacer todo esto por mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\n¿Qué quieres decir?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nTú te esfuerzas por sacar temas\nde conversación y yo solo escucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nYa te habrás dado cuenta de que lo prefiero así.\nNo me gusta hablar de mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nCierto. No me ha pasado desapercibido.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nSi es posible, intentaría evitar ese tema.\nTe mentiría, y no quiero mentir a mis amigos.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nPor eso prefiero no hablar\nde mi pasado ni de mí misma.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nNo hay nada de malo en eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nNo es necesario conocer el pasado\nde una persona para entenderse.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\n¿Tú crees?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nCon té y buena compañía, los temas\nde conversación son ilimitados.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nAdemás, yo hablo por los codos. Es un placer\ntener a alguien que desea escucharme.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nEscuchar puede resultar agotador a veces.\nAgradezco mucho tu esfuerzo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nAy, Louis...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nSi deseas intervenir, hablemos de nuestros\npaíses, de la amistad, del futuro... Lo que sea.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\n¿No te importa ser amigo de alguien\nque se niega a hablar de su pasado?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ルイ\nPor supuesto que no.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ルイ\nSoy amigo de la Yunaka de ahora.\nNo me preocupa tu pasado.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nBien, si vamos a seguir conversando,\nvoy a tener que preparar más té.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ユナカ\nGracias, Louis.\x0E\x04\x00\x00
