MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, ¿aún no te has tomado un descanso?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nLo cierto es que no. Lo haré en cuanto termine\nde organizar el armamento.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nSabes que puedes acudir a mí cuando sea,\n¿verdad? Te ayudaré \x0E\x0A\x00(\x12encantado\x12encantada.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Siempre estás pendiente de tantas cosas...\nEres de gran ayuda.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nPara mí es un placer serle útil. Por cierto,\nestuvo \x0E\x0A\x00$\x10perfecto\x10perfecta en combate hoy, Divinidad.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Verl\x0E\x0A\x00\x08\x02o\x02a defender con tanto ahínco a los aliados\nes muy alentador. Pero no olvide descansar.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nGracias. No hace falta que te preocupes.\nMe comeré algo y luego reposaré.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Hablando de comida, hoy estaba exquisita, ¿no?\nEn especial, la sopa de verduras.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, bueno es saberlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nPerdona, no había reparado en que no habías\ncomido. Pero aún deben de quedar raciones.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cセレスティア\n\x0E\x0A\x00(\x12Tranquilo\x12Tranquila; estaba absorta en mis tareas.\nNo he podido comer como es debido desde...\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Mmm... Diría que hace varios días.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\n¡¿Cómo?! Debes alimentarte adecuadamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nPararse a comer lleva su tiempo, pero sí me\ncomo algo ligero entre horas. Hay tanto que\nquiero hacer...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nEso no basta.\n¡Vienes conmigo ahora mismo, Zelestia!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Eh? ¿Adónde vamos?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nEs necesario comer bien para reponer fuerzas.\nSobre todo tú, que nunca te detienes.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Me cercioraré personalmente de que te tomas\ntu tiempo para alimentarte como es debido.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, te he traído el almuerzo,\naunque se me ha pasado un poco la hora...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, gracias, Divinidad. Había perdido la noción\ndel tiempo con tanta visita a nuestros aliados.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nLo mismito que te sucedió la otra vez,\nsi mal no recuerdo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nEs que...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nSi no estoy pendiente de ti, ¡te saltas todas\nlas comidas! Menos mal que me di cuenta.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nPensé que los demás dragones se comportaban\ncomo yo, pero quizá sea solo cosa mía.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	He tratado de prestar más atención, pero\nal final siempre me distraigo con los demás.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Si hay alguien en aprietos, intento ayudar;\nsi alguien tiene preocupaciones, las escucho.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Justo el otro día, ayudé a un camarada a mover\nobjetos pesados y se me fue el día entero.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nOtra vez.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nLo sé. Pero... comeré gustosa\nlo que me ha traído.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Ji, ji.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\n¿De qué te ríes?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nEs solo que me alegro de estar aquí con usted,\nDivinidad, aunque sea la única que coma.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	No solo se alimenta mi estómago,\nsino también mi corazón.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	¡Oh, esta sopa está deliciosa, Divinidad!\nTiene que probarla.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nGracias, pero ya he comido.\nAdemás, la he traído para ti.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nNo tiene que contenerse. Me sentiría culpable\nsi no le diera a probar semejante delicia.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	A ver, abra la boca...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nUh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nVamos, diga "Aaah"...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nMmm... Si insistes... Aaah...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nJi, ji. ¿Y bien? ¿Verdad que es todo un manjar?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nS-sí, es pura... ambrosía.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nBueno, por fin está todo en orden.\nEn tal caso...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nA comer.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nÚltimamente comemos \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas\nmuy a menudo, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nMe alegro mucho de que saques tiempo\npara comer.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Eso si no contamos todas las veces\nque te distraes con algo, claro.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nMe enternece su preocupación.\nGracias a usted, he podido comer exquisiteces.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Además, comer acompañada\nes mucho más divertido.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Y no solo eso; cualquier actividad que hago\ncon usted resulta más placentera, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nMe alegra que digas eso.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Me intranquilizaba que te resultase difícil\nadaptarte a este lugar tan poco familiar para ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nEn absoluto; me alegro de estar aquí\ny de poder disfrutar de su sonrisa.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Y, si le ayuda a sonreír aún más,\nl\x0E\x0A\x00\x08\x02o\x02a respaldaré frente a cualquier adversario.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	No tengo miedo. ¡Aplastaré a cualquier enemigo!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nJa, ja. Me reconfortan tus palabras, Zelestia.\nEl sentimiento es mutuo.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Eres una fuente de inspiración.\nA tu lado, me siento mucho más fuerte.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nMucho ha sucedido desde mi llegada aquí,\npero... me alegro de ser de los suyos.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Quisiera permanecer a su lado;\nque pueda contar siempre conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nFaltaba más. Sé que puedo confiar en ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, Divinidad... Tiene salsa en la cara.\nNo se mueva.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nYa, listo.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Debía de tener mucho apetito para terminar\nasí de \x0E\x0A\x00$\x10manchado\x10manchada. ¡Qué adorable!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nAgradezco el gesto, pero no soy \x0E\x0A\x00"\x0Eun niño\x10una niña.\nQué vergüenza...\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMmm... Gracias por la comida.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\n¡De nada! Espero que la disfrutaras.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nAh... Sí...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n¿Qué ocurre, Zelestia? Hoy te noto algo rara.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nEstoy algo nerviosa.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\n¿Y eso? ¿Ha ocurrido algo?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nTemo que estos momentos de felicidad\nno perduren. La guerra se recrudece.\x0E\x04\x02\x00
MID_RELIANCE_S_#008	¿Y si a partir de mañana ya no podemos\ngozar de nuestra compañía?\x0E\x04\x02\x00
MID_RELIANCE_S_#009	O peor... ¿Y si... no regresa \x0E\x0A\x004\x18sano y salvo\x18sana y salva?\x0E\x04\x02\x00
MID_RELIANCE_S_#010	Nuestros almuerzos son un pequeño momento\nde felicidad para mí, pero quizá no haya más.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nNo tenía ni idea de que padecieras\ntal angustia...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nJamás pensé que el tiempo que pasamos \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas\nme produciría tanta felicidad... y miedo.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	Toda guerra conlleva sacrificios.\nEs parte de estar en el campo de batalla.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Y, pese a ello, no sé si soportaría\nperder a otro ser querido.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	En mi otro mundo tenía amigos que pensé\nque me acompañarían siempre. Y ya no están.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nLo comprendo. Debe de ser especialmente\ndoloroso tras haber dejado tu hogar.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Se requiere más que diversión y hacer nuevos\namigos para cerrar heridas tan profundas.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Lamento haberte preocupado.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0E\x0Cセレスティア\n¡Oh, no me debe ninguna disculpa, Divinidad!\nYo soy el origen de mi propia angustia.\x0E\x04\x00\x00
