MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\nA partir de ahora, voy a protegerte, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\n¿Príncipe Alcryst? ¿De qué está hablando?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nEl otro día me protegiste en combate.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nPor supuesto, soy su vasalla.\nEs mi deber protegerlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nSí, pero no lo merezco. No valgo nada\ncomparado con tu fuerza y valor.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nPor eso, desde ahora, ¡prometo protegerte\nen el campo de batalla, Lapis!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\n¿Qué...?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nImagino que, viniendo de alguien tan pusilánime,\nsolo te parecerá palabrería vacía...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nYa van tres.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\n¿Qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nEsta es la tercera vez que se compromete\na protegerme, príncipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nAh, sí. Ahora que lo mencionas, recuerdo\nhaberlo dicho... cuando nos conocimos.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nY otra vez en el Gran Puente,\nsi no recuerdo mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nExacto. Oírlo decir esas palabras\nme hizo tan...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nLe ruego que deje de intercambiar los papeles.\nYo soy su vasalla; ¡usted, el príncipe!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nLo siento. Tan solo digo lo que siento...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nSoy consciente.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nUn vasallo que se precie no puede permitir\nque su señor se sacrifique en su lugar.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nLo siento...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nNo se lo tome así. Sé que lo dice de corazón.\nAprecio mucho su intención...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nスタルーク\nClaro...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\n¿Lapis? Quisiera disculparme por la promesa\nque te hice el otro día.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nOh, príncipe Alcryst...\nNo se preocupe por eso.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nDebería disculparme yo por osar indicarle\nlo que puede decir.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nNo hiciste nada malo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nCometí un error. No me paré a pensar\nen cómo te afectarían mis palabras.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nAunque... quiero que sepas una cosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nRealmente creo que eres\nuna persona excepcional, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nNo es cierto... No tengo nada de especial.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nInsisto. Estoy convencido de ello.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nSé que envías parte de tu paga a casa\npara ayudar a tu familia.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nTambién sé que dedicas tu tiempo libre\na limpiar la comarca de alimañas peligrosas.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\n¿Cómo... lo sabe?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nTú vales mucho más que yo, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nPor ese motivo...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nPor ese motivo insiste en protegerme a mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nPríncipe Alcryst... No tiene ni idea...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nMe parte el corazón oírlo hablar así.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nLo siento... He de irme.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x01\x08\x06ラピス\n\x0E\x03\x02\x0C\nスタルーク\nVaya... Soy un auténtico despropósito.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nNi siquiera soy capaz de contarle a una vasalla\nlo mucho que me importa sin incomodarla...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nNo merezco ser el señor de nadie.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\n¡Prometo protegerlo, príncipe Alcryst!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\n¿Lapis?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nComo le sigo diciendo: soy su vasalla.\nProtegerlo es mi deber...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nPero no lo hago solo por obligación.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nLo hago porque es mi deseo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\n¿Por qué desearías protegerme?\nNo lo merezco...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\n¡Justo a eso me refiero cuando digo\nque no tiene ni idea!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nLa última vez dijiste que no tenía ni idea\nde cómo te sientes...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nNo me refería a eso, príncipe Alcryst.\n¡No tiene ni idea de lo especial que es!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\n¿Yo?... ¿Especial?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nEs muy perspicaz. No se le escapa\nningún detalle de quienes lo rodean.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nPero decide enfocarse en las virtudes\nde cada cual. Ve cualidades que nadie más ve.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nEn innumerables ocasiones me ha levantado\nel ánimo recordándome lo que se me da bien...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nNo es difícil detectar virtudes en otros\ncuando uno está tan privado de ellas.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\n¡No! ¡No es cierto! Es por su inmensa\namabilidad, príncipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nEs competente, atento, encantador...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nY no dudaría en sacrificar su vida\npor los demás... incluso sus vasallos.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\n¿De veras piensa que eso me haría feliz?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nEn ese caso... ¿qué te parece\nsi formamos una alianza?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\n¿A qué se refiere?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nYo me comprometo a protegerte... y acepto\ntu protección. Y tú haces lo mismo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nDe ese modo, ambos cuidamos a alguien que\nnos importa y, a cambio, recibimos protección.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nMe gusta la idea. Por fin habla\ncomo un verdadero príncipe. ¡Cuente conmigo!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nMe alegra oír eso. Volvamos a intentarlo,\npero juntos esta vez.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nPrometo protegerte, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nY yo me comprometo a protegerlo a usted,\npríncipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nMuchas gracias. Acepto encantado.\x0E\x04\x00\x00
