MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nSir Vander, ¿es cierto que usted residía\nen Lythos al servicio de la reina Lumera?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEn efecto, era su sirviente.\n¿Por qué lo preguntas?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nSolo quería transmitirle que, como hombre\nde fe que soy, lo tengo en la más alta estima.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nHabría dado un brazo por servir en tan augusto\ndestino. La Tierra Sagrada, nada menos.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nAhórrate los halagos, porque te puedo dejar\nsin oreja como me ponga a contar batallitas.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\n¡Por favor! Me encantaría que me contase\nsus vivencias.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nDesde luego. Aunque quizá deberíamos\nconversar en otro lugar más adecuado.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\n¿Le gustaría asistir a mi próxima fiesta?\nSería la ocasión idónea para conversar.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nNo tengo por costumbre el acudir a fiestas.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nSeguro que se siente cómodo. Será una\npequeña velada en la iglesia, nada más.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nUn grupo de fieles jóvenes orando por la paz\ncon danzas y cantos piadosos... Todo eso.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\n¿Dices que se reza cantando y bailando?\nSuena estupendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nMi labor clerical me obliga a tratar de confortar\na la gente en estos tiempos tan convulsos.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nEntiendo. Es decir, esas reuniones las concibes\ncomo un modo de servir a tus feligreses.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\n¡Exacto! Entonces, ¿podemos contar\ncon su presencia?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nPor supuesto. ¿Cómo iba a rechazar yo\nla invitación a tan sagrado acto?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\n¡Formidable! Lo espero con impaciencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nGracias por acudir a la fiesta, sir Vander.\nLa ha ennoblecido con su presencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nOye, Pandreo, ¿acaso tengo el oído defectuoso\no tú y los demás asistentes estaban... aullando?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\n¿Eh? Ah, no lo tenga en cuenta. Nos sale\ndel alma en los momentos de fascinación.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nY es que las historias sobre la reina Lumera\ncon las que nos deleitó nos tenían absortos.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nBueno, me alegro, pero ¿se puede saber qué\nclase de espectáculo grotesco he presenciado?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nCuando dijiste que habría danzas y cantos\npiadosos, me esperaba algo más... solemne.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\n¡Esto parecía un circo de gente brincando\ny aullando como perros rabiosos!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\n¿Han oído siquiera lo que he contado\ncon semejante escándalo?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\n¡Por supuesto!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nDe ahí el entusiasmo que nos ha invadido.\nSimplemente lo estábamos exteriorizando.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nPues llámame anticuado, pero... si me interesa\nuna historia, lo demuestro escuchándola.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nHe notado que no ha bailado con nosotros.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\n¡Claro que no! Si me pusiera a hacer piruetas\nde esa manera, me quebraría la espalda.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nAun así, agradezco su comprensión.\nAl principio, recibíamos quejas frecuentes.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nAsí es. La religión siempre ha ocupado un lugar\nminoritario en Solm. Nadie acudía a la iglesia.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nEntonces, se me ocurrió una idea\nque lo cambió todo.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nInyectar un tinte festivo a las ceremonias.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パンドロ\n¡Exacto! Para que el público preste atención,\nhay que hablarle en un idioma que comprenda.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nヴァンドレ\nHas trabajado mucho para levantar esta iglesia.\nLamento haberla comparado con un circo.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nヴァンドレ\nPese a lo heterodoxo de tus métodos, sin duda\nhan atraído nuevos feligreses. Encomiable.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パンドロ\nViniendo de su merced, es todo un elogio.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nヴァンドレ\nBueno, en la actualidad, al mundo\nle vendría bien una mayor amplitud de miras.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nVamos, Vander, no puedes consentir\nque unos jovenzuelos te pongan en evidencia.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パンドロ\n¿Qué hace, sir Vander? ¿Ensayando alguna\ntécnica de entrenamiento aprendida en Lythos?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nNo, no es nada. Márchate.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nSolo pretendía saber, como amigo, si todo\nestaba en orden. Lamento las molestias.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nEspera, Pandreo. Estoy tratando de...\naprender a bailar.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nAh, a bailar... Ya veo.\x0E\x04\x00\x00
