MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Eh, Vander! ¿Dónde guardan\nlas armas legendarias por aquí?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\n¿Armas legendarias? ¿De qué demonios\nestás hablando, Amber?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nSiempre he querido tener un arma legendaria.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nEl Somniel está repleto de lugares sagrados.\nEn alguno habrá una espada alucinante...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nNo tengo tiempo para fábulas y banalidades.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nConque esas tenemos... Bien; de todos modos,\necharé un ojo por si encuentro algo...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nBueno... Supongo que hay un método infalible\npara obtener un arma legendaria.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\n¡¿De veras?! ¿Cuál? ¿Qué tengo que hacer?\n¡Cuéntamelo, Vander! ¡Por favor!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nPiensa: ¿qué es en esencia un arma legendaria?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nPara que un arma sea legendaria,\ndebe blandirla un héroe legendario, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nSí, tiene sentido...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nEntonces, maese Amber... tan solo debes\nhacerte digno de ser un héroe legendario.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\n¿Un héroe legendario? ¿Yo?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nSí... ¡Sí! Si lo consigo, mi querida lanza...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nPasaría a ser un arma legendaria. Eso es.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\n¡Oooh! ¡Jo, jo, jo!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\n¡Vander! ¡Me acabas de abrir los ojos!\nEso mismo haré. Mi leyenda empieza... ¡ahora!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nUf... Ah...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nNo es suficiente... Tengo que... entrenar más...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nCaramba. Me alegra verte entrenar a fondo\ntan temprano, maese Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nClaro. ¡Tengo que ponerme tan fuerte\ncomo sea posible!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nHe de convertirme en una leyenda.\n¡Entonces, mi lanza será un arma legendaria!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nSe ha tomado mi sarcasmo en serio...\nNo sé si es dedicación... o estupidez.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\n¿Decías algo?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\nEste... Me preguntaba por qué deseas\ntan fervientemente poseer un arma legendaria.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nSoy de un pueblito perdido donde el único\nmodo de evadirme era leyendo historias.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nMi favorita era la de un héroe que con un arma\nlegendaria vencía a un monstruo gigante.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nSiempre pienso en esa historia. Si quiero emular\na aquel héroe... ¡necesito un arma legendaria!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nComo veo que te lo has tomado en serio...\n¿por qué no entrenas conmigo?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\n¡¿De veras?! ¿Lo dices en serio? ¡Me encantaría!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nEres tan fuerte e imponente...\nSeguro que tu entrenamiento es increíble.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nヴァンドレ\nLimítate a hacerlo lo mejor que sepas.\nNo pienso contenerme, "héroe".\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nUrg...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\n¿No puedes más, héroe? Solo estamos\ncon la musculación. Luego vamos a correr.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nEstoy muerto, Vander...\n¿Siempre entrenas así de fuerte?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nSí.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nEs increíble. ¡Apenas puedo seguir tu ritmo!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\n¿Te rindes? ¿Dónde ha quedado tu entusiasmo?\n¡Creí que deseabas convertirte en una leyenda!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nNo puedo ni defenderme...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nCon este entrenamiento, seguro que ya eres\nuna leyenda... ¿Por qué no me regalas tu arma?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\n¡Ni hablar! Ya he dicho que ni soy una leyenda\nni tengo interés en armas legendarias. Aunque...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nVeo cómo tu generación trabaja para crear\nun mundo mejor. Así se forjan las leyendas.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nNo te falta resolución, y tienes mucho potencial.\nTu historia no ha hecho más que empezar.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nヴァンドレ\nSigue persiguiendo tu sueño. Si lo logras,\ntu arma pronto será digna de una leyenda.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nOh, Vander... ¡Eso haré!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nMi arma será legendaria, ¡igual que yo!\n¡Como en aquellas historias que leía de niño!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nEs un objetivo admirable, y lo lograrás antes\nsi dejas de lado los quejidos. ¿Lo entiendes?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\n¡Sí, señor! ¡Seguiré entrenando\ncon todas mis fuerzas!\x0E\x04\x00\x00
