MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nGriss...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\n¡Lady Veyle! ¿Qué le ocurre?\nParece como si hubiera visto un fantasma...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nOh, no es nada, este... Gregory.\nLo siento, no pretendía alarmarte.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nグレゴリー\nLa verdad es que me alegra poder hablar\ncon usted. Hace días que deseaba hacerlo.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	¿Qué tal si hablamos mejor mientras se sienta\nen ese tronco para que esté más cómoda?\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Rayos... No he traído nada para cubrir el tronco.\nDebería haber pensado en ello.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nNo pasa nada. Podemos hablar de pie.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	O, si lo prefieres, siéntate tú en el tronco\ny yo, en el suelo. A mí no me importa.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\n¿Cómo? Ni hablar.\nJamás podría permitir algo así.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Por favor, tome el tronco. Me sentiría fatal\nsi se manchara por sentarse en el suelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ヴェイル\nLo siento. No quería poner trabas...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\n¡No se disculpe! Es solo que...\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Un momento. Si está temblando...\n¿Se encuentra bien?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nSí, estoy bien.\nEs que verte me ha traído... recuerdos.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\n¿Recuerdos de mi yo de este mundo?\x0E\x04\x02\x00
MID_RELIANCE_C_#016	A juzgar por su expresión,\ndiría que no son precisamente buenos.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nLo siento, Gregory. Sé que eres una persona\ndistinta.\x0E\x04\x02\x00
