MID_TUT_BMAP_FireBall_TITLE	Bombas volcánicas
MID_TUT_BMAP_FireBall_0	Las bombas volcánicas causan destrozos\ndondequiera que impactan.
MID_TUT_BMAP_FireBall_1	Como caen en los cráteres de magma, trata\nde mantener a tus aliados lejos de ellos.
MID_TUT_BMAP_FireBall_2	Las unidades que se encuentren en los cráteres\ntambién sufrirán daños.
MID_TUT_BMAP_Smoke_TITLE	Humo
MID_TUT_BMAP_Smoke_0	Los terrenos envueltos en humo merman\nla capacidad de esquivar ataques (Esq),\nla defensa (Def) y la resistencia (Res).
MID_TUT_BMAP_Smoke_1	En este mapa en concreto, el humo se propaga\nlentamente. Procede con sumo cuidado.
MID_TUT_HUB_REFRESH_TITLE	Esparcimiento
MID_TUT_HUB_REFRESH_0	Escoge a dos aliados en el Somniel\npara que compartan un rato de asueto\nen distintos lugares.
MID_TUT_HUB_REFRESH_1	El tiempo que ambas unidades pasen juntas\nquizá sirva para reforzar la afinidad entre ellas.
MID_TUT_HUB_REFRESH_2	Esta opción está disponible una vez\nentre batalla y batalla en el estanque,\nen el vergel y en el establo.
MID_TUT_HUB_REFRESH_NOTICE	Ya está disponible la opción "Esparcimiento"\nen el estanque y otros lugares.
MID_TUT_HUB_REFRESH_OPEN	Ya está disponible la opción "Esparcimiento".
MID_TUT_GOD_HECTOR_TITLE	Emblema Héctor
MID_TUT_GOD_HECTOR_0	El Emblema Héctor destaca por su capacidad\ndefensiva. Puede proteger a los aliados\ny contratacar a los enemigos.
MID_TUT_GOD_HECTOR_1	La habilidad de sincronización Presteza permite\nresponder con un ataque doble si los PV\nde la unidad superan cierto valor.
MID_TUT_GOD_HECTOR_2	El arma de fusión Hacha lobo inflige daño\nadicional a las unidades de caballería\ny acorazadas.
MID_TUT_GOD_HECTOR_3	La habilidad de fusión Inexpugnable potencia\nla defensa y la resistencia de la unidad cuando\nsufre un ataque.
MID_TUT_GOD_HECTOR_4	El ataque de fusión Ojo de la tormenta impide\nlos ataques dobles del rival y el efecto ruptura.\nAsimismo, permite asestar ataques dobles.
MID_TUT_GOD_SENERIO_TITLE	Emblema Soren
MID_TUT_GOD_SENERIO_0	El Emblema Soren es un especialista en ataques\nmágicos y en obstaculizar al enemigo para\ncambiar el curso de la batalla.
MID_TUT_GOD_SENERIO_1	La habilidad de sincronización Indicar señuelo\nhace que un aliado sea más susceptible de sufrir\nataques enemigos.
MID_TUT_GOD_SENERIO_2	El arma de fusión Rayos permite acertar\na los enemigos lejanos con magia de trueno\nde largo alcance.
MID_TUT_GOD_SENERIO_3	La habilidad de fusión Llamarada merma\nla resistencia del rival y hace que la unidad\nrecupere PV al atacar con un grimorio.
MID_TUT_GOD_SENERIO_4	El ataque de fusión Hecatombe, con su amplia\nárea de efecto, permite atacar a varios enemigos\ncon magia de fuego, trueno y viento.
MID_TUT_GOD_CAMILLA_TITLE	Emblema Camilla
MID_TUT_GOD_CAMILLA_0	El Emblema Camilla puede manipular el terreno\ne influir desde las alturas en el desarrollo\nde las batallas.
MID_TUT_GOD_CAMILLA_1	La habilidad de sincronización Vena de dragón\nañade efectos especiales al terreno según el tipo\nde unidad del usuario y anula llamas y miasma.
MID_TUT_GOD_CAMILLA_2	El arma de fusión Hacha rayo inflige daño\ndesde lejos con ataques mágicos.
MID_TUT_GOD_CAMILLA_3	La habilidad de fusión Sobrevuelo potencia\nel movimiento (Mov) y permite volar a la unidad.
MID_TUT_GOD_CAMILLA_4	El ataque de fusión Infierno oscuro abarca\nuna amplia área de efecto y envuelve el terreno\nen llamas.
MID_TUT_TIPS_Hector	Emblema Héctor
MID_TUT_TIPS_Senerio	Emblema Soren
MID_TUT_TIPS_Camilla	Emblema Camilla
MID_TIPS_OTHER_35	Entre batalla y batalla, tus aliados pueden disfrutar una vez de los tres lugares\nde esparcimiento del Somniel.
MID_TIPS_SKILL_36	Al atacar con un grimorio de fuego, trueno o viento, disminuye un atributo del enemigo\ndurante un turno. El atributo en cuestión depende del tipo de grimorio que se utilice.
MID_TIPS_SKILL_37	Atacar con grimorio a un enemigo que sufre ruptura\nhace posible que dicho estado se prolongue.
MID_TIPS_GOD_29	Hermano del marqués de Ositia, en Elibe, un continente de otro mundo.\nUn auténtico prodigio con el hacha.
MID_TIPS_GOD_30	Con el Hacha del Trueno Armads, luchó contra el mal junto a Eliwood, padre de Roy.
MID_TIPS_GOD_31	Asesor táctico de los mercenarios de Greil, en Tellius, un continente de otro mundo.
MID_TIPS_GOD_32	Sabio y estratega inigualable que pertenecía al grupo de mercenarios de Ike.
MID_TIPS_GOD_33	Princesa de Nohr, una tierra de otro mundo. Cabalga a lomos de un wyvern\ny hace gala de un carácter afectuoso.
MID_TIPS_GOD_34	Una de las hermanas de Corrin. Se muestra tan entregada a sus familiares y amigos\ncomo implacable con sus enemigos.
MID_TUT_NAVI_G004_ADVICE_START	Dada la abundancia de enemigos con bastones\nque hay en este mapa, las animaciones de baile\ny sanación se mostrarán, por defecto, solamente\nen tu turno. Puedes cambiar esta configuración\nen el menú de ajustes.
MID_TUT_NAVI_G004_ADVICE_END	Se va a deshacer el cambio de la configuración\nrelativa a las animaciones de baile y sanación\nque se ha llevado a cabo al inicio de la batalla.
