MID_WU_C_1_IN_#001	¡Hola!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	¿Ha descansado, Divinidad?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Me alegro.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Hoy hace un día genial...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	¡así que no se la pase durmiendo!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	¡Vamos! ¡A mover el cuerpo!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	¡Buenos días!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Vamos, abra los ojos.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Dese prisa, Divinidad.\nTengo mucho que hacer.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Fantástico. Está despiert\x0E\x0A\x00\x08\x02o\x02a.\n¿Esto es todo?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Si no necesita nada más, voy a salir a correr.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Puesto que, de todos modos, tengo que esperar,\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	empezaré mi entrenamiento.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	¡Jiaa! ¡Ugh! ¡Jia! ¡Ugh!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Ah... ¡Oh, hola!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	No l\x0E\x0A\x00\x08\x02o\x02a he visto despertarse.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Hace buen día, ¿eh?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	He venido a ponerl\x0E\x0A\x00\x08\x02o\x02a en pie.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Se ha despertado de inmediato.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	¿Tiene el sueño ligero, Divinidad?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	¿Cuál es la mejor forma de hacerlo?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Le daría un empujoncito, pero...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Sería una grosería. Mejor le doy\nun empujón al altar en el que duerme.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	¡No! ¡Qué mal!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	¿Por qué pesa tanto el altar, Divinidad?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Tendré que entrenar con más ahínco\npara la próxima vez.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	¡Uf! ¡Cien vueltas alrededor del Somniel!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Se ha despertado enseguida.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	¿Usted también quiere ir a correr?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Podría dar un par de vueltas más.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	¿Sabe?...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Ahora me gusta aún más salir a correr.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Todas esas dudas que me amargaban\nya son historia.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	¿Se siente un poco adormilad\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Lo mejor para eso es salir a correr.\n¿Qué me dice?\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Bien... Iré con cuidado.\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	Con calma.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	¡¿Ya está despiert\x0E\x0A\x00\x08\x02o\x02a?!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	De verdad que creía...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	que andaba con mucho cuidado.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Le he traído mi flor preferida de Firene.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	No hay un aroma mejor en todo el mundo.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Debería ayudar a despertarl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	¿Qué le ha parecido el aroma de Firene?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Algún día l\x0E\x0A\x00\x08\x02o\x02a llevaré a un campo\nrepleto de estas maravillas.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	¡Le he preparado el desayuno, Divinidad!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Parece que la comida es la clave\npara despertarl\x0E\x0A\x00\x08\x02o\x02a rápidamente.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	¡Deléitese! Me he asegurado\nde incluir muchas proteínas.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	¿Ha estado usando el bálsamo muscular?\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	¡Los hay con diferentes perfumes!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Durazno, galleta, distintas hierbas...\nHasta hay uno que huele a té.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Creo que debería probar...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	el de aroma a pimiento picante.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Da mucha energía,\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	así que es perfecto para las mañanas.\x0E\x04\x00\x00
