MID_WU_C_1_IN_#001	¡Aquí estoy!
MID_WU_C_1_IN_#002	¡Lista para sacar\x0E\x0A\x00\x0C\x04lo\x04la de la cama!
MID_WU_C_1_SOON_#001	Impresionante...
MID_WU_C_1_SOON_#002	Veo que, al sentir mi sutil presencia,\nha despertado de inmediato.
MID_WU_C_1_SOON_#003	¿Eh? ¿Que mi presencia no tiene nada de sutil?
MID_WU_C_1_SOON_#004	Qué feo está decir algo así...
MID_WU_C_1_WAKEUP_#001	¡Mmm! Por fin me toca a mí.
MID_WU_C_1_WAKEUP_#002	¡Ahora sí que me siento parte del grupo!
MID_WU_C_1_WAKEUP_#003	Vamos allá...
MID_WU_C_1_WAKEUP_#004	¡Divinidad!
MID_WU_C_1_HELLO_#001	¡Ha despertado!\nHa funcionado a la perfección.
MID_WU_C_1_HELLO_#002	¡Y encima ha sido divertido!
MID_WU_C_1_HELLO_#003	¿Cómo? ¿Que está pensando a quién\nencargarle esta tarea a partir de ahora?...
MID_WU_C_2_IN_#001	¡Se requiere su presencia!
MID_WU_C_2_IN_#002	Ah... que sigue durmiendo...
MID_WU_C_2_SOON_#001	Lo siento.
MID_WU_C_2_SOON_#002	No debería haber\x0E\x0A\x00\x0C\x04lo\x04la despertado\ncon tanta brusquedad.
MID_WU_C_2_SOON_#003	Procuraré controlarme más la próxima vez\nque venga a buscar\x0E\x0A\x00\x0C\x04lo\x04la.
MID_WU_C_2_WAKEUP_#001	Uy... Pensaba que ya estaría \x0E\x0A\x00(\x12despierto\x12despierta.
MID_WU_C_2_WAKEUP_#002	Prepararé su ropa.
MID_WU_C_2_WAKEUP_#003	Aquí tiene...
MID_WU_C_2_WAKEUP_#004	¡Oh! ¡Ah!
MID_WU_C_2_HELLO_#001	Qué desastre...
MID_WU_C_2_HELLO_#002	Me he resbalado en la alfombra\nque hay junto a su cama.
MID_WU_C_2_HELLO_#003	Tenga cuidado al levantarse, Divinidad...
MID_WU_C_2_HELLO_#004	Ja, ja, ja... Ja, ja...
MID_WU_B_1_IN_#001	¡Tiene que probar...
MID_WU_B_1_IN_#002	esta sopa!
MID_WU_B_1_IN_#003	Ah, está durmiendo.
MID_WU_B_1_SOON_#001	Quería compartir esta sopa de ajo\ncon usted, pero...
MID_WU_B_1_SOON_#002	ya veo que no es el mejor momento, ¿verdad?
MID_WU_B_1_SOON_#003	Volveré más tarde, Divinidad.
MID_WU_B_1_WAKEUP_#001	Me encanta comer con usted, así que...
MID_WU_B_1_WAKEUP_#002	se me ocurrió que compartiésemos esto.
MID_WU_B_1_WAKEUP_#003	Ja, ja. Será mejor que vuelva en otro momento.
MID_WU_B_1_HELLO_#001	Mmm... Mmm...
MID_WU_B_1_HELLO_#002	¡Ah, Divinidad!
MID_WU_B_1_HELLO_#003	Le he traído sopa, pero olía tan bien...
MID_WU_B_1_HELLO_#004	En fin...
MID_WU_B_1_HELLO_#005	Me temo que me la he comido toda\nmientras dormía.
MID_WU_B_2_IN_#001	Despertar al Dragón Divino
MID_WU_B_2_IN_#002	es mi tarea favorita.
MID_WU_B_2_SOON_#001	Ah, parece que hoy no necesita mi visita...
MID_WU_B_2_SOON_#002	Aunque me encanta despertar\x0E\x0A\x00\x0C\x04lo\x04la.
MID_WU_B_2_SOON_#003	La próxima vez, ¿podría hacerse \x0E\x0A\x00,\x14el dormido\x14la dormida?
MID_WU_B_2_WAKEUP_#001	Bien, despertar\x0E\x0A\x00\x0C\x04lo\x04la es mi responsabilidad,
MID_WU_B_2_WAKEUP_#002	pero procuraré hacerlo con la mayor delicadeza.
MID_WU_B_2_WAKEUP_#003	¿Divinidad? ¿Me oye, Divinidad?\nEs hora de levantarse.
MID_WU_B_2_HELLO_#001	Buenos días.
MID_WU_B_2_HELLO_#002	Estaba dispuesta a tararear algo\nsi no conseguía despertar\x0E\x0A\x00\x0C\x04lo\x04la.
MID_WU_B_2_HELLO_#003	¿Cómo? ¿Que lo habría preferido así?
MID_WU_A_1_IN_#001	Cuánto lo siento...
MID_WU_A_1_IN_#002	No me acordé de reservar algo de tiempo\npara sentarnos y almorzar como es debido.
MID_WU_A_1_SOON_#001	Venía a avisarle, pero...
MID_WU_A_1_SOON_#002	ya veo que sigue \x0E\x0A\x00 \x0Edormido\x0Edormida.
MID_WU_A_1_SOON_#003	¡Voy a comer algo y vuelvo enseguida!
MID_WU_A_1_WAKEUP_#001	Como todavía no he comido, pensé\nque estaría bien hacerlo \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas.
MID_WU_A_1_WAKEUP_#002	Pero esta me parece una buena alternativa.
MID_WU_A_1_WAKEUP_#003	Observar\x0E\x0A\x00\x0C\x04lo\x04la mientras descansa me infunde\ntanta calma que...
MID_WU_A_1_WAKEUP_#004	(...)
MID_WU_A_1_HELLO_#001	Zzz... Zzz...
MID_WU_A_1_HELLO_#002	Ah... ¡Ay! ¡Me he quedado dormida!
MID_WU_A_1_HELLO_#003	¿Qué le parece si damos un paseo\npara despertarnos? Aunque...
MID_WU_A_1_HELLO_#004	Tengo la sensación de que olvido algo.
MID_WU_A_1_HELLO_#005	¡Bah! ¡Serán imaginaciones mías!
MID_WU_A_2_IN_#001	Siempre es un placer despertar\nal Dragón Divino.
MID_WU_A_2_IN_#002	Tanto aquí como en mi antiguo mundo.
MID_WU_A_2_SOON_#001	¡Muy buenas!
MID_WU_A_2_SOON_#002	Ver cómo se levanta
MID_WU_A_2_SOON_#003	me trae gratos recuerdos
MID_WU_A_2_SOON_#004	del Dragón Divino de mi mundo.
MID_WU_A_2_WAKEUP_#001	Allí, cuando vivía la reina Lumera,
MID_WU_A_2_WAKEUP_#002	solía encargarme de despertar\x0E\x0A\x00\x0C\x04la\x04lo.
MID_WU_A_2_WAKEUP_#003	Pero, tras su ascenso al trono,\nrara vez disfruté de ese privilegio.
MID_WU_A_2_HELLO_#001	Está \x0E\x0A\x00(\x12despierto\x12despierta.
MID_WU_A_2_HELLO_#002	Es maravilloso que duerma tan profundamente.
MID_WU_A_2_HELLO_#003	Si no necesitase a nadie para levantarse\ncada mañana,
MID_WU_A_2_HELLO_#004	me pregunto qué haría yo para entretenerme...
MID_WU_S_1_IN_#001	\x0E\x0A\x000\x16Querido mío\x16Querida mía,
MID_WU_S_1_IN_#002	¡he venido a despertar\x0E\x0A\x00\x0C\x04lo\x04la!
MID_WU_S_1_SOON_#001	Se ha despertado de inmediato...
MID_WU_S_1_SOON_#002	¡Ja, ja, ja!
MID_WU_S_1_SOON_#003	Me alegro enormemente.
MID_WU_S_1_SOON_#004	¿Verdad que no hay nada mejor que la familia?
MID_WU_S_1_SOON_#005	Espero que nunca nos separemos.
MID_WU_S_1_WAKEUP_#001	Vaya, ¿ni un atisbo de reacción en presencia\nde su compañera más querida?
MID_WU_S_1_WAKEUP_#002	Qué sola me siento...
MID_WU_S_1_WAKEUP_#003	Como no se despierte de una vez,
MID_WU_S_1_WAKEUP_#004	me buscaré otro dragón\ncon el que pasar el rato.
MID_WU_S_1_WAKEUP_#005	No lo digo en serio.
MID_WU_S_1_WAKEUP_#006	Se me haría imposible abandonar\x0E\x0A\x00\x0C\x04lo\x04la...
MID_WU_S_1_WAKEUP_#007	Disfruto demasiado de su compañía.
MID_WU_S_1_HELLO_#001	¿Le ha gustado mi forma de despertar\x0E\x0A\x00\x0C\x04lo\x04la?
MID_WU_S_1_HELLO_#002	¿Cómo? ¿Está \x0E\x0A\x00$\x10contento\x10contenta?
MID_WU_S_1_HELLO_#003	¡Fantástico!
MID_WU_S_1_HELLO_#004	Me alegra saber
MID_WU_S_1_HELLO_#005	que \x0E\x0A\x00\x0C\x04lo\x04la he hecho sonreír.
MID_WU_S_2_IN_#001	Buenos días, \x0E\x0A\x00&\x10dormilón\x12dormilona.
MID_WU_S_2_IN_#002	Compruebo que hoy vuelve a precisar\nmi ayuda.
MID_WU_S_2_SOON_#001	Le agradezco que despierte al\nverme llegar,
MID_WU_S_2_SOON_#002	pero...
MID_WU_S_2_SOON_#003	no me prive del placer de consentir\x0E\x0A\x00\x0C\x04lo\x04la,\nse lo ruego.
MID_WU_S_2_SOON_#004	Quiero que sepa
MID_WU_S_2_SOON_#005	que siempre me tendrá para lo que necesite.
MID_WU_S_2_WAKEUP_#001	Se ve tan \x0E\x0A\x00$\x10relajado\x10relajada mientras duerme...
MID_WU_S_2_WAKEUP_#002	Estoy convencida de que,\nen más de una ocasión,
MID_WU_S_2_WAKEUP_#003	yo también tendré que recurrir a su ayuda.
MID_WU_S_2_WAKEUP_#004	Espero que eso no le importe.\nAl fin y al cabo, somos familia.
MID_WU_S_2_WAKEUP_#005	Es asombroso haber forjado un vínculo\ntan poderoso
MID_WU_S_2_WAKEUP_#006	entre un Dragón Divino y una dragona maga.
MID_WU_S_2_WAKEUP_#007	Gracias por haberse convertido\nen mi auténtica familia.
MID_WU_S_2_WAKEUP_#008	Me hace tan feliz
MID_WU_S_2_WAKEUP_#009	que me haya entregado el Anillo del Pacto...
MID_WU_S_2_HELLO_#001	Ah...
MID_WU_S_2_HELLO_#002	No sabe cuánto \x0E\x0A\x00\x0C\x04lo\x04la amo.
MID_WU_S_2_HELLO_#003	Pero no quisiera avergonzar\x0E\x0A\x00\x0C\x04lo\x04la.
MID_WU_S_2_HELLO_#004	Aunque me encantaría decirle lo que siento\npor usted a diario,
MID_WU_S_2_HELLO_#005	jamás haría nada que \x0E\x0A\x00\x0C\x04lo\x04la pudiese incomodar.
