MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x0A\x08リュール\nJe sens indéniablement la présence d'un\nEmblème dans ce bracelet, mais son aura\nest des plus... complexes.\x0E\x04\x02\x00
MID_OP1_#002	Les termes de l'incantation me\nsont apparus malgré tout.\x0E\x04\x02\x00
MID_OP1_#003	Guidez nos pas, Emblème des Rivaux !\x0E\x04\x00\x00
MID_OP1_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x10\x0Eエーデルガルト\nNous voilà enfin libres. Je me présente,\nEmblème Edelgard.\x0E\x04\x00\x00
MID_OP1_2_#002	\x0E\x03\x02\x0C\nディミトリ\nRavi de faire votre connaissance.\nJe suis l'Emblème Dimitri.\x0E\x04\x00\x00
MID_OP1_2_#003	\x0E\x03\x02\x0A\x08クロード\nEst-ce mon tour ? Emblème Claude,\npour vous servir.\x0E\x04\x00\x00
MID_OP1_2_#004	\x0E\x03\x02\x0A\x08リュール\nVous deviez vous sentir à l'étroit,\ndans ce bracelet...\x0E\x04\x02\x00
MID_OP1_2_#005	Pardonnez-moi, j'en oublie les bonnes manières.\nJe suis le Dragon divin \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_2_#006	Vous n'êtes pas originaires d'Elyos, cela saute\naux yeux. Puis-je vous demander la raison de\nvotre présence ici ?\x0E\x04\x00\x00
MID_OP1_2_#007	\x0E\x03\x02\x10\x0Eエーデルガルト\nNous étions les gardiens d'un autre monde\njusqu'à très récemment, mais il semblerait\nque nous ayons été déplacés.\x0E\x04\x02\x00
MID_OP1_2_#008	\x0E\x03\x02\x0A\x08リュール\nLaissez-moi deviner : vous êtes venus ici pour\nme mettre à l'épreuve de l'une ou l'autre façon.\x0E\x04\x00\x00
MID_OP1_2_#009	\x0E\x03\x02\x10\x0Eエーデルガルト\nFaisons fi de ces formalités, vous vous êtes\nmontré\x0E\x0A\x00\x06
MID_OP1_2_#010	Et au moment le plus opportun, ajouterais-je,\ncar nous commencions à manquer cruellement\nde sujets de conversation.\x0E\x04\x00\x00
MID_OP1_2_#011	\x0E\x03\x02\x0A\x08クロード\nParlez pour vous. Personnellement, je trouve\nque l'intérêt des récits de Dimitri allait\ngrandissant à chaque nouvelle écoute.\x0E\x04\x00\x00
MID_OP1_2_#012	\x0E\x03\x02\x0C\nディミトリ\nCertes, tout comme le nombre des interruptions\nsarcastiques émanant de l'assemblée. Simple\ncoïncidence, je n'en doute point.\x0E\x04\x00\x00
MID_OP1_2_#013	\x0E\x03\x02\x0A\x08リュール\nVous semblez partager une certaine...\ncomplicité, tous les trois.\x0E\x04\x00\x00
MID_OP1_2_#014	\x0E\x03\x02\x10\x0Eエーデルガルト\nLes apparences sont parfois trompeuses.\x0E\x04\x00\x00
MID_OP1_2_#015	\x0E\x03\x02\x0C\nディミトリ\nEdelgard ?! Mon cœur saigne.\x0E\x04\x00\x00
MID_OP1_2_#016	\x0E\x03\x02\x0A\x08クロード\nElle plaisante, bien sûr. Ça se voit à la façon\ndont son visage reste impassible, exactement\ncomme quand elle est sérieuse.\x0E\x04\x00\x00
MID_OP1_2_#017	\x0E\x03\x02\x10\x0Eエーデルガルト\nHa ha. Nous avons toujours été en compétition,\nalors rejoindre le même camp sera pour nous\nune expérience aussi inédite que réjouissante.\x0E\x04\x00\x00
MID_OP1_2_#018	\x0E\x03\x02\x0C\nディミトリ\nSi je puis préciser son propos, nous avons tous\nles trois étudié à l'Académie des officiers, mais\nnous étions à la tête de différentes maisons.\x0E\x04\x00\x00
MID_OP1_2_#019	\x0E\x03\x02\x0A\x08リュール\nJe vois, cela explique la notion de compétition\nque vous avez évoquée.\x0E\x04\x00\x00
MID_OP1_2_#020	\x0E\x03\x02\x10\x0Eエーデルガルト\nEn effet. Nous faisions réellement corps\nà l'occasion de rares événements, comme\nla bataille de l'Aigle et du Lion.\x0E\x04\x00\x00
MID_OP1_2_#021	\x0E\x03\x02\x0C\nディミトリ\nIl s'agit d'une bataille d'entraînement qui\noppose les différentes maisons, dans le\nbut de célébrer les forces de chacun.\x0E\x04\x00\x00
MID_OP1_2_#022	\x0E\x03\x02\x10\x0Eエーデルガルト\nMais les véritables festivités ne commençaient\nqu'après la fin des hostilités. Tout le monde\na festoyé jusqu'à la déraison, cette nuit-là !\x0E\x04\x00\x00
MID_OP1_2_#023	\x0E\x03\x02\x0A\x08クロード\nNe vous laissez pas abuser par l'allure guindée\nde notre cher Dimitri, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_2_#024	Si vous me permettez cette indiscrétion,\nquand il s'agit de faire la fête, c'est un\nvéritable démon.\x0E\x04\x02\x00
MID_OP1_2_#025	C'est un miracle qu'ils n'aient pas été exclus\nde l'Académie suite au chaos qu'ils ont causé,\nlui et toute sa maison.\x0E\x04\x00\x00
MID_OP1_2_#026	\x0E\x03\x02\x0A\x08リュール\nHa ha, ce devait être une nuit mémorable.\x0E\x04\x00\x00
MID_OP1_2_#027	\x0E\x03\x02\x0C\nディミトリ\nIl plaisante, ne l'écoutez pas. Vous comprendrez\nrapidement qu'il ne faut pas porter le moindre\ncrédit à la moitié des inepties qu'il déblatère.\x0E\x04\x00\x00
MID_OP1_2_#028	\x0E\x03\x02\x0A\x08クロード\nAllons, la moitié ? Ne soyez pas injuste,\nj'estime qu'au moins un tiers de mes\npropos mérite qu'on y prête attention.\x0E\x04\x00\x00
