MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nIl est fort curieux de vous voir combattre aux\ncôtés d'un Dragon déchu, alors même que vous\nétiez autrefois au service d'un Dragon divin.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06セリカ\nVoilà un étrange caprice du destin, n'est-ce\npas ? Je trouve cela merveilleux.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nVous ne devriez pas manger des aliments acides\nsans arrêt, ce n'est pas bon pour vous. Je vous\nconseille d'essayer un régime plus équilibré.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nJe n'ai certes pas l'habitude d'être maternée\nainsi, mais après tout... Qui serait mieux placé\nqu'un Emblème ancestral pour s'y oser ?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nJ'ai remarqué que vous me traitiez pareillement\naux jeunes agneaux, bien que je sois un dragon.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06セリカ\nJe m'efforce toujours de voir les gens tels qu'ils\nsont, et non pas tels qu'ils sont censés être.\nEst-ce vraiment un mal ?\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nBien au contraire. À dire vrai, j'estime que cela\nrend votre compagnie d'autant plus agréable.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06セリカ\nVous m'en voyez ravie. J'espère que nous\naurons encore beaucoup d'autres occasions\nde faire plus ample connaissance.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nラファール\nVotre don de téléportation force l'admiration.\nSeriez-vous capable de vous transporter dans\nun autre pays, avec suffisamment d'efforts ?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06セリカ\nJe pense que oui, mais je n'en suis pas certaine.\nNous pourrions peut-être procéder à des essais,\nsi la question vous intrigue à ce point ?\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nJe sais que vous avez bon cœur, au fond de\nvous. Pourquoi ne laissez-vous personne\nentrevoir cette facette de votre personnalité ?\x0E\x04\x00\x00
