MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスタルーク\nNous y voilà. Le château de Brodia.\x0E\x04\x02\x00
MID_OP1_#002	Aucun Elusien à l'horizon. Par bonheur, ils\nn'ont pas encore attaqué.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nUn instant. Il y a quelqu'un devant la porte.\nJe n'ai pas l'impression que ce soit un garde.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0C\nスタルーク\nUn soldat ennemi ?\x0E\x04\x02\x00
MID_OP1_#005	Non, c'est...\x0E\x04\x02\x00
MID_OP1_#006	C'est Diamant ! Il doit être venu à notre\nrencontre !\x0E\x04\x00\x00
MID_MOVIE1_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nJe vous attendais, Votre Divinité.\x0E\x04\x02\x00
MID_MOVIE1_#004	Je suis le prince héritier de Brodia.\x0E\x04\x02\x00
MID_MOVIE1_#004_2	Diamant.\x0E\x04\x02\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJ'ai beaucoup entendu parler de vous. C'est\nun honneur de rencontrer une telle légende.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nJe suis également heureu\x0E\x0A\x00\x0A\x02x\x04se de faire\nvotre connaissance, Prince Diamant.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nEt bienvenue à vous, Prince Alfred. La missive\nde la reine Ève m'a mis au courant de votre\nsituation.\x0E\x04\x02\x00
MID_OP2_#004	Merci d'avoir effectué ce périple.\nJe suis content de vous voir.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nPareillement. Je regrette seulement qu'il ait\nfallu une guerre pour nous retrouver après\nsi longtemps.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, et merci d'avoir escorté nos invités depuis\nla frontière, Alcryst. Je sais que ce n'est pas\nune promenade de santé.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x00\x10\nスタルーク\x023\n\x0E\x03\x02\x0C\nスタルーク\nBah, ce n'était rien.\x0E\x04\x02\x00
MID_OP2_#008	Mais je suis porteur de mauvaises nouvelles.\nDes soldats elusiens nous ont attaqués à la\nhauteur du Grand passage.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nVraiment ?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0C\nスタルーク\nUne escouade menée par la princesse\nHortensia. Nous l'avons repoussée, mais\nelle a dit quelque chose qui me préoccupe...\x0E\x04\x02\x00
MID_OP2_#011	La princesse héritière a l'intention d'attaquer\nle château de Brodia.\x0E\x04\x02\x00
MID_OP2_#012	Si elle convoite l'Anneau de l'Emblème,\nl'affrontement promet de nous coûter cher.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nNous allons devoir consolider nos défenses.\nMerci pour ton rapport, Alcryst.\x0E\x04\x02\x00
MID_OP2_#014	Venez. Père voudra en être informé.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08モリオン\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0A\x08モリオン\nPourquoi faites-vous tous ces mines crispées ?\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x04\x03\x04
MID_OP3_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nPère ? Vous étiez censé nous attendre\nà l'intérieur.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08モリオン\nOui, je sais. Et c'est ce que je faisais. Mais j'ai\neu le pressentiment que mon fils Alcryst était\nde retour.\x0E\x04\x02\x00
MID_OP3_#005	Mon intuition paternelle disait donc la vérité,\nainsi qu'à l'accoutumée. Heureux de te voir\nde retour parmi nous, mon fils.\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x00\x10\nスタルーク\x024\n\x0E\x03\x02\x0C\nスタルーク\nMerci, Père.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'aimerais que vous cessiez de trouver des\nexcuses pour quitter le château. Vous n'êtes\npas en sécurité ici.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x0A\x08モリオン\nPitié Diamant, épargne-moi tes sermons.\x0E\x04\x02\x00
MID_OP3_#009	Quel mal y a-t-il à accueillir mon cher fils\nqui rentre de voyage ?\x0E\x04\x02\x00
MID_OP3_#010	Et puis il serait indélicat de se quereller\nen présence de notre invité\x0E\x0A\x00\x06
