MID_MAP_HIS_PhaseBegin_Player	Phase joueur
MID_MAP_HIS_PhaseBegin_Enemy	Phase ennemis
MID_MAP_HIS_PhaseBegin_Ally	Phase alliés
MID_MAP_HIS_Fixed	\x0E\x01\x00\x00 a attendu.
MID_MAP_HIS_Talk	\x0E\x01\x00\x00 a parlé.
MID_MAP_HIS_Attack	\x0E\x01\x00\x00 a attaqué.
MID_MAP_HIS_Rod	\x0E\x01\x00\x00 a utilisé un bâton.
MID_MAP_HIS_EngageCharge	\x0E\x01\x00\x00 a utilisé Grand Éther.
MID_MAP_HIS_Destroy	\x0E\x01\x00\x00 a détruit un élément.
MID_MAP_HIS_ItemUse	\x0E\x01\x00\x00 a utilisé un objet.
MID_MAP_HIS_Trade	\x0E\x01\x00\x00 a échangé des objets.
MID_MAP_HIS_PutOff	\x0E\x01\x00\x00 a jeté des objets.
MID_MAP_HIS_Visit	\x0E\x01\x00\x00 a visité un lieu.
MID_MAP_HIS_Breakdown	\x0E\x01\x00\x00 a saisi quelque chose.
MID_MAP_HIS_Escape	\x0E\x01\x00\x00 a fui.
MID_MAP_HIS_Door	\x0E\x01\x00\x00 a ouvert une porte.
MID_MAP_HIS_Torch_Off	\x0E\x01\x00\x00 a éteint un fanal.
MID_MAP_HIS_Torch_On	\x0E\x01\x00\x00 a allumé un fanal.
MID_MAP_HIS_TreasureBox	\x0E\x01\x00\x00 a ouvert un coffre.
MID_MAP_HIS_Transporter	\x0E\x01\x00\x00 a utilisé le convoi.
MID_MAP_HIS_Dance	\x0E\x01\x00\x00 a dansé.
MID_MAP_HIS_Guard	\x0E\x01\x00\x00 a utilisé une garde enchaînée.
MID_MAP_HIS_LucinaEngage	\x0E\x01\x00\x00 a utilisé Bouclier du lien.
MID_MAP_HIS_OverlapSkill	\x0E\x01\x00\x00 a utilisé Veine dragunaire.
MID_MAP_HIS_CommandSkill	\x0E\x01\x00\x00 a utilisé \x0E\x01\x01\x00.
MID_MAP_HIS_VisionCreate	\x0E\x01\x00\x00 a créé des doubles spectraux.
MID_MAP_HIS_VisionDelete	\x0E\x01\x00\x00 a dissipé des doubles spectraux.
MID_MAP_HIS_DestroyVillage	\x0E\x01\x00\x00 a détruit une maison.
MID_MAP_HIS_EngageBreak	\x0E\x01\x00\x00 a utilisé Dissociation.
MID_MAP_HIS_EngageAttack	\x0E\x01\x00\x00 a utilisé \x0E\x01\x01\x00.
MID_MAP_HIS_PickUp	\x0E\x01\x00\x00 a agi.
