MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nTu aurais une seconde, Amber ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nBien sûr, Prince Alfred. En quoi puis-je\nvous aider ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nLes gens disent que tu sais plein de choses...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt tout particulièrement au sujet des mythes\net légendes.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nOh, absolument ! Les légendes peuvent être\nréelles, il suffit de choisir d'y croire... et il est\nvrai que je crois à beaucoup de légendes.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh bien, il y a une chose qui m'a toujours\nintrigué... Peut-être pourras-tu m'aider.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nAs-tu déjà entendu parler d'une légende dans\nlaquelle une sorte de remède permettrait de\ndevenir super musclé ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nDe devenir... musclé ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon, super musclé.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nEuh... je... je dois avouer qu'il s'agit là d'une\nlégende dont je n'ai jamais entendu parler...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nMince. J'étais persuadé que si quelqu'un en\nsavait plus à son sujet, ce serait forcément toi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nEn tout cas, maintenant que vous m'en avez\nparlé, je ne peux pas me contenter de l'ignorer...\nJe dois en savoir plus !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nQuoi qu'il m'en coûte, je percerai le secret\nde ce remède légendaire capable de développer\nles muscles !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est vrai ? Oh, tu es un ange, Amber !\x0E\x04\x00\x00
