MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0C\nエーティエ\nCela faisait longtemps que nous n'avions pas\neu le temps de prendre une tasse de thé\ntoutes les deux, Dame Céline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIl n'est pas nécessaire d'insister sur l'étiquette,\nEtie. Nous sommes amies depuis bien trop\nlongtemps pour cela.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nComme il vous plaira, Céline. Ce thé est-il\nà votre goût ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nIl est absolument délicieux, merci. C'est un thé\nfort agréable que tu nous as préparé.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nSa saveur et son arôme marqués me révèlent\nqu'il s'agit d'un thé d'origine provenant des\nplantations du Nord, c'est bien cela ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nエーティエ\nVous arrivez à dire d'où il vient, rien qu'en en\nbuvant une petite gorgée ? Il n'y a pas à dire,\nvous êtes calée en matière de thés.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nAllez Etie, goûte-le, toi aussi. Tu verras,\nson arôme est caractéristique.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nMerci, très volontiers.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nエーティエ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nAlors ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nEh bien... je trouve juste qu'il a un goût de thé.\nVous pourriez me dire qu'il vient de n'importe\nquelle région, je vous croirais les yeux fermés.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nHi hi hi ! Je m'en doutais. Les subtilités du thé\nt'ont toujours quelque peu échappé.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nCe n'est même pas que je sois incapable d'en\napprécier le goût, c'est juste que personne ne\nvous arrive à la cheville dans ce domaine.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nEh bien ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nQue t'arrive-t-il, Etie ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nJ'ai remarqué que ta main tremblait. Et encore,\nlà à l'instant.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nエーティエ\nOh, euh... je n'ai pas l'impression, non.\nCe doit être juste votre imagination.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セリーヌ\nVraiment ? Ma foi, puisque tu le dis...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nLe thé est encore parfait, aujourd'hui. Chaque\nmoment de repos que nous réussissons à nous\naccorder est une véritable bénédiction.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nエーティエ\nOui. Il y a tant de choses à faire que j'ai besoin\nde petits instants calmes comme celui-ci pour\npréserver mon équilibre.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nTu as parfaitement raison.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nVous rappelez-vous nos premières\ndégustations de thé ensemble ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nMes souvenirs sont bien vagues. Cela fait si\nlongtemps que nous prenons le thé ensemble...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nÀ l'époque, la santé de mon frère était encore\ntrès fragile. Chaque journée était éprouvante\npour les nerfs.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nエーティエ\nMais ces angoisses incessantes vous ont permis\nde vous endurcir.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nJe savais que je devais être en mesure de prêter\nassistance à mon frère... dans le cas où le pire\ndevait advenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nMais tandis que mes forces se développaient,\nla santé de mon frère s'améliora nettement,\ngrâce à son entraînement.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nHi hi... Je me souviens que vous faisiez plaisir\nà voir, frère et sœur côte à côte, tous les deux\naussi costauds l'un que l'autre.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nAprès mon entrée au service du prince Alfred\ncomme vassale, il m'a incitée à m'entraîner\nmoi aussi. Et regardez ce que je suis devenue !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nEuh... Etie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nエーティエ\nAvez-vous un problème ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セリーヌ\nJ'ai distinctement vu ta main trembler.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セリーヌ\nEst-ce que tu ne te sens pas bien ?\nSerais-tu souffrante ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nエーティエ\nNon, ce n'est pas ça. C'est juste que ma tasse\nà thé est particulièrement lourde.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nCela, je le savais déjà.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nTu t'es habituée à te servir d'une tasse lestée\nafin de développer tes muscles, et ce depuis\nle jour où tu es entrée au service d'Alfred.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nMais cela ne paraissait guère te gêner\nauparavant, et voilà que tu sembles à\npeine capable de la soulever !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\nEh bien... Je dois vous avouer une chose,\nCéline...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nエーティエ\nJ'ai une nouvelle tasse à thé.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nエーティエ\nTenez, essayez de la tenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セリーヌ\nAh ! M-Mais où t'es-tu procuré une telle\ntasse ?! Il m'est arrivé de manipuler des boulets\nde canon plus légers que cela !\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nエーティエ\nElle a été fabriquée spécialement pour moi.\nL'ancienne ne constituait plus un exercice\nsuffisant pour mes muscles.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08セリーヌ\n... Il n'y a rien d'étonnant à ce que ta main\nse mette à trembler, s'il te faut hisser une\ntasse à thé pareille.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nエーティエ\nMaintenant, vous savez tout.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0A\x08セリーヌ\nHeureusement, ce n'est que ça. Si un mal\nsérieux venait à t'affliger, Etie, je ne sais pas\nsi je m'en remettrais.\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0C\nエーティエ\nOooh, Céline... Je suis désolée de vous avoir\ncausé de l'inquiétude.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x0A\x08セリーヌ\nNe t'en fais pas : je sais à présent que cela ne\ncache rien de grave. Nous devrions prévoir une\nautre dégustation de thé bientôt, qu'en dis-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nAdmire un peu cela, Etie !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nJ'ai fait un essai en ajoutant un peu de miel à\nce thé d'origine, et il me semble avoir abouti\nà une création très originale.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nエーティエ\nVraiment ? J'aimerais bien goûter ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nOh !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nエーティエ\nCéline, c'est incroyable... Je n'ai jamais rien\nbu de pareil.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nHi hi hi... Tu es impressionnante, Etie.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nエーティエ\nAh bon ? Euh... Qu'est-ce que j'ai fait ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nTa main ne tremble même plus. As-tu enfin\nréussi à maîtriser le poids de ta nouvelle tasse ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nNon, pas vraiment... J'ai juste adopté une tasse\nen porcelaine standard.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nEt pourquoi cela ? Ne me dis pas que tu as\nl'intention d'abandonner ton entraînement...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nOh, je compte bien continuer à m'entraîner.\nMais plus pendant nos séances de dégustation.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nPardonne-moi, Etie... Tu veux t'épargner\nmes incessantes questions indiscrètes à\nce sujet, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nエーティエ\nNon, ce n'est pas pour cela.\x0E\x04\x00\x00
