MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪Hmm, hmm...♪ C'est la journée parfaite pour\nfaire un bout de lessive.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLaver, rincer, sécher, amidonner, plier...\nChaque étape doit être exécutée avec\ngrâce et précision.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nEh, vous prenez du plaisir à effectuer\nune corvée ! C'est autorisé, ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'espère bien. Ah, j'adore laver le linge.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous voulez vous joindre à moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nMoi ? Euh... Je passe mon tour.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSûre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQui sait, vous pourriez découvrir que laver\ndes vêtements sous le soleil est aussi\nreposant que rafraîchissant.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEt puis, entre nous, le fait d'être propre comme\nun sou neuf ne va pas faire fuir vos amis...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nOh, qu'ils fassent comme bon leur semble.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÀ moins que vous ne dissimuliez quelque\nchose d'inavouable dans vos dessous et que\nvous ne vouliez pas me les montrer ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nQuoi ? Non, vous êtes dégoûtante !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBon, je vois que je ne vous ferai pas fléchir.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nCroyez-moi, c'est mieux que je m'abstienne.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nC'est comme ça. Je préfère ne pas rentrer\ndans les détails.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nD'ailleurs, je ferais mieux d'y aller.\nÀ plus tard.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x08\x06ユナカ\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais quelle mouche l'a piquée...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪Hmm, hmm...♪ Quel plaisir de faire briller\nla vaisselle.\x0E\x04\x00\x00
