MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nGoldmary ! À ce qu'il paraît, certains\ngentilshommes en ville s'intéressent à toi.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDésolée de ne pas t'en avoir parlé, mais si je\ndevais te tenir la jambe à chaque fois qu'on\nme court après...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, je ne t'en veux pas. Et donc, comment...\ncomment tu as réagi ? Qu'est-ce que tu\nleur as dit ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe les ai envoyés sur les roses aussi poliment\nque possible.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nPas étonnant. Tu dois en avoir par-dessus\nla tête de ces sollicitations, à force.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nIl faut dire que ça date pas d'hier,\nces pitreries, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÇa, tu l'as dit.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe ne peux pas mettre le pied quelque part\nsans attirer une grappe de courtisans.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'espère que tu ne prendras pas ombrage\nde mon charme naturel...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon, non... ce n'est pas là que je voulais en\nvenir. C'est juste que ce genre de choses\nne m'arrive jamais, à moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAttends quelques années, ça viendra.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nTraite-moi de gamine, tant que t'y es !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe n'ai pas dit ça.\x0E\x04\x00\x00
