MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x02\x08\x06カゲツ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nQuel idiot je fais ! J'ai renversé mes onigiri,\net je n'ai plus rien à manger ! Que faire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\nAvec un programme chargé comme celui\nd'aujourd'hui, je vais m'évanouir si je ne\nmange pas un morceau...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nOn dirait que vous avez faim... Vous voulez\ndes sucreries ? J'en ai, si vous voulez !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nMerrin ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nJe me trouve dans l'embarras, et vous me\nproposez votre aide ? Vous avez toute ma\nreconnaissance !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nJe vous remercie du fond du cœur.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nJe vous en prie ! Les voilà.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nMiam... Comme c'est bon et sucré !\nCes douceurs m'ont rendu toute mon énergie !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nMa foi, vous vous êtes jeté dessus !\nVous aviez donc une faim de loup ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nEn effet ! Mais je suis parfaitement rassasié.\nMerci !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nÀ présent, je vais pouvoir provoquer en\nduel la princesse Timerra sans craindre\nde m'évanouir !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nQu'est-ce que vous dites ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nVous allez provoquer ma princesse en duel ?\nAlors là, certainement pas, laissez-moi vous\nle dire !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nPourquoi pas ? C'est amusant, d'affronter des\nadversaires redoutables !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nJe suis assez doué, moi aussi. Je pense que la\nprincesse Timerra trouvera quelque plaisir à\nnotre affrontement.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nOui, eh bien, en tant que vassale de la princesse\nTimerra, je ne vous permettrai pas de lui faire\ncourir le moindre danger.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nVous vous faites bien trop de souci.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06メリン\nQuand je pense que je me suis portée à votre\nsecours, alors que votre intention était de nuire\nà ma princesse... Quelle impardonnable erreur !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nSi vous ne renoncez pas à votre projet de la\ndéfier, vous devrez d'abord triompher de\nmoi !\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06カゲツ\nOh, mais je vous affronterais avec plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06カゲツ\nEn temps normal, en tout cas. Mais ce serait\nune bien vilaine façon de vous exprimer ma\nreconnaissance pour tout à l'heure.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06カゲツ\nSoit, Merrin. Pour ne pas vous déplaire,\nje renonce à mon projet pour le moment.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06メリン\nHein...\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06カゲツ\nVous vous défiez de moi ! Je suis pourtant\nsincère !\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06カゲツ\nMon duel contre la princesse Timerra devra\nattendre un peu, voilà tout.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06カゲツ\nMerrin, me permettez-vous de provoquer\nla princesse Timerra en duel, à présent ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nSoyons sérieux ! Je ne vous donnerai jamais\ncette permission.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nVraiment ? Voilà qui est très regrettable.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nMais j'ai une dette envers vous, Merrin.\nJ'attendrai donc que vous changiez d'avis,\npar respect pour vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nMais vous êtes impossible, vous le savez, ça ?\nPourquoi tenez-vous tellement à affronter\nma princesse ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nSi je me suis aventuré aussi loin des Sables\nd'Opale, c'était pour trouver des adversaires\ndignes de ce nom à affronter.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nLes Sables d'Opale... Vous parlez de la région\nauréolée de mystère, aux confins de Solm ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nÀ mes yeux, c'est tout ce qui se trouve à\nl'extérieur des Sables d'Opale qui est auréolé\nde mystère...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nC'est pour cela que j'ai quitté ma contrée. Je\nvoulais percer les secrets du monde extérieur.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nJ'ai croisé de nombreux adversaires valeureux\nsur ma route.\x0E\x04\x00\x00
