MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x06\x04ルイ\nBonjour, Saphir. Vous plairait-il de déguster\nune tasse de thé en ma compagnie ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nDu thé ? Euh... Ça ira, merci.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nザフィーア\nJe suis pas d'humeur pour les mondanités.\nVous feriez mieux d'aller chercher ailleurs.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nIl est vrai que vous arborez un air plus grave\nqu'à l'accoutumée.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nDonc vous aviez remarqué, mais vous me\nproposez du thé quand même ? Pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nC'est que le thé, n'est-ce pas, est un breuvage\naux vertus apaisantes.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nHa ha ha ! Soit ça, soit vous avez tendance à\nfourrer votre nez dans les affaires des autres !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nEnfin, merci quand même d'avoir remarqué.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nPuis-je vous demander ce qui vous trouble\nainsi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nザフィーア\nRien de bien grave.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nJ'ai fait un cauchemar, la nuit dernière, et j'ai\npas beaucoup dormi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nVoilà qui est affreux.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nザフィーア\nJe vois bien que c'est ridicule, maintenant que\nje le dis. Je suis plus une gamine, j'ai passé\nl'âge d'avoir peur des cauchemars.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nDétrompez-vous. Un cauchemar peut faire\ntrembler jusqu'au plus brave guerrier.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nザフィーア\nPeut-être bien, oui.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nLaissez-moi vous préparer une bonne tasse\nde thé bien chaude.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nSi elle ne vous délivre pas de vos cauchemars,\nelle ne manquera pas d'apaiser votre esprit.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nザフィーア\nPrésenté comme ça, je me dis que j'aurais bien\ntort de refuser votre offre.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ルイ\nC'était là mon espoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nTrès franchement, Louis...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nザフィーア\nJe m'attendais pas à ce que votre thé me\ndétende à ce point-là. C'est curieux, mais\nça marche.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nVous m'en voyez ravi. Je vous en préparerai\nvolontiers chaque fois que vous en éprouverez\nle désir.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nC'est gentil.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nEncore une insomnie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nEh oui. Toujours le même cauchemar qui\nrevient.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nJe revois la mort de mes parents et de ma\nmeilleure amie... On les a tués devant moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nザフィーア\nDes soldats d'Elusia ont attaqué le village de\npêcheurs où j'ai grandi. J'étais qu'une gamine\nà l'époque.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nC'était il y a plusieurs décennies, mais\nje le revois encore comme si c'était hier.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nJ'espérais que ce souvenir s'effacerait avec\nle temps. Ou que j'arriverais mieux à le\nsupporter en étant plus forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nMais je n'ai pas eu droit à cette libération.\nJe commence à croire que je serais hantée\njusqu'à la fin de mes jours.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nJe compatis sincèrement. C'est une situation\nqui ne peut vous être agréable.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nC'est gentil de votre part, d'autant que j'ai\nun peu cassé l'ambiance.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nEn aucune façon, Saphir. N'ayez jamais la\nmoindre hésitation à m'entretenir de tout\nce qu'il vous plaira.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nCroyez que je regrette de ne guère pouvoir\nfaire mieux que de prêter l'oreille et vous\nservir le thé.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nJe n'en demande pas plus. Merci, Louis.\x0E\x04\x00\x00
