MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nJade ! Ça va, vous n'avez rien ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nOh. Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nJ'ai entendu dire que des bandits vous avaient\nattaquée ! J'ai aussitôt accouru à votre secours.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nJe vous remercie, mais je vais bien. Je les ai\ntous chassés.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nPourquoi vous ont-ils attaquée comme ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai déjà croisé cette bande par le passé.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ジェーデ\nJ'assurais autrefois la garde de la mine située\nnon loin de ma ville natale. Et une fois, je les ai\nempêchés de la piller.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nIls ont dû retrouver ma trace pour se venger.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nMaintenant ? Après tout ce temps ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nJ'avais fort mauvaise réputation auprès des\nbandits de notre région... On me surnommait\nla « Muraille d'acier ».\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nIl semblerait que je sois la cible de quelques\nrancunes particulièrement tenaces.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\nMais ce n'est rien. Je suis capable de faire face\nà tout ce qu'ils pourraient manigancer. Ils ne\nreprésentent pas une vraie menace.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nJe sais que vous êtes forte, Jade, mais je\nm'inquiète quand même.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nSi jamais vous avez besoin de renforts,\nvous pouvez compter sur moi. Je ferai\nmon possible.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nOh, je ne voudrais pas faire peser sur vous\nun tel fardeau, Votre Divinité, mais je vous\nremercie.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nBonjour, Jade. Quel beau temps, aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nEn effet, Votre Divinité. Il fait beau.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nAvez-vous vu le coucher de soleil, hier soir ?\nIl était vraiment magnifique.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nOui. Magnifique.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nVotre Divinité... Nous nous croisons\nfort souvent ces derniers temps,\nne trouvez-vous pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nC'est bien possible. J'espère que je ne\nvous dérange pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nJe crois avoir compris ce qu'il se passait.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nVous voulez être dans les parages, si jamais\nces bandits tentent de m'attaquer à nouveau.\nC'est bien cela ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nAh. Il faut croire que je n'ai pas suffisamment\nsu cacher mon jeu.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nJ'apprécie que vous vous inquiétiez pour moi,\nmais je peux gérer ce problème toute seule.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nVous n'avez pas besoin de me protéger ainsi.\nJe suis sûre que vous avez mieux à faire.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nEh bien... À vrai dire, j'ai un peu de temps libre\ndont je pourrais justement profiter.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nSi je reste me reposer quelque temps par ici,\nje suppose que cela ne vous dérange pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nJe connais votre force, Jade.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nSi j'agis ainsi, ce n'est pas parce que je vous\ncrois incapable de gérer ces bandits, mais parce\nque je souhaite vous aider.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ジェーデ\nFaites comme il vous plaira, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nJade ! Vous allez bien ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nOui, Votre Divinité. J'ai réussi à m'en tirer\nde justesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nLe ciel soit loué. Vous n'avez pas l'air blessée...\nmais je n'arrive pas à croire que vous ayez fait\nune chose aussi inconsidérée.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nPartir seule pour tendre une embuscade\nà ces bandits directement à leur repaire.\nVous êtes incroyable !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nJe savais les risques que je prenais. Il fallait\nque je mette un terme à cette histoire une fois\npour toutes.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nAutrement, ils auraient continué sans fin\nà tramer des représailles contre moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nLe problème est réglé, à présent. Les bandits\nont été vaincus, et placés en détention militaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai veillé à leur faire forte impression... et leur\nai infligé assez de contusions pour les dissuader\nà tout jamais de revenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nMerci de vous être autant inquiété\x0E\x0A\x00\x06
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nImpressionnant. Vous vous êtes chargée de\nces bandits toute seule, exactement comme\nvous l'aviez annoncé.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nJe dois admettre que... je suis un peu déçu\x0E\x0A\x00\x06
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nOh, je ne voudrais surtout pas vous impliquer\ndans mes querelles personnelles, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nEt pourquoi pas ? Nous sommes ami\x0E\x0A\x00\x06
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nAmi\x0E\x0A\x00\x06
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nQu'est-ce qui ne va pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nRien, je suis juste heureuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nMon caractère est parfois difficile à interpréter,\nje le sais. Je n'ai guère de talent pour exprimer\nmes émotions.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nMais je suis sincèrement désolée de vous avoir\ncausé tant d'inquiétude. Et je vous remercie de\nvotre sollicitude à mon égard, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nIl n'y a pas de quoi, Jade.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nDites-moi, Jade... Votre père est gemmologue,\net votre mère joaillère, c'est bien cela ?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08ジェーデ\nEn effet, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08ジェーデ\nJe viens d'une petite ville minière. Presque tout\nle monde y exerce un métier en rapport avec\nles minéraux ou les pierres précieuses.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai parfois essayé d'aider ma mère à réaliser\nses bijoux, mais j'étais trop maladroite.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08ジェーデ\nAlors finalement, j'ai décidé de travailler comme\ngarde à la mine de notre ville.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nVous manipulez donc des pierres précieuses\net des bijoux depuis votre enfance ?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08ジェーデ\nOui. Je pense pouvoir dire que je connais mieux\nce domaine que la plupart des gens.\x0E\x04\x00\x00
