MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHé ! Princesse Timerra !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\nTiens, Mademoiselle Anna ! Quoi de neuf ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\nJ'ai juste une petite question : de quoi\nmanquez-vous, au royaume de Solm ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nHa ha ! C'est une devinette ? J'adore les\ndevinettes ! Bon, donne-moi un instant...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nC'est pas une devinette, c'est une question\ntrès sérieuse !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nOh, vraiment ?\nAlors, pourquoi me demandes-tu cela ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nSi je savais ce qui manquait en Solm, je pourrais\nen préparer des stocks et les vendre là-bas,\npas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nÀ mon avis, si quelqu'un connaît Solm\nsur le bout des doigts, c'est bien vous...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nTu es donc venue me demander des conseils\nsur ce que tu pourrais y vendre. C'est logique.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nMaintenant que je suis loin de ma famille,\nje dois bien trouver un moyen de gagner ma vie.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nJ'ai mis tous mes espoirs dans le commerce.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nTu sais... Il y a déjà beaucoup de marchands,\nen Solm. Ça n'est pas le marché le plus facile\nà conquérir.\x0E\x04\x00\x00
