MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai bien cru mourir !\nEn fait, je pense même être morte. Deux fois !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai tellement hurlé que ma voix s'est brisée\nà un moment.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nAlors, qu'avez-vous pensé de votre première\nescapade à dos de loup ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nC'était... palpitant. Mais surtout terrifiant.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nHa ha ! Vous êtes si drôle, Dame Veyle !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nJe n'ai jamais été aussi sérieuse.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nC'est un miracle que je sois encore en vie.\nPour tout dire, j'ai du mal à y croire.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nC'est un bon moyen de se vider l'esprit, non ?\nN'avez-vous pas senti vos soucis... s'envoler ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nHa ha ! En un sens, vous pouvez le dire.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nVous voyez. Vous aviez l'air tendue, tout à\nl'heure. J'ai pensé que ça vous aiderait à\ndécompresser.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nJe me demande parfois si j'ai ma place ici,\navec vous autres.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nOui, je vois. Eh bien, la prochaine fois que\nvous avez le moral en berne, venez m'en\nparler, d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nOn s'offrira un aller-retour jusqu'à l'horizon !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nD'accord, je n'y manquerai pas. Et Timerra...\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nJe lui ai dit que j'en étais incapable !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nJe lui ai bien dit que je n'étais pas prête à\nmonter un loup toute seule ! Qu'avait-elle\nderrière la tête ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nAllons, avouez que c'était amusant !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai bien cru mourir !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nOui, moi aussi ! Vous avez échappé de peu\nà une chute de la falaise.\x0E\x04\x00\x00
